year,total_pr,scenario,model
1950,31.87,ssp126,ACCESS-CM2
1951,31.01,ssp126,ACCESS-CM2
1952,33.86,ssp126,ACCESS-CM2
1953,29.9,ssp126,ACCESS-CM2
1954,30.36,ssp126,ACCESS-CM2
1955,31.92,ssp126,ACCESS-CM2
1956,27.28,ssp126,ACCESS-CM2
1957,30.86,ssp126,ACCESS-CM2
1958,31.59,ssp126,ACCESS-CM2
1959,28.74,ssp126,ACCESS-CM2
1960,30.03,ssp126,ACCESS-CM2
1961,28.37,ssp126,ACCESS-CM2
1962,29.69,ssp126,ACCESS-CM2
1963,30.45,ssp126,ACCESS-CM2
1964,31.57,ssp126,ACCESS-CM2
1965,29.64,ssp126,ACCESS-CM2
1966,31.97,ssp126,ACCESS-CM2
1967,28.53,ssp126,ACCESS-CM2
1968,31.13,ssp126,ACCESS-CM2
1969,25.53,ssp126,ACCESS-CM2
1970,28.78,ssp126,ACCESS-CM2
1971,28.5,ssp126,ACCESS-CM2
1972,33.08,ssp126,ACCESS-CM2
1973,31.15,ssp126,ACCESS-CM2
1974,31.69,ssp126,ACCESS-CM2
1975,34.28,ssp126,ACCESS-CM2
1976,35.55,ssp126,ACCESS-CM2
1977,27.92,ssp126,ACCESS-CM2
1978,28.29,ssp126,ACCESS-CM2
1979,28.69,ssp126,ACCESS-CM2
1980,29.04,ssp126,ACCESS-CM2
1981,27.02,ssp126,ACCESS-CM2
1982,31.15,ssp126,ACCESS-CM2
1983,30.09,ssp126,ACCESS-CM2
1984,29.27,ssp126,ACCESS-CM2
1985,33.58,ssp126,ACCESS-CM2
1986,30.45,ssp126,ACCESS-CM2
1987,31.94,ssp126,ACCESS-CM2
1988,31.45,ssp126,ACCESS-CM2
1989,29.37,ssp126,ACCESS-CM2
1990,30.9,ssp126,ACCESS-CM2
1991,32.12,ssp126,ACCESS-CM2
1992,30.12,ssp126,ACCESS-CM2
1993,31.28,ssp126,ACCESS-CM2
1994,29.55,ssp126,ACCESS-CM2
1995,29.37,ssp126,ACCESS-CM2
1996,29.64,ssp126,ACCESS-CM2
1997,27.79,ssp126,ACCESS-CM2
1998,29.61,ssp126,ACCESS-CM2
1999,31.08,ssp126,ACCESS-CM2
2000,27.82,ssp126,ACCESS-CM2
2001,26.74,ssp126,ACCESS-CM2
2002,30.06,ssp126,ACCESS-CM2
2003,33.94,ssp126,ACCESS-CM2
2004,32.0,ssp126,ACCESS-CM2
2005,33.62,ssp126,ACCESS-CM2
2006,30.69,ssp126,ACCESS-CM2
2007,30.04,ssp126,ACCESS-CM2
2008,28.33,ssp126,ACCESS-CM2
2009,28.15,ssp126,ACCESS-CM2
2010,32.81,ssp126,ACCESS-CM2
2011,33.58,ssp126,ACCESS-CM2
2012,30.82,ssp126,ACCESS-CM2
2013,24.95,ssp126,ACCESS-CM2
2014,30.12,ssp126,ACCESS-CM2
2015,34.26,ssp126,ACCESS-CM2
2016,30.68,ssp126,ACCESS-CM2
2017,30.79,ssp126,ACCESS-CM2
2018,31.39,ssp126,ACCESS-CM2
2019,29.78,ssp126,ACCESS-CM2
2020,30.72,ssp126,ACCESS-CM2
2021,33.04,ssp126,ACCESS-CM2
2022,33.08,ssp126,ACCESS-CM2
2023,35.64,ssp126,ACCESS-CM2
2024,33.81,ssp126,ACCESS-CM2
2025,33.22,ssp126,ACCESS-CM2
2026,27.55,ssp126,ACCESS-CM2
2027,29.4,ssp126,ACCESS-CM2
2028,30.15,ssp126,ACCESS-CM2
2029,30.76,ssp126,ACCESS-CM2
2030,32.44,ssp126,ACCESS-CM2
2031,35.7,ssp126,ACCESS-CM2
2032,33.17,ssp126,ACCESS-CM2
2033,33.45,ssp126,ACCESS-CM2
2034,31.21,ssp126,ACCESS-CM2
2035,34.9,ssp126,ACCESS-CM2
2036,36.05,ssp126,ACCESS-CM2
2037,39.42,ssp126,ACCESS-CM2
2038,33.29,ssp126,ACCESS-CM2
2039,34.4,ssp126,ACCESS-CM2
2040,36.46,ssp126,ACCESS-CM2
2041,32.69,ssp126,ACCESS-CM2
2042,30.55,ssp126,ACCESS-CM2
2043,34.17,ssp126,ACCESS-CM2
2044,28.01,ssp126,ACCESS-CM2
2045,32.03,ssp126,ACCESS-CM2
2046,29.62,ssp126,ACCESS-CM2
2047,34.2,ssp126,ACCESS-CM2
2048,33.74,ssp126,ACCESS-CM2
2049,29.77,ssp126,ACCESS-CM2
2050,34.07,ssp126,ACCESS-CM2
2051,33.99,ssp126,ACCESS-CM2
2052,37.65,ssp126,ACCESS-CM2
2053,30.58,ssp126,ACCESS-CM2
2054,28.49,ssp126,ACCESS-CM2
2055,37.09,ssp126,ACCESS-CM2
2056,30.33,ssp126,ACCESS-CM2
2057,35.71,ssp126,ACCESS-CM2
2058,35.42,ssp126,ACCESS-CM2
2059,29.57,ssp126,ACCESS-CM2
2060,32.61,ssp126,ACCESS-CM2
2061,31.8,ssp126,ACCESS-CM2
2062,34.4,ssp126,ACCESS-CM2
2063,30.14,ssp126,ACCESS-CM2
2064,32.23,ssp126,ACCESS-CM2
2065,36.0,ssp126,ACCESS-CM2
2066,32.28,ssp126,ACCESS-CM2
2067,37.56,ssp126,ACCESS-CM2
2068,32.98,ssp126,ACCESS-CM2
2069,31.13,ssp126,ACCESS-CM2
2070,35.86,ssp126,ACCESS-CM2
2071,31.38,ssp126,ACCESS-CM2
2072,30.72,ssp126,ACCESS-CM2
2073,29.26,ssp126,ACCESS-CM2
2074,35.96,ssp126,ACCESS-CM2
2075,32.56,ssp126,ACCESS-CM2
2076,35.21,ssp126,ACCESS-CM2
2077,30.38,ssp126,ACCESS-CM2
2078,33.28,ssp126,ACCESS-CM2
2079,33.43,ssp126,ACCESS-CM2
2080,31.5,ssp126,ACCESS-CM2
2081,32.1,ssp126,ACCESS-CM2
2082,36.42,ssp126,ACCESS-CM2
2083,30.2,ssp126,ACCESS-CM2
2084,31.1,ssp126,ACCESS-CM2
2085,33.14,ssp126,ACCESS-CM2
2086,36.21,ssp126,ACCESS-CM2
2087,35.05,ssp126,ACCESS-CM2
2088,34.21,ssp126,ACCESS-CM2
2089,35.42,ssp126,ACCESS-CM2
2090,36.85,ssp126,ACCESS-CM2
2091,31.32,ssp126,ACCESS-CM2
2092,33.98,ssp126,ACCESS-CM2
2093,32.91,ssp126,ACCESS-CM2
2094,31.66,ssp126,ACCESS-CM2
2095,34.76,ssp126,ACCESS-CM2
2096,31.54,ssp126,ACCESS-CM2
2097,32.1,ssp126,ACCESS-CM2
2098,34.38,ssp126,ACCESS-CM2
2099,35.6,ssp126,ACCESS-CM2
2100,33.01,ssp126,ACCESS-CM2
1950,31.31,ssp126,ACCESS-ESM1-5
1951,31.64,ssp126,ACCESS-ESM1-5
1952,33.29,ssp126,ACCESS-ESM1-5
1953,28.37,ssp126,ACCESS-ESM1-5
1954,29.24,ssp126,ACCESS-ESM1-5
1955,29.77,ssp126,ACCESS-ESM1-5
1956,26.84,ssp126,ACCESS-ESM1-5
1957,33.23,ssp126,ACCESS-ESM1-5
1958,30.84,ssp126,ACCESS-ESM1-5
1959,34.68,ssp126,ACCESS-ESM1-5
1960,27.68,ssp126,ACCESS-ESM1-5
1961,31.11,ssp126,ACCESS-ESM1-5
1962,33.79,ssp126,ACCESS-ESM1-5
1963,34.52,ssp126,ACCESS-ESM1-5
1964,28.56,ssp126,ACCESS-ESM1-5
1965,32.58,ssp126,ACCESS-ESM1-5
1966,32.12,ssp126,ACCESS-ESM1-5
1967,24.23,ssp126,ACCESS-ESM1-5
1968,30.62,ssp126,ACCESS-ESM1-5
1969,34.92,ssp126,ACCESS-ESM1-5
1970,34.01,ssp126,ACCESS-ESM1-5
1971,25.57,ssp126,ACCESS-ESM1-5
1972,26.67,ssp126,ACCESS-ESM1-5
1973,35.14,ssp126,ACCESS-ESM1-5
1974,32.79,ssp126,ACCESS-ESM1-5
1975,27.38,ssp126,ACCESS-ESM1-5
1976,29.07,ssp126,ACCESS-ESM1-5
1977,33.26,ssp126,ACCESS-ESM1-5
1978,26.76,ssp126,ACCESS-ESM1-5
1979,26.64,ssp126,ACCESS-ESM1-5
1980,32.35,ssp126,ACCESS-ESM1-5
1981,29.92,ssp126,ACCESS-ESM1-5
1982,28.28,ssp126,ACCESS-ESM1-5
1983,25.9,ssp126,ACCESS-ESM1-5
1984,27.91,ssp126,ACCESS-ESM1-5
1985,26.08,ssp126,ACCESS-ESM1-5
1986,32.58,ssp126,ACCESS-ESM1-5
1987,34.39,ssp126,ACCESS-ESM1-5
1988,30.56,ssp126,ACCESS-ESM1-5
1989,28.68,ssp126,ACCESS-ESM1-5
1990,28.48,ssp126,ACCESS-ESM1-5
1991,26.6,ssp126,ACCESS-ESM1-5
1992,28.86,ssp126,ACCESS-ESM1-5
1993,30.46,ssp126,ACCESS-ESM1-5
1994,26.12,ssp126,ACCESS-ESM1-5
1995,29.87,ssp126,ACCESS-ESM1-5
1996,36.83,ssp126,ACCESS-ESM1-5
1997,31.3,ssp126,ACCESS-ESM1-5
1998,30.67,ssp126,ACCESS-ESM1-5
1999,31.09,ssp126,ACCESS-ESM1-5
2000,30.21,ssp126,ACCESS-ESM1-5
2001,31.06,ssp126,ACCESS-ESM1-5
2002,36.68,ssp126,ACCESS-ESM1-5
2003,30.14,ssp126,ACCESS-ESM1-5
2004,29.0,ssp126,ACCESS-ESM1-5
2005,30.07,ssp126,ACCESS-ESM1-5
2006,26.56,ssp126,ACCESS-ESM1-5
2007,31.25,ssp126,ACCESS-ESM1-5
2008,31.78,ssp126,ACCESS-ESM1-5
2009,27.45,ssp126,ACCESS-ESM1-5
2010,31.26,ssp126,ACCESS-ESM1-5
2011,33.42,ssp126,ACCESS-ESM1-5
2012,33.3,ssp126,ACCESS-ESM1-5
2013,35.21,ssp126,ACCESS-ESM1-5
2014,29.34,ssp126,ACCESS-ESM1-5
2015,28.97,ssp126,ACCESS-ESM1-5
2016,29.1,ssp126,ACCESS-ESM1-5
2017,29.27,ssp126,ACCESS-ESM1-5
2018,32.4,ssp126,ACCESS-ESM1-5
2019,29.7,ssp126,ACCESS-ESM1-5
2020,35.84,ssp126,ACCESS-ESM1-5
2021,33.09,ssp126,ACCESS-ESM1-5
2022,28.92,ssp126,ACCESS-ESM1-5
2023,31.32,ssp126,ACCESS-ESM1-5
2024,31.23,ssp126,ACCESS-ESM1-5
2025,35.93,ssp126,ACCESS-ESM1-5
2026,30.01,ssp126,ACCESS-ESM1-5
2027,33.47,ssp126,ACCESS-ESM1-5
2028,33.26,ssp126,ACCESS-ESM1-5
2029,30.98,ssp126,ACCESS-ESM1-5
2030,35.01,ssp126,ACCESS-ESM1-5
2031,29.59,ssp126,ACCESS-ESM1-5
2032,31.86,ssp126,ACCESS-ESM1-5
2033,33.88,ssp126,ACCESS-ESM1-5
2034,32.31,ssp126,ACCESS-ESM1-5
2035,29.58,ssp126,ACCESS-ESM1-5
2036,36.48,ssp126,ACCESS-ESM1-5
2037,33.99,ssp126,ACCESS-ESM1-5
2038,38.02,ssp126,ACCESS-ESM1-5
2039,34.07,ssp126,ACCESS-ESM1-5
2040,33.72,ssp126,ACCESS-ESM1-5
2041,30.62,ssp126,ACCESS-ESM1-5
2042,33.12,ssp126,ACCESS-ESM1-5
2043,38.19,ssp126,ACCESS-ESM1-5
2044,34.16,ssp126,ACCESS-ESM1-5
2045,30.45,ssp126,ACCESS-ESM1-5
2046,32.21,ssp126,ACCESS-ESM1-5
2047,28.42,ssp126,ACCESS-ESM1-5
2048,33.39,ssp126,ACCESS-ESM1-5
2049,33.57,ssp126,ACCESS-ESM1-5
2050,36.72,ssp126,ACCESS-ESM1-5
2051,30.76,ssp126,ACCESS-ESM1-5
2052,31.02,ssp126,ACCESS-ESM1-5
2053,32.28,ssp126,ACCESS-ESM1-5
2054,32.76,ssp126,ACCESS-ESM1-5
2055,30.15,ssp126,ACCESS-ESM1-5
2056,32.39,ssp126,ACCESS-ESM1-5
2057,34.9,ssp126,ACCESS-ESM1-5
2058,39.66,ssp126,ACCESS-ESM1-5
2059,35.32,ssp126,ACCESS-ESM1-5
2060,29.82,ssp126,ACCESS-ESM1-5
2061,36.36,ssp126,ACCESS-ESM1-5
2062,35.91,ssp126,ACCESS-ESM1-5
2063,34.96,ssp126,ACCESS-ESM1-5
2064,35.89,ssp126,ACCESS-ESM1-5
2065,27.56,ssp126,ACCESS-ESM1-5
2066,35.97,ssp126,ACCESS-ESM1-5
2067,32.39,ssp126,ACCESS-ESM1-5
2068,32.63,ssp126,ACCESS-ESM1-5
2069,36.5,ssp126,ACCESS-ESM1-5
2070,35.96,ssp126,ACCESS-ESM1-5
2071,33.5,ssp126,ACCESS-ESM1-5
2072,30.04,ssp126,ACCESS-ESM1-5
2073,34.76,ssp126,ACCESS-ESM1-5
2074,39.14,ssp126,ACCESS-ESM1-5
2075,31.21,ssp126,ACCESS-ESM1-5
2076,33.9,ssp126,ACCESS-ESM1-5
2077,30.09,ssp126,ACCESS-ESM1-5
2078,35.9,ssp126,ACCESS-ESM1-5
2079,31.19,ssp126,ACCESS-ESM1-5
2080,34.51,ssp126,ACCESS-ESM1-5
2081,34.45,ssp126,ACCESS-ESM1-5
2082,32.2,ssp126,ACCESS-ESM1-5
2083,33.43,ssp126,ACCESS-ESM1-5
2084,39.05,ssp126,ACCESS-ESM1-5
2085,31.83,ssp126,ACCESS-ESM1-5
2086,38.78,ssp126,ACCESS-ESM1-5
2087,32.03,ssp126,ACCESS-ESM1-5
2088,30.04,ssp126,ACCESS-ESM1-5
2089,32.96,ssp126,ACCESS-ESM1-5
2090,33.33,ssp126,ACCESS-ESM1-5
2091,33.64,ssp126,ACCESS-ESM1-5
2092,34.73,ssp126,ACCESS-ESM1-5
2093,27.51,ssp126,ACCESS-ESM1-5
2094,34.43,ssp126,ACCESS-ESM1-5
2095,37.95,ssp126,ACCESS-ESM1-5
2096,34.41,ssp126,ACCESS-ESM1-5
2097,30.95,ssp126,ACCESS-ESM1-5
2098,28.43,ssp126,ACCESS-ESM1-5
2099,30.4,ssp126,ACCESS-ESM1-5
2100,35.3,ssp126,ACCESS-ESM1-5
1950,30.35,ssp126,BCC-CSM2-MR
1951,28.45,ssp126,BCC-CSM2-MR
1952,29.39,ssp126,BCC-CSM2-MR
1953,27.11,ssp126,BCC-CSM2-MR
1954,33.71,ssp126,BCC-CSM2-MR
1955,29.68,ssp126,BCC-CSM2-MR
1956,28.94,ssp126,BCC-CSM2-MR
1957,34.2,ssp126,BCC-CSM2-MR
1958,29.53,ssp126,BCC-CSM2-MR
1959,28.53,ssp126,BCC-CSM2-MR
1960,30.82,ssp126,BCC-CSM2-MR
1961,31.02,ssp126,BCC-CSM2-MR
1962,31.83,ssp126,BCC-CSM2-MR
1963,27.87,ssp126,BCC-CSM2-MR
1964,31.99,ssp126,BCC-CSM2-MR
1965,23.51,ssp126,BCC-CSM2-MR
1966,35.37,ssp126,BCC-CSM2-MR
1967,31.39,ssp126,BCC-CSM2-MR
1968,30.32,ssp126,BCC-CSM2-MR
1969,29.11,ssp126,BCC-CSM2-MR
1970,28.33,ssp126,BCC-CSM2-MR
1971,27.51,ssp126,BCC-CSM2-MR
1972,29.11,ssp126,BCC-CSM2-MR
1973,27.57,ssp126,BCC-CSM2-MR
1974,32.23,ssp126,BCC-CSM2-MR
1975,32.92,ssp126,BCC-CSM2-MR
1976,32.65,ssp126,BCC-CSM2-MR
1977,28.75,ssp126,BCC-CSM2-MR
1978,30.97,ssp126,BCC-CSM2-MR
1979,30.56,ssp126,BCC-CSM2-MR
1980,31.32,ssp126,BCC-CSM2-MR
1981,32.69,ssp126,BCC-CSM2-MR
1982,31.57,ssp126,BCC-CSM2-MR
1983,33.07,ssp126,BCC-CSM2-MR
1984,31.46,ssp126,BCC-CSM2-MR
1985,29.6,ssp126,BCC-CSM2-MR
1986,25.77,ssp126,BCC-CSM2-MR
1987,32.08,ssp126,BCC-CSM2-MR
1988,30.09,ssp126,BCC-CSM2-MR
1989,30.69,ssp126,BCC-CSM2-MR
1990,28.49,ssp126,BCC-CSM2-MR
1991,26.0,ssp126,BCC-CSM2-MR
1992,32.51,ssp126,BCC-CSM2-MR
1993,31.52,ssp126,BCC-CSM2-MR
1994,32.35,ssp126,BCC-CSM2-MR
1995,33.02,ssp126,BCC-CSM2-MR
1996,31.16,ssp126,BCC-CSM2-MR
1997,34.54,ssp126,BCC-CSM2-MR
1998,29.31,ssp126,BCC-CSM2-MR
1999,27.59,ssp126,BCC-CSM2-MR
2000,30.35,ssp126,BCC-CSM2-MR
2001,30.32,ssp126,BCC-CSM2-MR
2002,35.01,ssp126,BCC-CSM2-MR
2003,32.34,ssp126,BCC-CSM2-MR
2004,29.5,ssp126,BCC-CSM2-MR
2005,32.75,ssp126,BCC-CSM2-MR
2006,29.4,ssp126,BCC-CSM2-MR
2007,34.54,ssp126,BCC-CSM2-MR
2008,27.54,ssp126,BCC-CSM2-MR
2009,30.79,ssp126,BCC-CSM2-MR
2010,27.63,ssp126,BCC-CSM2-MR
2011,33.69,ssp126,BCC-CSM2-MR
2012,31.15,ssp126,BCC-CSM2-MR
2013,32.72,ssp126,BCC-CSM2-MR
2014,33.78,ssp126,BCC-CSM2-MR
2015,30.39,ssp126,BCC-CSM2-MR
2016,35.46,ssp126,BCC-CSM2-MR
2017,34.9,ssp126,BCC-CSM2-MR
2018,30.66,ssp126,BCC-CSM2-MR
2019,30.67,ssp126,BCC-CSM2-MR
2020,33.63,ssp126,BCC-CSM2-MR
2021,36.4,ssp126,BCC-CSM2-MR
2022,28.86,ssp126,BCC-CSM2-MR
2023,32.29,ssp126,BCC-CSM2-MR
2024,31.79,ssp126,BCC-CSM2-MR
2025,33.73,ssp126,BCC-CSM2-MR
2026,28.73,ssp126,BCC-CSM2-MR
2027,34.99,ssp126,BCC-CSM2-MR
2028,31.93,ssp126,BCC-CSM2-MR
2029,26.97,ssp126,BCC-CSM2-MR
2030,28.71,ssp126,BCC-CSM2-MR
2031,36.71,ssp126,BCC-CSM2-MR
2032,33.09,ssp126,BCC-CSM2-MR
2033,37.03,ssp126,BCC-CSM2-MR
2034,30.57,ssp126,BCC-CSM2-MR
2035,35.79,ssp126,BCC-CSM2-MR
2036,33.31,ssp126,BCC-CSM2-MR
2037,29.06,ssp126,BCC-CSM2-MR
2038,31.01,ssp126,BCC-CSM2-MR
2039,26.5,ssp126,BCC-CSM2-MR
2040,28.72,ssp126,BCC-CSM2-MR
2041,32.07,ssp126,BCC-CSM2-MR
2042,35.15,ssp126,BCC-CSM2-MR
2043,31.09,ssp126,BCC-CSM2-MR
2044,27.38,ssp126,BCC-CSM2-MR
2045,32.91,ssp126,BCC-CSM2-MR
2046,30.66,ssp126,BCC-CSM2-MR
2047,31.15,ssp126,BCC-CSM2-MR
2048,31.45,ssp126,BCC-CSM2-MR
2049,34.64,ssp126,BCC-CSM2-MR
2050,35.33,ssp126,BCC-CSM2-MR
2051,30.81,ssp126,BCC-CSM2-MR
2052,39.25,ssp126,BCC-CSM2-MR
2053,32.52,ssp126,BCC-CSM2-MR
2054,29.98,ssp126,BCC-CSM2-MR
2055,30.98,ssp126,BCC-CSM2-MR
2056,33.57,ssp126,BCC-CSM2-MR
2057,31.51,ssp126,BCC-CSM2-MR
2058,31.4,ssp126,BCC-CSM2-MR
2059,34.14,ssp126,BCC-CSM2-MR
2060,30.68,ssp126,BCC-CSM2-MR
2061,27.37,ssp126,BCC-CSM2-MR
2062,29.97,ssp126,BCC-CSM2-MR
2063,30.88,ssp126,BCC-CSM2-MR
2064,33.44,ssp126,BCC-CSM2-MR
2065,30.63,ssp126,BCC-CSM2-MR
2066,32.66,ssp126,BCC-CSM2-MR
2067,31.88,ssp126,BCC-CSM2-MR
2068,32.06,ssp126,BCC-CSM2-MR
2069,35.71,ssp126,BCC-CSM2-MR
2070,30.54,ssp126,BCC-CSM2-MR
2071,32.72,ssp126,BCC-CSM2-MR
2072,36.55,ssp126,BCC-CSM2-MR
2073,27.86,ssp126,BCC-CSM2-MR
2074,34.87,ssp126,BCC-CSM2-MR
2075,30.23,ssp126,BCC-CSM2-MR
2076,36.64,ssp126,BCC-CSM2-MR
2077,24.26,ssp126,BCC-CSM2-MR
2078,26.37,ssp126,BCC-CSM2-MR
2079,33.32,ssp126,BCC-CSM2-MR
2080,35.36,ssp126,BCC-CSM2-MR
2081,31.48,ssp126,BCC-CSM2-MR
2082,33.77,ssp126,BCC-CSM2-MR
2083,35.72,ssp126,BCC-CSM2-MR
2084,32.84,ssp126,BCC-CSM2-MR
2085,31.56,ssp126,BCC-CSM2-MR
2086,35.97,ssp126,BCC-CSM2-MR
2087,38.08,ssp126,BCC-CSM2-MR
2088,33.18,ssp126,BCC-CSM2-MR
2089,30.62,ssp126,BCC-CSM2-MR
2090,31.48,ssp126,BCC-CSM2-MR
2091,35.68,ssp126,BCC-CSM2-MR
2092,29.14,ssp126,BCC-CSM2-MR
2093,34.25,ssp126,BCC-CSM2-MR
2094,29.47,ssp126,BCC-CSM2-MR
2095,31.75,ssp126,BCC-CSM2-MR
2096,34.05,ssp126,BCC-CSM2-MR
2097,34.06,ssp126,BCC-CSM2-MR
2098,33.89,ssp126,BCC-CSM2-MR
2099,35.39,ssp126,BCC-CSM2-MR
2100,33.1,ssp126,BCC-CSM2-MR
1950,30.45,ssp126,CanESM5
1951,27.65,ssp126,CanESM5
1952,32.4,ssp126,CanESM5
1953,22.9,ssp126,CanESM5
1954,27.27,ssp126,CanESM5
1955,27.5,ssp126,CanESM5
1956,32.15,ssp126,CanESM5
1957,28.71,ssp126,CanESM5
1958,26.5,ssp126,CanESM5
1959,31.12,ssp126,CanESM5
1960,34.43,ssp126,CanESM5
1961,36.13,ssp126,CanESM5
1962,26.28,ssp126,CanESM5
1963,27.91,ssp126,CanESM5
1964,33.37,ssp126,CanESM5
1965,27.59,ssp126,CanESM5
1966,32.63,ssp126,CanESM5
1967,31.73,ssp126,CanESM5
1968,29.04,ssp126,CanESM5
1969,28.17,ssp126,CanESM5
1970,27.68,ssp126,CanESM5
1971,31.8,ssp126,CanESM5
1972,31.67,ssp126,CanESM5
1973,32.21,ssp126,CanESM5
1974,30.26,ssp126,CanESM5
1975,26.87,ssp126,CanESM5
1976,29.25,ssp126,CanESM5
1977,30.71,ssp126,CanESM5
1978,29.94,ssp126,CanESM5
1979,24.39,ssp126,CanESM5
1980,30.8,ssp126,CanESM5
1981,33.01,ssp126,CanESM5
1982,32.27,ssp126,CanESM5
1983,29.29,ssp126,CanESM5
1984,34.17,ssp126,CanESM5
1985,30.38,ssp126,CanESM5
1986,27.96,ssp126,CanESM5
1987,28.35,ssp126,CanESM5
1988,29.26,ssp126,CanESM5
1989,34.09,ssp126,CanESM5
1990,30.19,ssp126,CanESM5
1991,32.07,ssp126,CanESM5
1992,32.87,ssp126,CanESM5
1993,28.87,ssp126,CanESM5
1994,28.39,ssp126,CanESM5
1995,27.62,ssp126,CanESM5
1996,32.14,ssp126,CanESM5
1997,29.44,ssp126,CanESM5
1998,32.43,ssp126,CanESM5
1999,31.72,ssp126,CanESM5
2000,32.73,ssp126,CanESM5
2001,33.14,ssp126,CanESM5
2002,30.33,ssp126,CanESM5
2003,38.21,ssp126,CanESM5
2004,30.47,ssp126,CanESM5
2005,31.82,ssp126,CanESM5
2006,30.8,ssp126,CanESM5
2007,29.35,ssp126,CanESM5
2008,29.01,ssp126,CanESM5
2009,34.94,ssp126,CanESM5
2010,37.54,ssp126,CanESM5
2011,32.77,ssp126,CanESM5
2012,32.68,ssp126,CanESM5
2013,37.09,ssp126,CanESM5
2014,35.31,ssp126,CanESM5
2015,28.55,ssp126,CanESM5
2016,31.74,ssp126,CanESM5
2017,30.84,ssp126,CanESM5
2018,29.05,ssp126,CanESM5
2019,28.41,ssp126,CanESM5
2020,25.55,ssp126,CanESM5
2021,34.45,ssp126,CanESM5
2022,27.12,ssp126,CanESM5
2023,32.23,ssp126,CanESM5
2024,32.1,ssp126,CanESM5
2025,31.03,ssp126,CanESM5
2026,34.97,ssp126,CanESM5
2027,32.05,ssp126,CanESM5
2028,29.77,ssp126,CanESM5
2029,31.22,ssp126,CanESM5
2030,32.14,ssp126,CanESM5
2031,29.27,ssp126,CanESM5
2032,32.0,ssp126,CanESM5
2033,33.51,ssp126,CanESM5
2034,32.6,ssp126,CanESM5
2035,28.83,ssp126,CanESM5
2036,31.91,ssp126,CanESM5
2037,32.04,ssp126,CanESM5
2038,33.88,ssp126,CanESM5
2039,30.72,ssp126,CanESM5
2040,32.32,ssp126,CanESM5
2041,36.5,ssp126,CanESM5
2042,37.87,ssp126,CanESM5
2043,31.98,ssp126,CanESM5
2044,34.55,ssp126,CanESM5
2045,34.08,ssp126,CanESM5
2046,35.15,ssp126,CanESM5
2047,27.96,ssp126,CanESM5
2048,29.63,ssp126,CanESM5
2049,30.43,ssp126,CanESM5
2050,27.1,ssp126,CanESM5
2051,33.23,ssp126,CanESM5
2052,30.64,ssp126,CanESM5
2053,32.35,ssp126,CanESM5
2054,34.23,ssp126,CanESM5
2055,33.91,ssp126,CanESM5
2056,31.05,ssp126,CanESM5
2057,35.32,ssp126,CanESM5
2058,29.67,ssp126,CanESM5
2059,33.91,ssp126,CanESM5
2060,34.6,ssp126,CanESM5
2061,29.58,ssp126,CanESM5
2062,30.48,ssp126,CanESM5
2063,33.36,ssp126,CanESM5
2064,33.28,ssp126,CanESM5
2065,30.36,ssp126,CanESM5
2066,34.45,ssp126,CanESM5
2067,29.49,ssp126,CanESM5
2068,30.75,ssp126,CanESM5
2069,34.24,ssp126,CanESM5
2070,32.06,ssp126,CanESM5
2071,32.65,ssp126,CanESM5
2072,32.25,ssp126,CanESM5
2073,35.1,ssp126,CanESM5
2074,39.17,ssp126,CanESM5
2075,33.3,ssp126,CanESM5
2076,27.0,ssp126,CanESM5
2077,34.92,ssp126,CanESM5
2078,29.4,ssp126,CanESM5
2079,33.91,ssp126,CanESM5
2080,33.69,ssp126,CanESM5
2081,39.14,ssp126,CanESM5
2082,35.92,ssp126,CanESM5
2083,35.18,ssp126,CanESM5
2084,31.1,ssp126,CanESM5
2085,36.64,ssp126,CanESM5
2086,38.18,ssp126,CanESM5
2087,29.26,ssp126,CanESM5
2088,28.84,ssp126,CanESM5
2089,32.65,ssp126,CanESM5
2090,33.26,ssp126,CanESM5
2091,32.42,ssp126,CanESM5
2092,29.27,ssp126,CanESM5
2093,36.45,ssp126,CanESM5
2094,31.55,ssp126,CanESM5
2095,33.75,ssp126,CanESM5
2096,37.67,ssp126,CanESM5
2097,30.26,ssp126,CanESM5
2098,34.34,ssp126,CanESM5
2099,40.84,ssp126,CanESM5
2100,36.58,ssp126,CanESM5
1950,27.45,ssp126,EC-Earth3
1951,26.86,ssp126,EC-Earth3
1952,29.56,ssp126,EC-Earth3
1953,32.06,ssp126,EC-Earth3
1954,31.37,ssp126,EC-Earth3
1955,26.83,ssp126,EC-Earth3
1956,28.91,ssp126,EC-Earth3
1957,29.81,ssp126,EC-Earth3
1958,29.21,ssp126,EC-Earth3
1959,26.84,ssp126,EC-Earth3
1960,32.33,ssp126,EC-Earth3
1961,26.58,ssp126,EC-Earth3
1962,30.03,ssp126,EC-Earth3
1963,29.51,ssp126,EC-Earth3
1964,32.19,ssp126,EC-Earth3
1965,30.02,ssp126,EC-Earth3
1966,26.76,ssp126,EC-Earth3
1967,29.35,ssp126,EC-Earth3
1968,30.0,ssp126,EC-Earth3
1969,29.48,ssp126,EC-Earth3
1970,28.53,ssp126,EC-Earth3
1971,28.57,ssp126,EC-Earth3
1972,25.91,ssp126,EC-Earth3
1973,26.14,ssp126,EC-Earth3
1974,31.44,ssp126,EC-Earth3
1975,31.64,ssp126,EC-Earth3
1976,30.31,ssp126,EC-Earth3
