year,season,scenario,model,snc_mile2
2064,2,ssp585,fgoals_g3,2364613.2744356
2064,3,ssp126,fgoals_g3,289393.398763884
2064,3,ssp245,fgoals_g3,198673.703638895
2064,3,ssp370,fgoals_g3,143146.624736948
2064,3,ssp585,fgoals_g3,86680.4428364443
2064,4,ssp126,fgoals_g3,1246547.71940913
2064,4,ssp245,fgoals_g3,1195817.14319236
2064,4,ssp370,fgoals_g3,1029552.10715453
2064,4,ssp585,fgoals_g3,878086.956529021
2065,1,ssp126,fgoals_g3,3938684.50902591
2065,1,ssp245,fgoals_g3,4252050.65896984
2065,1,ssp370,fgoals_g3,4016496.21343502
2065,1,ssp585,fgoals_g3,3758285.86631866
2065,2,ssp126,fgoals_g3,2862393.18016277
2065,2,ssp245,fgoals_g3,2563075.79492462
2065,2,ssp370,fgoals_g3,2436193.78014441
2065,2,ssp585,fgoals_g3,2377650.51126056
2065,3,ssp126,fgoals_g3,302834.116442462
2065,3,ssp245,fgoals_g3,266512.923293308
2065,3,ssp370,fgoals_g3,155198.220566146
2065,3,ssp585,fgoals_g3,130164.299497957
2065,4,ssp126,fgoals_g3,1164299.96525922
2065,4,ssp245,fgoals_g3,1146514.54161496
2065,4,ssp370,fgoals_g3,1200638.85802142
2065,4,ssp585,fgoals_g3,1102695.63904544
2066,1,ssp126,fgoals_g3,4168067.75673704
2066,1,ssp245,fgoals_g3,4289182.77685897
2066,1,ssp370,fgoals_g3,3980840.06746291
2066,1,ssp585,fgoals_g3,3774863.0882488
2066,2,ssp126,fgoals_g3,2875754.45597302
2066,2,ssp245,fgoals_g3,2442236.30188707
2066,2,ssp370,fgoals_g3,2353408.4134206
2066,2,ssp585,fgoals_g3,1932720.09388292
2066,3,ssp126,fgoals_g3,257530.244227027
2066,3,ssp245,fgoals_g3,205273.703983339
2066,3,ssp370,fgoals_g3,215589.109166397
2066,3,ssp585,fgoals_g3,187354.797452894
2066,4,ssp126,fgoals_g3,1420532.15247175
2066,4,ssp245,fgoals_g3,1226916.00316116
2066,4,ssp370,fgoals_g3,1190635.096205
2066,4,ssp585,fgoals_g3,994850.351522219
2067,1,ssp126,fgoals_g3,4234866.39491553
2067,1,ssp245,fgoals_g3,3980707.90156896
2067,1,ssp370,fgoals_g3,3688005.25071228
2067,1,ssp585,fgoals_g3,3606122.43796015
2067,2,ssp126,fgoals_g3,2397352.30233988
2067,2,ssp245,fgoals_g3,2387407.15923355
2067,2,ssp370,fgoals_g3,2437471.94776462
2067,2,ssp585,fgoals_g3,2162412.12942515
2067,3,ssp126,fgoals_g3,282480.185000174
2067,3,ssp245,fgoals_g3,158389.90837405
2067,3,ssp370,fgoals_g3,184276.098204347
2067,3,ssp585,fgoals_g3,109796.704884556
2067,4,ssp126,fgoals_g3,1221597.30886749
2067,4,ssp245,fgoals_g3,1126504.48998922
2067,4,ssp370,fgoals_g3,1023847.17984277
2067,4,ssp585,fgoals_g3,994336.532636255
2068,1,ssp126,fgoals_g3,3904427.35193741
2068,1,ssp245,fgoals_g3,3948584.11802333
2068,1,ssp370,fgoals_g3,4059337.25532998
2068,1,ssp585,fgoals_g3,3998691.24073161
2068,2,ssp126,fgoals_g3,2637500.06722128
2068,2,ssp245,fgoals_g3,2259565.5990352
2068,2,ssp370,fgoals_g3,2342867.27916004
2068,2,ssp585,fgoals_g3,2387286.01072439
2068,3,ssp126,fgoals_g3,174193.105276399
2068,3,ssp245,fgoals_g3,184503.605523596
2068,3,ssp370,fgoals_g3,205292.888439525
2068,3,ssp585,fgoals_g3,94566.0567550021
2068,4,ssp126,fgoals_g3,1519060.15918216
2068,4,ssp245,fgoals_g3,1157853.80942597
2068,4,ssp370,fgoals_g3,1153741.16687522
2068,4,ssp585,fgoals_g3,1098613.0145185
2069,1,ssp126,fgoals_g3,4772751.10119406
2069,1,ssp245,fgoals_g3,4231894.4956475
2069,1,ssp370,fgoals_g3,3913518.05813984
2069,1,ssp585,fgoals_g3,3628665.4369345
2069,2,ssp126,fgoals_g3,2970038.49503471
2069,2,ssp245,fgoals_g3,2477766.98995349
2069,2,ssp370,fgoals_g3,2337271.41622761
2069,2,ssp585,fgoals_g3,2164446.80752512
2069,3,ssp126,fgoals_g3,253328.356832761
2069,3,ssp245,fgoals_g3,231620.214090583
2069,3,ssp370,fgoals_g3,149510.259215998
2069,3,ssp585,fgoals_g3,153762.714188574
2069,4,ssp126,fgoals_g3,1373318.45406178
2069,4,ssp245,fgoals_g3,1100880.47486056
2069,4,ssp370,fgoals_g3,915453.248553836
2069,4,ssp585,fgoals_g3,1107227.09949975
2070,1,ssp126,fgoals_g3,4304966.89135269
2070,1,ssp245,fgoals_g3,4287428.09553453
2070,1,ssp370,fgoals_g3,3903868.30927474
2070,1,ssp585,fgoals_g3,3869935.66440206
2070,2,ssp126,fgoals_g3,2448949.2364608
2070,2,ssp245,fgoals_g3,2611549.37515203
2070,2,ssp370,fgoals_g3,2327696.44686791
2070,2,ssp585,fgoals_g3,2176082.53233979
2070,3,ssp126,fgoals_g3,216261.944578568
2070,3,ssp245,fgoals_g3,205922.43300474
2070,3,ssp370,fgoals_g3,203793.529551163
2070,3,ssp585,fgoals_g3,136556.776440742
2070,4,ssp126,fgoals_g3,1259894.1598531
2070,4,ssp245,fgoals_g3,1216927.57978562
2070,4,ssp370,fgoals_g3,1036475.11375245
2070,4,ssp585,fgoals_g3,1146484.71847624
2071,1,ssp126,fgoals_g3,4139784.74039479
2071,1,ssp245,fgoals_g3,4099658.89947592
2071,1,ssp370,fgoals_g3,3823450.33569048
2071,1,ssp585,fgoals_g3,4115136.1592786
2071,2,ssp126,fgoals_g3,2877535.81834537
2071,2,ssp245,fgoals_g3,2597678.34863954
2071,2,ssp370,fgoals_g3,2263428.14730923
2071,2,ssp585,fgoals_g3,2471765.65108155
2071,3,ssp126,fgoals_g3,193429.345423271
2071,3,ssp245,fgoals_g3,178714.939064718
2071,3,ssp370,fgoals_g3,197393.854085312
2071,3,ssp585,fgoals_g3,143822.341356658
2071,4,ssp126,fgoals_g3,1480750.80189592
2071,4,ssp245,fgoals_g3,1175606.71271525
2071,4,ssp370,fgoals_g3,1028024.24201597
2071,4,ssp585,fgoals_g3,882970.507337961
2072,1,ssp126,fgoals_g3,4249857.53581438
2072,1,ssp245,fgoals_g3,4234347.05620161
2072,1,ssp370,fgoals_g3,3625731.50634053
2072,1,ssp585,fgoals_g3,3612095.35604344
2072,2,ssp126,fgoals_g3,3022720.16709001
2072,2,ssp245,fgoals_g3,2380755.48781109
2072,2,ssp370,fgoals_g3,2027587.2109346
2072,2,ssp585,fgoals_g3,2163619.43373654
2072,3,ssp126,fgoals_g3,226689.982790922
2072,3,ssp245,fgoals_g3,199669.37131955
2072,3,ssp370,fgoals_g3,103317.266048463
2072,3,ssp585,fgoals_g3,126783.627269253
2072,4,ssp126,fgoals_g3,1563141.41276625
2072,4,ssp245,fgoals_g3,1206792.44244204
2072,4,ssp370,fgoals_g3,1100911.76094901
2072,4,ssp585,fgoals_g3,1058218.33892953
2073,1,ssp126,fgoals_g3,4443445.28130371
2073,1,ssp245,fgoals_g3,4170237.83267906
2073,1,ssp370,fgoals_g3,3978768.1900836
2073,1,ssp585,fgoals_g3,3912670.82977784
2073,2,ssp126,fgoals_g3,2454702.42355654
2073,2,ssp245,fgoals_g3,2781407.78461829
2073,2,ssp370,fgoals_g3,2179230.45392879
2073,2,ssp585,fgoals_g3,2064862.07865895
2073,3,ssp126,fgoals_g3,210559.914150783
2073,3,ssp245,fgoals_g3,164784.309326737
2073,3,ssp370,fgoals_g3,132172.608828235
2073,3,ssp585,fgoals_g3,147225.256338072
2073,4,ssp126,fgoals_g3,1356194.04098068
2073,4,ssp245,fgoals_g3,1033127.16024603
2073,4,ssp370,fgoals_g3,1118844.71667001
2073,4,ssp585,fgoals_g3,1032740.25842792
2074,1,ssp126,fgoals_g3,4460977.17891477
2074,1,ssp245,fgoals_g3,3699070.15384505
2074,1,ssp370,fgoals_g3,3796754.42407715
2074,1,ssp585,fgoals_g3,3791222.75271252
2074,2,ssp126,fgoals_g3,2760309.97324512
2074,2,ssp245,fgoals_g3,2183912.89044278
2074,2,ssp370,fgoals_g3,2334241.61469343
2074,2,ssp585,fgoals_g3,2065611.39617394
2074,3,ssp126,fgoals_g3,279640.913587644
2074,3,ssp245,fgoals_g3,181971.72883701
2074,3,ssp370,fgoals_g3,146270.68576158
2074,3,ssp585,fgoals_g3,86033.0512418795
2074,4,ssp126,fgoals_g3,1212818.18221307
2074,4,ssp245,fgoals_g3,1162511.33681347
2074,4,ssp370,fgoals_g3,1077123.17290744
2074,4,ssp585,fgoals_g3,1080989.526852
2075,1,ssp126,fgoals_g3,4421317.6162403
2075,1,ssp245,fgoals_g3,4243044.50437401
2075,1,ssp370,fgoals_g3,3762485.0968304
2075,1,ssp585,fgoals_g3,3823297.33890105
2075,2,ssp126,fgoals_g3,2717887.92951213
2075,2,ssp245,fgoals_g3,2335028.14782717
2075,2,ssp370,fgoals_g3,2311577.00615388
2075,2,ssp585,fgoals_g3,2152253.31933508
2075,3,ssp126,fgoals_g3,133881.986108633
2075,3,ssp245,fgoals_g3,162850.77618674
2075,3,ssp370,fgoals_g3,125510.097130015
2075,3,ssp585,fgoals_g3,65366.8770306775
2075,4,ssp126,fgoals_g3,1185949.01696249
2075,4,ssp245,fgoals_g3,1111905.88335647
2075,4,ssp370,fgoals_g3,1289213.25188169
2075,4,ssp585,fgoals_g3,932087.392122446
2076,1,ssp126,fgoals_g3,3979269.02322
2076,1,ssp245,fgoals_g3,3937112.12647842
2076,1,ssp370,fgoals_g3,3639513.25250602
2076,1,ssp585,fgoals_g3,3949089.97284062
2076,2,ssp126,fgoals_g3,2625000.03437062
2076,2,ssp245,fgoals_g3,2390148.80749426
2076,2,ssp370,fgoals_g3,2316165.70630015
2076,2,ssp585,fgoals_g3,2186989.9160049
2076,3,ssp126,fgoals_g3,244059.550807308
2076,3,ssp245,fgoals_g3,183421.544138683
2076,3,ssp370,fgoals_g3,241561.276488935
2076,3,ssp585,fgoals_g3,122504.379518064
2076,4,ssp126,fgoals_g3,1324977.89446265
2076,4,ssp245,fgoals_g3,1128714.30586488
2076,4,ssp370,fgoals_g3,1130832.98507613
2076,4,ssp585,fgoals_g3,878068.750556433
2077,1,ssp126,fgoals_g3,4649738.89871606
2077,1,ssp245,fgoals_g3,4054999.96327971
2077,1,ssp370,fgoals_g3,4350849.71997339
2077,1,ssp585,fgoals_g3,3713277.25504926
2077,2,ssp126,fgoals_g3,2421716.73279214
2077,2,ssp245,fgoals_g3,2221997.84222461
2077,2,ssp370,fgoals_g3,2556265.38879811
2077,2,ssp585,fgoals_g3,2187010.1383131
2077,3,ssp126,fgoals_g3,198410.623792817
2077,3,ssp245,fgoals_g3,153651.646498332
2077,3,ssp370,fgoals_g3,239601.828800162
2077,3,ssp585,fgoals_g3,72245.9542999428
2077,4,ssp126,fgoals_g3,1370342.66368628
2077,4,ssp245,fgoals_g3,1114810.42738516
2077,4,ssp370,fgoals_g3,821502.623323227
2077,4,ssp585,fgoals_g3,1141450.53005747
2078,1,ssp126,fgoals_g3,4164926.18477841
2078,1,ssp245,fgoals_g3,3954112.43372085
2078,1,ssp370,fgoals_g3,3836278.02802342
2078,1,ssp585,fgoals_g3,3923997.99700921
2078,2,ssp126,fgoals_g3,2702151.06098157
2078,2,ssp245,fgoals_g3,2458922.87329625
2078,2,ssp370,fgoals_g3,2078393.63875746
2078,2,ssp585,fgoals_g3,2108145.86761139
2078,3,ssp126,fgoals_g3,230654.045712534
2078,3,ssp245,fgoals_g3,199720.885208715
2078,3,ssp370,fgoals_g3,115543.072988562
2078,3,ssp585,fgoals_g3,112248.999201827
2078,4,ssp126,fgoals_g3,1560524.27869966
2078,4,ssp245,fgoals_g3,943585.117277632
2078,4,ssp370,fgoals_g3,944536.656839776
2078,4,ssp585,fgoals_g3,914147.795397484
2079,1,ssp126,fgoals_g3,4642760.96119254
2079,1,ssp245,fgoals_g3,3847661.24336163
2079,1,ssp370,fgoals_g3,3782848.53840197
2079,1,ssp585,fgoals_g3,3855254.97473496
2079,2,ssp126,fgoals_g3,2786123.77547811
2079,2,ssp245,fgoals_g3,2064005.97746976
2079,2,ssp370,fgoals_g3,2331542.48496692
2079,2,ssp585,fgoals_g3,2331923.77635117
2079,3,ssp126,fgoals_g3,131300.849097432
2079,3,ssp245,fgoals_g3,168734.084862514
2079,3,ssp370,fgoals_g3,123018.94617275
2079,3,ssp585,fgoals_g3,134334.116784602
2079,4,ssp126,fgoals_g3,1375966.19688494
2079,4,ssp245,fgoals_g3,1413774.31949201
2079,4,ssp370,fgoals_g3,1090692.24295317
2079,4,ssp585,fgoals_g3,891529.871976832
2080,1,ssp126,fgoals_g3,4128505.43893748
2080,1,ssp245,fgoals_g3,4391850.36120619
2080,1,ssp370,fgoals_g3,3630627.3777725
2080,1,ssp585,fgoals_g3,3781681.43432693
2080,2,ssp126,fgoals_g3,2703491.86373038
2080,2,ssp245,fgoals_g3,2660254.3636177
2080,2,ssp370,fgoals_g3,2145300.10456802
2080,2,ssp585,fgoals_g3,1949059.10040112
2080,3,ssp126,fgoals_g3,272665.144055333
2080,3,ssp245,fgoals_g3,202902.85002969
2080,3,ssp370,fgoals_g3,166361.003963433
2080,3,ssp585,fgoals_g3,135954.22787038
2080,4,ssp126,fgoals_g3,1214796.29294754
2080,4,ssp245,fgoals_g3,1289186.11055185
2080,4,ssp370,fgoals_g3,951261.683875721
2080,4,ssp585,fgoals_g3,928077.914171869
2081,1,ssp126,fgoals_g3,4332299.64385607
2081,1,ssp245,fgoals_g3,3958396.13653928
2081,1,ssp370,fgoals_g3,3806777.75419643
2081,1,ssp585,fgoals_g3,3496245.74285452
2081,2,ssp126,fgoals_g3,2499168.70573691
2081,2,ssp245,fgoals_g3,2473342.08162753
2081,2,ssp370,fgoals_g3,2233108.16575508
2081,2,ssp585,fgoals_g3,2204895.17358087
2081,3,ssp126,fgoals_g3,152195.940467102
2081,3,ssp245,fgoals_g3,190143.889882242
2081,3,ssp370,fgoals_g3,117800.373532017
2081,3,ssp585,fgoals_g3,101422.387926814
2081,4,ssp126,fgoals_g3,1465550.67575878
2081,4,ssp245,fgoals_g3,982183.415245263
2081,4,ssp370,fgoals_g3,801515.224073647
2081,4,ssp585,fgoals_g3,744377.146790771
2082,1,ssp126,fgoals_g3,4119234.49433278
2082,1,ssp245,fgoals_g3,3680484.24435584
2082,1,ssp370,fgoals_g3,3569786.44211483
2082,1,ssp585,fgoals_g3,3419213.05278936
2082,2,ssp126,fgoals_g3,2474921.51302886
2082,2,ssp245,fgoals_g3,2374011.44914078
2082,2,ssp370,fgoals_g3,2227598.64624489
2082,2,ssp585,fgoals_g3,2077126.42528735
2082,3,ssp126,fgoals_g3,244850.694297136
2082,3,ssp245,fgoals_g3,188949.661479481
2082,3,ssp370,fgoals_g3,213430.021896483
2082,3,ssp585,fgoals_g3,98322.1312665698
2082,4,ssp126,fgoals_g3,1366788.23155819
2082,4,ssp245,fgoals_g3,1199378.0689568
2082,4,ssp370,fgoals_g3,998690.680826896
2082,4,ssp585,fgoals_g3,981709.162113554
2083,1,ssp126,fgoals_g3,4467691.6051095
2083,1,ssp245,fgoals_g3,4303980.71681025
2083,1,ssp370,fgoals_g3,3590676.84534406
2083,1,ssp585,fgoals_g3,3456151.50442407
2083,2,ssp126,fgoals_g3,2654199.35766869
2083,2,ssp245,fgoals_g3,2457512.92528227
2083,2,ssp370,fgoals_g3,2407811.85497839
2083,2,ssp585,fgoals_g3,1815275.28120098
2083,3,ssp126,fgoals_g3,236536.441253077
2083,3,ssp245,fgoals_g3,170777.77803915
2083,3,ssp370,fgoals_g3,179583.255270977
2083,3,ssp585,fgoals_g3,65361.430477549
2083,4,ssp126,fgoals_g3,1273602.64116553
2083,4,ssp245,fgoals_g3,1008697.753328
2083,4,ssp370,fgoals_g3,1006691.61608753
2083,4,ssp585,fgoals_g3,915110.264198792
2084,1,ssp126,fgoals_g3,4311134.41717647
2084,1,ssp245,fgoals_g3,3838159.49466012
2084,1,ssp370,fgoals_g3,3303358.48016002
2084,1,ssp585,fgoals_g3,3811831.58515313
2084,2,ssp126,fgoals_g3,2424909.51483626
2084,2,ssp245,fgoals_g3,2224072.22315131
2084,2,ssp370,fgoals_g3,2133433.64168393
2084,2,ssp585,fgoals_g3,1910973.24454155
2084,3,ssp126,fgoals_g3,227282.972930313
2084,3,ssp245,fgoals_g3,223068.754965383
2084,3,ssp370,fgoals_g3,84540.5565255886
2084,3,ssp585,fgoals_g3,92286.8900445237
2084,4,ssp126,fgoals_g3,1504357.10177047
2084,4,ssp245,fgoals_g3,1320915.37228319
2084,4,ssp370,fgoals_g3,1032350.34909636
2084,4,ssp585,fgoals_g3,953282.816092923
2085,1,ssp126,fgoals_g3,4380733.09422598
2085,1,ssp245,fgoals_g3,3873200.43805201
2085,1,ssp370,fgoals_g3,3723750.63562867
2085,1,ssp585,fgoals_g3,3376542.57686999
2085,2,ssp126,fgoals_g3,2803901.29293539
2085,2,ssp245,fgoals_g3,2191173.52555515
2085,2,ssp370,fgoals_g3,1894762.51034827
2085,2,ssp585,fgoals_g3,1825965.29301566
2085,3,ssp126,fgoals_g3,271001.467552091
2085,3,ssp245,fgoals_g3,289845.457897983
2085,3,ssp370,fgoals_g3,132603.909074139
2085,3,ssp585,fgoals_g3,75857.6853549331
2085,4,ssp126,fgoals_g3,1386582.1008269
2085,4,ssp245,fgoals_g3,1302982.46050315
2085,4,ssp370,fgoals_g3,1210247.5671735
2085,4,ssp585,fgoals_g3,902003.357878447
2086,1,ssp126,fgoals_g3,4260329.7454158
2086,1,ssp245,fgoals_g3,4203206.65008707
2086,1,ssp370,fgoals_g3,4114290.31548556
2086,1,ssp585,fgoals_g3,4014841.75237956
2086,2,ssp126,fgoals_g3,2767431.38701832
2086,2,ssp245,fgoals_g3,2445170.58964046
2086,2,ssp370,fgoals_g3,2309026.4432315
2086,2,ssp585,fgoals_g3,2148315.14945081
2086,3,ssp126,fgoals_g3,274959.36879677
2086,3,ssp245,fgoals_g3,203236.941348409
2086,3,ssp370,fgoals_g3,156480.084957129
2086,3,ssp585,fgoals_g3,63920.4036433799
2086,4,ssp126,fgoals_g3,1364450.65206351
2086,4,ssp245,fgoals_g3,898331.302786938
2086,4,ssp370,fgoals_g3,1036634.35408289
2086,4,ssp585,fgoals_g3,712173.914627737
2087,1,ssp126,fgoals_g3,4223875.51312912
2087,1,ssp245,fgoals_g3,3766481.57826504
2087,1,ssp370,fgoals_g3,3604091.31723326
2087,1,ssp585,fgoals_g3,3761601.60571059
2087,2,ssp126,fgoals_g3,2718482.62517119
2087,2,ssp245,fgoals_g3,2088987.10573239
2087,2,ssp370,fgoals_g3,1774039.41383887
2087,2,ssp585,fgoals_g3,1930991.17951697
2087,3,ssp126,fgoals_g3,288373.027537119
2087,3,ssp245,fgoals_g3,176433.830052397
2087,3,ssp370,fgoals_g3,106776.139750068
2087,3,ssp585,fgoals_g3,45600.5710354084
2087,4,ssp126,fgoals_g3,1243578.16988113
2087,4,ssp245,fgoals_g3,1008959.49359358
2087,4,ssp370,fgoals_g3,795200.378807786
2087,4,ssp585,fgoals_g3,708732.253696775
2088,1,ssp126,fgoals_g3,3883766.69837318
2088,1,ssp245,fgoals_g3,3735265.12258694
2088,1,ssp370,fgoals_g3,3305653.72105551
2088,1,ssp585,fgoals_g3,3688898.13977128
2088,2,ssp126,fgoals_g3,2502319.21620705
2088,2,ssp245,fgoals_g3,2163902.97492296
2088,2,ssp370,fgoals_g3,2232465.32805997
2088,2,ssp585,fgoals_g3,2094447.35573517
2088,3,ssp126,fgoals_g3,230959.319189158
2088,3,ssp245,fgoals_g3,129051.201013475
2088,3,ssp370,fgoals_g3,126784.22071358
2088,3,ssp585,fgoals_g3,82892.1829119854
2088,4,ssp126,fgoals_g3,1367023.16561011
2088,4,ssp245,fgoals_g3,1120914.58801192
2088,4,ssp370,fgoals_g3,1240808.92673439
2088,4,ssp585,fgoals_g3,822138.83446
2089,1,ssp126,fgoals_g3,3921776.37513706
2089,1,ssp245,fgoals_g3,3973649.19570313
2089,1,ssp370,fgoals_g3,3751618.68401721
2089,1,ssp585,fgoals_g3,3536443.6551707
2089,2,ssp126,fgoals_g3,2890797.48829877
2089,2,ssp245,fgoals_g3,2430705.2431866
2089,2,ssp370,fgoals_g3,2211614.89114258
2089,2,ssp585,fgoals_g3,1881057.07723802
2089,3,ssp126,fgoals_g3,254472.642894181
2089,3,ssp245,fgoals_g3,163547.970998708
2089,3,ssp370,fgoals_g3,113027.153829497
2089,3,ssp585,fgoals_g3,53679.0436356845
2089,4,ssp126,fgoals_g3,1291911.58211531
2089,4,ssp245,fgoals_g3,1212604.05827801
2089,4,ssp370,fgoals_g3,957970.389652141
2089,4,ssp585,fgoals_g3,854645.670648364
2090,1,ssp126,fgoals_g3,4303725.24536869
2090,1,ssp245,fgoals_g3,3714895.14586443
2090,1,ssp370,fgoals_g3,3891373.67624994
2090,1,ssp585,fgoals_g3,3655227.96290916
2090,2,ssp126,fgoals_g3,2805797.09859935
2090,2,ssp245,fgoals_g3,2436178.52087287
2090,2,ssp370,fgoals_g3,2179485.20702574
2090,2,ssp585,fgoals_g3,1850629.10078258
2090,3,ssp126,fgoals_g3,238631.480858294
2090,3,ssp245,fgoals_g3,108858.167380309
2090,3,ssp370,fgoals_g3,76376.6305085374
2090,3,ssp585,fgoals_g3,36340.0895364148
2090,4,ssp126,fgoals_g3,1549074.91180963
2090,4,ssp245,fgoals_g3,1233469.4051179
2090,4,ssp370,fgoals_g3,735149.680133891
2090,4,ssp585,fgoals_g3,601992.398475696
2091,1,ssp126,fgoals_g3,4192339.76660604
2091,1,ssp245,fgoals_g3,4198353.75523412
2091,1,ssp370,fgoals_g3,3041566.06692818
2091,1,ssp585,fgoals_g3,3328815.13784834
2091,2,ssp126,fgoals_g3,2736498.71602695
2091,2,ssp245,fgoals_g3,2367980.03878504
2091,2,ssp370,fgoals_g3,1967770.63191995
2091,2,ssp585,fgoals_g3,1716034.03052396
2091,3,ssp126,fgoals_g3,219546.751444386
2091,3,ssp245,fgoals_g3,184528.627283437
2091,3,ssp370,fgoals_g3,145103.127187426
2091,3,ssp585,fgoals_g3,52862.0185110731
2091,4,ssp126,fgoals_g3,1519086.79444514
2091,4,ssp245,fgoals_g3,1108411.29258124
2091,4,ssp370,fgoals_g3,913766.13807894
2091,4,ssp585,fgoals_g3,579198.391668409
2092,1,ssp126,fgoals_g3,4120864.08534642
2092,1,ssp245,fgoals_g3,3458437.25301549
2092,1,ssp370,fgoals_g3,3707380.63334762
2092,1,ssp585,fgoals_g3,3278494.02127838
2092,2,ssp126,fgoals_g3,2676858.71033944
2092,2,ssp245,fgoals_g3,2127394.82791968
2092,2,ssp370,fgoals_g3,1975102.53220577
2092,2,ssp585,fgoals_g3,1880930.60105229
2092,3,ssp126,fgoals_g3,252267.582860281
2092,3,ssp245,fgoals_g3,218000.117238591
2092,3,ssp370,fgoals_g3,115759.631277687
2092,3,ssp585,fgoals_g3,81537.2226370022
2092,4,ssp126,fgoals_g3,1215364.05068678
2092,4,ssp245,fgoals_g3,1023517.46970613
2092,4,ssp370,fgoals_g3,928388.622454993
2092,4,ssp585,fgoals_g3,891448.146261526
2093,1,ssp126,fgoals_g3,4247811.78765343
2093,1,ssp245,fgoals_g3,4104300.06261383
2093,1,ssp370,fgoals_g3,3771551.64931864
2093,1,ssp585,fgoals_g3,3457006.85751699
2093,2,ssp126,fgoals_g3,2688142.07702422
2093,2,ssp245,fgoals_g3,2605505.61692839
2093,2,ssp370,fgoals_g3,1891294.89900861
2093,2,ssp585,fgoals_g3,1830664.43097991
2093,3,ssp126,fgoals_g3,176774.787845476
2093,3,ssp245,fgoals_g3,108947.00248499
2093,3,ssp370,fgoals_g3,53325.7754491511
2093,3,ssp585,fgoals_g3,68787.0724688621
2093,4,ssp126,fgoals_g3,1308727.41936481
2093,4,ssp245,fgoals_g3,1187641.10629435
2093,4,ssp370,fgoals_g3,976082.46261975
2093,4,ssp585,fgoals_g3,818263.272400103
2094,1,ssp126,fgoals_g3,4200564.5554355
2094,1,ssp245,fgoals_g3,4125358.66489512
2094,1,ssp370,fgoals_g3,3490596.23752849
2094,1,ssp585,fgoals_g3,3373542.09432277
2094,2,ssp126,fgoals_g3,2541648.30077586
2094,2,ssp245,fgoals_g3,2490759.27256124
2094,2,ssp370,fgoals_g3,1953789.5671827
2094,2,ssp585,fgoals_g3,1888913.73411097
2094,3,ssp126,fgoals_g3,322167.756381127
2094,3,ssp245,fgoals_g3,108992.817303976
2094,3,ssp370,fgoals_g3,141569.691824007
2094,3,ssp585,fgoals_g3,73506.7238496859
2094,4,ssp126,fgoals_g3,1481279.03175644
2094,4,ssp245,fgoals_g3,954705.942521413
2094,4,ssp370,fgoals_g3,971522.261220413
2094,4,ssp585,fgoals_g3,988331.888827065
2095,1,ssp126,fgoals_g3,4255867.60012359
2095,1,ssp245,fgoals_g3,3962687.33678579
2095,1,ssp370,fgoals_g3,3556147.21168472
2095,1,ssp585,fgoals_g3,3536969.10209824
2095,2,ssp126,fgoals_g3,2799444.67969763
2095,2,ssp245,fgoals_g3,2182729.12193326
2095,2,ssp370,fgoals_g3,1987102.69107179
2095,2,ssp585,fgoals_g3,2002531.27045241
2095,3,ssp126,fgoals_g3,251973.717313044
2095,3,ssp245,fgoals_g3,154726.020642192
2095,3,ssp370,fgoals_g3,171956.958927563
2095,3,ssp585,fgoals_g3,170278.126509272
2095,4,ssp126,fgoals_g3,1232346.28416581
2095,4,ssp245,fgoals_g3,1133529.07690852
2095,4,ssp370,fgoals_g3,670982.234486743
2095,4,ssp585,fgoals_g3,810448.722002409
2096,1,ssp126,fgoals_g3,4204472.31257345
2096,1,ssp245,fgoals_g3,3708185.33790568
2096,1,ssp370,fgoals_g3,3707012.86751494
2096,1,ssp585,fgoals_g3,3212214.37640672
2096,2,ssp126,fgoals_g3,2725417.74759422
2096,2,ssp245,fgoals_g3,2176783.0364643
2096,2,ssp370,fgoals_g3,1919104.00951815
2096,2,ssp585,fgoals_g3,2244127.60665802
2096,3,ssp126,fgoals_g3,265233.615069455
2096,3,ssp245,fgoals_g3,203646.841528717
2096,3,ssp370,fgoals_g3,156569.101073197
2096,3,ssp585,fgoals_g3,119306.883910277
2096,4,ssp126,fgoals_g3,1378273.21729745
2096,4,ssp245,fgoals_g3,1189458.62170131
2096,4,ssp370,fgoals_g3,720968.782328949
2096,4,ssp585,fgoals_g3,683416.535562679
2097,1,ssp126,fgoals_g3,4202302.24249274
2097,1,ssp245,fgoals_g3,4077153.93481031
2097,1,ssp370,fgoals_g3,3624814.47663486
2097,1,ssp585,fgoals_g3,3158493.23198673
2097,2,ssp126,fgoals_g3,2384974.2631012
2097,2,ssp245,fgoals_g3,2574018.35282883
2097,2,ssp370,fgoals_g3,1864742.0646576
2097,2,ssp585,fgoals_g3,1757103.74226177
2097,3,ssp126,fgoals_g3,185202.362001623
2097,3,ssp245,fgoals_g3,132472.155990329
2097,3,ssp370,fgoals_g3,112461.456541759
2097,3,ssp585,fgoals_g3,101428.576673595
2097,4,ssp126,fgoals_g3,1540093.18122038
2097,4,ssp245,fgoals_g3,1260838.02263825
2097,4,ssp370,fgoals_g3,921154.912970225
2097,4,ssp585,fgoals_g3,806895.844441529
2098,1,ssp126,fgoals_g3,4010782.03949602
2098,1,ssp245,fgoals_g3,4126571.82592693
2098,1,ssp370,fgoals_g3,3641445.13880986
2098,1,ssp585,fgoals_g3,3458020.36316952
2098,2,ssp126,fgoals_g3,2703941.45359807
2098,2,ssp245,fgoals_g3,2011894.40196105
2098,2,ssp370,fgoals_g3,2233334.31597425
