year,season,scenario,model,snc_mile2
1986,4,historical,rutgers,2366758.8951589
1987,4,historical,rutgers,1634184.76388476
1988,4,historical,rutgers,1844709.38520939
1989,4,historical,rutgers,2292197.74279774
1990,4,historical,rutgers,2034544.66884467
1991,4,historical,rutgers,2400871.36917137
1992,4,historical,rutgers,2235101.57410157
1993,4,historical,rutgers,2144085.98158598
1994,4,historical,rutgers,2242850.04455004
1995,4,historical,rutgers,2321994.32729433
1996,4,historical,rutgers,2558683.04128304
1997,4,historical,rutgers,2202683.42738343
1998,4,historical,rutgers,1847834.21443421
1999,4,historical,rutgers,1841870.98307098
2000,4,historical,rutgers,2511340.8969409
2001,4,historical,rutgers,2139964.38966439
2002,4,historical,rutgers,2441584.67478467
2003,4,historical,rutgers,2283636.05583606
2004,4,historical,rutgers,2167006.56370656
2005,4,historical,rutgers,2260545.32224532
2006,4,historical,rutgers,2302840.74844075
2007,4,historical,rutgers,2187393.40659341
2008,4,historical,rutgers,2137903.32640333
2009,4,historical,rutgers,2089067.27056727
2010,4,historical,rutgers,2109906.47460647
2011,4,historical,rutgers,2410660.29106029
2012,4,historical,rutgers,2352821.41372141
2013,4,historical,rutgers,2402541.84734185
2014,4,historical,rutgers,2574105.1975052
2015,4,historical,rutgers,2230883.60558361
2016,4,historical,rutgers,2112346.98544699
2017,4,historical,rutgers,2583478.64567865
2018,4,historical,rutgers,2828611.88001188
2019,4,historical,rutgers,2533685.35788536
2020,4,historical,rutgers,2467340.3029403
2021,4,historical,rutgers,1942816.86961687
2022,4,historical,rutgers,2509693.25809326
2023,4,historical,rutgers,2272961.03356103
1850,1,historical,bcc_csm2_mr,5378591.97892277
1850,2,historical,bcc_csm2_mr,3414120.58095344
1850,3,historical,bcc_csm2_mr,758162.371098807
1850,4,historical,bcc_csm2_mr,1608253.29801347
1851,1,historical,bcc_csm2_mr,5086391.29706494
1851,2,historical,bcc_csm2_mr,3792168.16421059
1851,3,historical,bcc_csm2_mr,694072.466916857
1851,4,historical,bcc_csm2_mr,1796594.44382967
1852,1,historical,bcc_csm2_mr,5007990.63877953
1852,2,historical,bcc_csm2_mr,3809535.06505494
1852,3,historical,bcc_csm2_mr,785683.24551709
1852,4,historical,bcc_csm2_mr,1545507.16054089
1853,1,historical,bcc_csm2_mr,5069163.19871906
1853,2,historical,bcc_csm2_mr,3744542.16198731
1853,3,historical,bcc_csm2_mr,667521.498646975
1853,4,historical,bcc_csm2_mr,1950963.36874144
1854,1,historical,bcc_csm2_mr,5316842.05652957
1854,2,historical,bcc_csm2_mr,3892577.38952534
1854,3,historical,bcc_csm2_mr,863544.039172309
1854,4,historical,bcc_csm2_mr,1782536.6283161
1855,1,historical,bcc_csm2_mr,4921876.88766657
1855,2,historical,bcc_csm2_mr,3848363.11408456
1855,3,historical,bcc_csm2_mr,832968.604186804
1855,4,historical,bcc_csm2_mr,1597923.83339603
1856,1,historical,bcc_csm2_mr,4885975.42458362
1856,2,historical,bcc_csm2_mr,3543127.25689918
1856,3,historical,bcc_csm2_mr,686905.194684744
1856,4,historical,bcc_csm2_mr,1741011.43557
1857,1,historical,bcc_csm2_mr,5010055.8027552
1857,2,historical,bcc_csm2_mr,3460934.97353934
1857,3,historical,bcc_csm2_mr,793073.307936521
1857,4,historical,bcc_csm2_mr,1784127.36390936
1858,1,historical,bcc_csm2_mr,4893872.27919014
1858,2,historical,bcc_csm2_mr,3452108.25901069
1858,3,historical,bcc_csm2_mr,645703.476942566
1858,4,historical,bcc_csm2_mr,1904946.61573481
1859,1,historical,bcc_csm2_mr,4619232.64442187
1859,2,historical,bcc_csm2_mr,3917387.24537523
1859,3,historical,bcc_csm2_mr,690737.978718398
1859,4,historical,bcc_csm2_mr,1882913.63930831
1860,1,historical,bcc_csm2_mr,5172812.13861092
1860,2,historical,bcc_csm2_mr,3870100.96218318
1860,3,historical,bcc_csm2_mr,859650.731461613
1860,4,historical,bcc_csm2_mr,1689971.73626251
1861,1,historical,bcc_csm2_mr,5134235.68762119
1861,2,historical,bcc_csm2_mr,3915100.25966514
1861,3,historical,bcc_csm2_mr,774033.039557439
1861,4,historical,bcc_csm2_mr,1829873.16837812
1862,1,historical,bcc_csm2_mr,4987896.93877427
1862,2,historical,bcc_csm2_mr,3658400.07353617
1862,3,historical,bcc_csm2_mr,745011.741873693
1862,4,historical,bcc_csm2_mr,2207404.04700458
1863,1,historical,bcc_csm2_mr,5060275.9825441
1863,2,historical,bcc_csm2_mr,3644423.32647069
1863,3,historical,bcc_csm2_mr,816730.513457678
1863,4,historical,bcc_csm2_mr,1826828.17405103
1864,1,historical,bcc_csm2_mr,4905577.39937548
