year,scenario,model,snc_mile2
2096,ssp370,ec_earth3,3108783.0728813
2097,ssp370,ec_earth3,3072659.5183984
2098,ssp370,ec_earth3,2824086.14165126
2099,ssp370,ec_earth3,2912380.95550995
2100,ssp370,ec_earth3,3097054.34555262
2015,ssp585,ec_earth3,3979505.8591425
2016,ssp585,ec_earth3,4058042.55506539
2017,ssp585,ec_earth3,4028493.09872606
2018,ssp585,ec_earth3,3851008.17345701
2019,ssp585,ec_earth3,3875557.5432226
2020,ssp585,ec_earth3,3843341.20227251
2021,ssp585,ec_earth3,3952717.03687914
2022,ssp585,ec_earth3,3891104.75434587
2023,ssp585,ec_earth3,3722278.58118873
2024,ssp585,ec_earth3,3895100.76418176
2025,ssp585,ec_earth3,3826088.8753311
2026,ssp585,ec_earth3,3917738.44214543
2027,ssp585,ec_earth3,3980086.57737322
2028,ssp585,ec_earth3,3692639.02243587
2029,ssp585,ec_earth3,3686815.43220948
2030,ssp585,ec_earth3,3768876.89809954
2031,ssp585,ec_earth3,3833203.42014394
2032,ssp585,ec_earth3,3620752.95299896
2033,ssp585,ec_earth3,3808370.25010301
2034,ssp585,ec_earth3,3817964.38103251
2035,ssp585,ec_earth3,3685424.24207364
2036,ssp585,ec_earth3,3626280.97786337
2037,ssp585,ec_earth3,3708169.47342555
2038,ssp585,ec_earth3,3726461.44826373
2039,ssp585,ec_earth3,3593973.760902
2040,ssp585,ec_earth3,3542160.10313469
2041,ssp585,ec_earth3,3596816.61759289
2042,ssp585,ec_earth3,3582652.74843452
2043,ssp585,ec_earth3,3718779.20762704
2044,ssp585,ec_earth3,3573423.897337
2045,ssp585,ec_earth3,3532184.30906442
2046,ssp585,ec_earth3,3558842.18706264
2047,ssp585,ec_earth3,3443285.49819426
2048,ssp585,ec_earth3,3346261.40480888
2049,ssp585,ec_earth3,3523566.57128449
2050,ssp585,ec_earth3,3606831.36023855
2051,ssp585,ec_earth3,3502381.6583378
2052,ssp585,ec_earth3,3625832.42140516
2053,ssp585,ec_earth3,3335341.15670236
2054,ssp585,ec_earth3,3472274.68924762
2055,ssp585,ec_earth3,3621006.48219367
2056,ssp585,ec_earth3,3406234.40844007
2057,ssp585,ec_earth3,3527688.45383286
2058,ssp585,ec_earth3,3486318.38318361
2059,ssp585,ec_earth3,3422298.55373605
2060,ssp585,ec_earth3,3403424.84071088
2061,ssp585,ec_earth3,3445544.36771377
2062,ssp585,ec_earth3,3366947.60801404
2063,ssp585,ec_earth3,3278682.26824708
2064,ssp585,ec_earth3,3420428.51033371
2065,ssp585,ec_earth3,3189429.18615656
2066,ssp585,ec_earth3,3561108.45112035
2067,ssp585,ec_earth3,3169740.37084559
2068,ssp585,ec_earth3,3173166.1134075
2069,ssp585,ec_earth3,3166308.93401799
2070,ssp585,ec_earth3,3219143.56608444
2071,ssp585,ec_earth3,3363594.94327325
2072,ssp585,ec_earth3,3352131.59242874
2073,ssp585,ec_earth3,3318269.99889616
2074,ssp585,ec_earth3,3438521.05395816
2075,ssp585,ec_earth3,3051103.11584969
2076,ssp585,ec_earth3,3087197.04662234
2077,ssp585,ec_earth3,3145482.65904747
2078,ssp585,ec_earth3,3317563.0382326
2079,ssp585,ec_earth3,3077188.2362245
2080,ssp585,ec_earth3,3159837.30198906
2081,ssp585,ec_earth3,3023029.17064979
2082,ssp585,ec_earth3,2862858.15808324
2083,ssp585,ec_earth3,3074309.54659734
2084,ssp585,ec_earth3,3178234.49338266
2085,ssp585,ec_earth3,2831870.91031892
2086,ssp585,ec_earth3,2881969.00979004
2087,ssp585,ec_earth3,3006581.50487503
2088,ssp585,ec_earth3,2981739.30630768
2089,ssp585,ec_earth3,2916242.72953521
2090,ssp585,ec_earth3,2999342.70259698
2091,ssp585,ec_earth3,2991012.91005899
2092,ssp585,ec_earth3,2835029.24780128
2093,ssp585,ec_earth3,2954113.20968265
2094,ssp585,ec_earth3,2711596.07810386
2095,ssp585,ec_earth3,2903602.65331097
2096,ssp585,ec_earth3,2873052.25605284
2097,ssp585,ec_earth3,2590822.62537482
2098,ssp585,ec_earth3,2760605.39105989
2099,ssp585,ec_earth3,2651986.42610495
2100,ssp585,ec_earth3,2664557.58115486
1850,historical,fgoals_g3,2476197.86875656
1851,historical,fgoals_g3,2450988.76458371
1852,historical,fgoals_g3,2401985.5701161
1853,historical,fgoals_g3,2465688.09556735
1854,historical,fgoals_g3,2391901.72278571
1855,historical,fgoals_g3,2461732.54280081
1856,historical,fgoals_g3,2421111.50240011
1857,historical,fgoals_g3,2584363.31595451
1858,historical,fgoals_g3,2546340.35155673
1859,historical,fgoals_g3,2490479.49161356
1860,historical,fgoals_g3,2400170.87303714
1861,historical,fgoals_g3,2389638.22609424
1862,historical,fgoals_g3,2498077.88640358
1863,historical,fgoals_g3,2393547.91210301
1864,historical,fgoals_g3,2414980.22776661
1865,historical,fgoals_g3,2400837.35904524
1866,historical,fgoals_g3,2511586.47388378
1867,historical,fgoals_g3,2509455.21517547
1868,historical,fgoals_g3,2507523.24381917
1869,historical,fgoals_g3,2572695.01348905
1870,historical,fgoals_g3,2543098.74635818
1871,historical,fgoals_g3,2495354.75419476
1872,historical,fgoals_g3,2540562.34883577
1873,historical,fgoals_g3,2535902.66170699
1874,historical,fgoals_g3,2415159.93024951
1875,historical,fgoals_g3,2352654.06742638
1876,historical,fgoals_g3,2450124.49800693
1877,historical,fgoals_g3,2466824.23414149
1878,historical,fgoals_g3,2414916.38919411
1879,historical,fgoals_g3,2425823.52595814
1880,historical,fgoals_g3,2334282.56167624
1881,historical,fgoals_g3,2376017.12364709
1882,historical,fgoals_g3,2611493.54564926
1883,historical,fgoals_g3,2454069.50650665
1884,historical,fgoals_g3,2591514.26594745
1885,historical,fgoals_g3,2538985.63648081
1886,historical,fgoals_g3,2543795.13915165
1887,historical,fgoals_g3,2522457.22235948
1888,historical,fgoals_g3,2547388.16563369
1889,historical,fgoals_g3,2595607.18964049
1890,historical,fgoals_g3,2444284.27721047
1891,historical,fgoals_g3,2554405.25696787
1892,historical,fgoals_g3,2521484.95421362
1893,historical,fgoals_g3,2636462.83941868
1894,historical,fgoals_g3,2496409.67168551
1895,historical,fgoals_g3,2521922.49829312
1896,historical,fgoals_g3,2447379.63096033
1897,historical,fgoals_g3,2549630.3615706
1898,historical,fgoals_g3,2402151.61946204
1899,historical,fgoals_g3,2429314.74533363
1900,historical,fgoals_g3,2515304.81265697
1901,historical,fgoals_g3,2410429.62276218
1902,historical,fgoals_g3,2519473.13447149
1903,historical,fgoals_g3,2549038.90649366
1904,historical,fgoals_g3,2533267.09688141
1905,historical,fgoals_g3,2647444.63628323
1906,historical,fgoals_g3,2383244.68519
1907,historical,fgoals_g3,2413362.55355456
1908,historical,fgoals_g3,2513448.20042195
1909,historical,fgoals_g3,2520119.17135933
1910,historical,fgoals_g3,2414684.17486647
1911,historical,fgoals_g3,2461621.83150896
1912,historical,fgoals_g3,2574128.35555883
1913,historical,fgoals_g3,2651738.35769248
1914,historical,fgoals_g3,2578720.23859594
1915,historical,fgoals_g3,2479290.22030182
1916,historical,fgoals_g3,2541754.65771373
1917,historical,fgoals_g3,2518567.65342197
1918,historical,fgoals_g3,2535664.93861822
1919,historical,fgoals_g3,2435733.22624594
1920,historical,fgoals_g3,2377430.71430217
1921,historical,fgoals_g3,2412064.92977228
1922,historical,fgoals_g3,2356128.49895506
1923,historical,fgoals_g3,2499712.83668919
1924,historical,fgoals_g3,2599276.93555459
1925,historical,fgoals_g3,2434348.44447599
1926,historical,fgoals_g3,2525743.80165014
1927,historical,fgoals_g3,2511094.82826435
1928,historical,fgoals_g3,2472323.57119257
1929,historical,fgoals_g3,2391655.41745646
1930,historical,fgoals_g3,2492332.91475611
1931,historical,fgoals_g3,2397061.66854585
1932,historical,fgoals_g3,2452664.80819961
1933,historical,fgoals_g3,2433159.47171817
1934,historical,fgoals_g3,2469343.10426378
1935,historical,fgoals_g3,2448119.24601076
1936,historical,fgoals_g3,2384502.65998455
1937,historical,fgoals_g3,2375343.16498307
1938,historical,fgoals_g3,2468742.29152273
1939,historical,fgoals_g3,2268169.77363352
1940,historical,fgoals_g3,2367505.83120693
1941,historical,fgoals_g3,2349882.5466532
1942,historical,fgoals_g3,2473374.30543182
1943,historical,fgoals_g3,2440625.83800521
1944,historical,fgoals_g3,2407893.48108975
1945,historical,fgoals_g3,2288391.6990086
1946,historical,fgoals_g3,2459053.27891372
1947,historical,fgoals_g3,2495404.33070937
1948,historical,fgoals_g3,2246127.27568659
1949,historical,fgoals_g3,2453959.64841795
1950,historical,fgoals_g3,2283357.53830786
1951,historical,fgoals_g3,2416393.18182253
1952,historical,fgoals_g3,2272842.86268012
1953,historical,fgoals_g3,2323663.08236143
1954,historical,fgoals_g3,2587094.34395212
1955,historical,fgoals_g3,2449101.79207683
1956,historical,fgoals_g3,2312458.66287878
1957,historical,fgoals_g3,2443777.83138075
1958,historical,fgoals_g3,2435641.9651256
1959,historical,fgoals_g3,2577818.25741539
1960,historical,fgoals_g3,2423832.72508873
1961,historical,fgoals_g3,2340034.36071664
1962,historical,fgoals_g3,2570241.89288855
1963,historical,fgoals_g3,2568575.28650067
1964,historical,fgoals_g3,2499093.95101365
1965,historical,fgoals_g3,2563951.53415798
1966,historical,fgoals_g3,2331382.82332899
1967,historical,fgoals_g3,2402055.40020675
1968,historical,fgoals_g3,2401362.70601219
1969,historical,fgoals_g3,2472034.48026374
1970,historical,fgoals_g3,2334427.73018968
1971,historical,fgoals_g3,2297687.71965607
1972,historical,fgoals_g3,2241917.39517834
1973,historical,fgoals_g3,2426012.22285343
1974,historical,fgoals_g3,2423224.63998709
1975,historical,fgoals_g3,2352165.29090668
1976,historical,fgoals_g3,2386706.34524153
1977,historical,fgoals_g3,2273453.66319293
1978,historical,fgoals_g3,2319811.46241485
1979,historical,fgoals_g3,2333754.74978999
1980,historical,fgoals_g3,2412637.06515912
1981,historical,fgoals_g3,2544375.9168539
1982,historical,fgoals_g3,2315844.27553758
1983,historical,fgoals_g3,2383496.50930455
1984,historical,fgoals_g3,2456239.47923009
1985,historical,fgoals_g3,2517640.1785352
1986,historical,fgoals_g3,2431064.76299522
1987,historical,fgoals_g3,2375961.34208521
1988,historical,fgoals_g3,2354055.74558084
1989,historical,fgoals_g3,2330234.98746682
1990,historical,fgoals_g3,2266903.10166855
1991,historical,fgoals_g3,2337397.59446047
1992,historical,fgoals_g3,2517777.05119763
1993,historical,fgoals_g3,2519092.47238546
1994,historical,fgoals_g3,2445062.46020365
1995,historical,fgoals_g3,2271472.21490149
1996,historical,fgoals_g3,2372920.69154321
1997,historical,fgoals_g3,2290743.20446897
1998,historical,fgoals_g3,2359676.18789034
1999,historical,fgoals_g3,2330082.99692744
2000,historical,fgoals_g3,2274941.13500002
2001,historical,fgoals_g3,2300209.43156672
2002,historical,fgoals_g3,2293870.68606038
2003,historical,fgoals_g3,2304589.78876905
2004,historical,fgoals_g3,2149823.53794864
2005,historical,fgoals_g3,2232478.45995515
2006,historical,fgoals_g3,2268500.66321033
2007,historical,fgoals_g3,2331497.65578971
2008,historical,fgoals_g3,2344783.35477018
2009,historical,fgoals_g3,2418824.12372912
2010,historical,fgoals_g3,2157644.52093199
2011,historical,fgoals_g3,2240101.82492974
2012,historical,fgoals_g3,2434156.02583993
2013,historical,fgoals_g3,2120763.49872201
2014,historical,fgoals_g3,2088098.81603123
2015,ssp126,fgoals_g3,2204599.35345092
2016,ssp126,fgoals_g3,2133674.14958337
2017,ssp126,fgoals_g3,2214115.62352192
2018,ssp126,fgoals_g3,2236505.62675686
2019,ssp126,fgoals_g3,2114872.17630434
2020,ssp126,fgoals_g3,2097514.21544526
2021,ssp126,fgoals_g3,2156351.98608095
2022,ssp126,fgoals_g3,2039287.18810873
2023,ssp126,fgoals_g3,2104659.63229863
2024,ssp126,fgoals_g3,2049134.8281155
2025,ssp126,fgoals_g3,2032671.38694707
2026,ssp126,fgoals_g3,2074711.94724938
2027,ssp126,fgoals_g3,2171187.9137324
2028,ssp126,fgoals_g3,2149515.75212082
2029,ssp126,fgoals_g3,2267203.98323243
2030,ssp126,fgoals_g3,2214091.38633918
2031,ssp126,fgoals_g3,2165872.09854825
2032,ssp126,fgoals_g3,2141695.97239864
2033,ssp126,fgoals_g3,2153084.74396507
2034,ssp126,fgoals_g3,2212663.15723553
2035,ssp126,fgoals_g3,2065135.98866811
2036,ssp126,fgoals_g3,2126651.41040707
2037,ssp126,fgoals_g3,2015403.94445049
2038,ssp126,fgoals_g3,2182961.96312891
2039,ssp126,fgoals_g3,2061388.12871092
2040,ssp126,fgoals_g3,2065652.26922126
2041,ssp126,fgoals_g3,2129045.71609821
2042,ssp126,fgoals_g3,2106716.51275468
2043,ssp126,fgoals_g3,2121661.09459091
2044,ssp126,fgoals_g3,2101661.03459704
2045,ssp126,fgoals_g3,2085371.80703312
2046,ssp126,fgoals_g3,2209156.93187224
2047,ssp126,fgoals_g3,2155588.92472717
2048,ssp126,fgoals_g3,2180028.47612114
2049,ssp126,fgoals_g3,2143431.68003747
2050,ssp126,fgoals_g3,2040587.80408554
2051,ssp126,fgoals_g3,2184713.62321944
2052,ssp126,fgoals_g3,2100129.3293869
2053,ssp126,fgoals_g3,2331340.79816747
2054,ssp126,fgoals_g3,2108572.80640782
2055,ssp126,fgoals_g3,2038569.67207299
2056,ssp126,fgoals_g3,2210772.7715034
2057,ssp126,fgoals_g3,2188993.37097558
2058,ssp126,fgoals_g3,2095829.22202195
2059,ssp126,fgoals_g3,2121277.48944069
2060,ssp126,fgoals_g3,2214028.12242976
2061,ssp126,fgoals_g3,2129787.28657239
2062,ssp126,fgoals_g3,2242166.1474563
2063,ssp126,fgoals_g3,2195760.67600655
2064,ssp126,fgoals_g3,2029169.33635745
2065,ssp126,fgoals_g3,2089522.43929265
2066,ssp126,fgoals_g3,2181967.49431935
2067,ssp126,fgoals_g3,2023512.73319539
2068,ssp126,fgoals_g3,2119751.80025759
2069,ssp126,fgoals_g3,2309858.1610735
2070,ssp126,fgoals_g3,2018316.91765422
2071,ssp126,fgoals_g3,2200069.13692489
2072,ssp126,fgoals_g3,2298866.75507075
2073,ssp126,fgoals_g3,2082475.48964035
2074,ssp126,fgoals_g3,2172131.55809168
2075,ssp126,fgoals_g3,2094566.17971318
2076,ssp126,fgoals_g3,2100333.0966067
2077,ssp126,fgoals_g3,2131697.16958925
2078,ssp126,fgoals_g3,2192469.38452731
2079,ssp126,fgoals_g3,2201237.94863487
2080,ssp126,fgoals_g3,2097501.66297657
2081,ssp126,fgoals_g3,2056579.2104665
2082,ssp126,fgoals_g3,2099176.82112699
2083,ssp126,fgoals_g3,2163968.87267616
2084,ssp126,fgoals_g3,2122650.83879088
2085,ssp126,fgoals_g3,2200060.6911144
2086,ssp126,fgoals_g3,2150788.96719476
2087,ssp126,fgoals_g3,2097644.56102908
2088,ssp126,fgoals_g3,1969959.99492407
2089,ssp126,fgoals_g3,2161229.84893069
2090,ssp126,fgoals_g3,2216137.75483503
2091,ssp126,fgoals_g3,2158222.1011556
2092,ssp126,fgoals_g3,2065239.00961461
2093,ssp126,fgoals_g3,2126084.87614216
2094,ssp126,fgoals_g3,2128310.54922811
2095,ssp126,fgoals_g3,2133015.06038504
2096,ssp126,fgoals_g3,2153390.15531651
2097,ssp126,fgoals_g3,2045405.78312455
2098,ssp126,fgoals_g3,2134378.47230707
2099,ssp126,fgoals_g3,2173642.16128699
2100,ssp126,fgoals_g3,2345674.16784725
2015,ssp245,fgoals_g3,2289913.31024233
2016,ssp245,fgoals_g3,2118335.55700802
2017,ssp245,fgoals_g3,2024410.95412512
2018,ssp245,fgoals_g3,2132622.51956188
2019,ssp245,fgoals_g3,2101336.01497731
2020,ssp245,fgoals_g3,2117048.7166105
2021,ssp245,fgoals_g3,2359912.26274886
2022,ssp245,fgoals_g3,2268993.65740094
2023,ssp245,fgoals_g3,2085298.16191183
2024,ssp245,fgoals_g3,2134340.45900127
2025,ssp245,fgoals_g3,2207096.49871448
2026,ssp245,fgoals_g3,2219552.66043634
2027,ssp245,fgoals_g3,2098963.55206627
2028,ssp245,fgoals_g3,2088782.01356283
2029,ssp245,fgoals_g3,2155977.59402396
2030,ssp245,fgoals_g3,2120030.42284662
2031,ssp245,fgoals_g3,2171379.06323228
2032,ssp245,fgoals_g3,2098266.84705322
2033,ssp245,fgoals_g3,2056304.18175089
2034,ssp245,fgoals_g3,2126832.42663247
2035,ssp245,fgoals_g3,2076155.10824966
2036,ssp245,fgoals_g3,2145710.35434377
2037,ssp245,fgoals_g3,2127472.99168321
2038,ssp245,fgoals_g3,1968463.90272868
2039,ssp245,fgoals_g3,1961001.87071383
2040,ssp245,fgoals_g3,2110015.82532312
2041,ssp245,fgoals_g3,2130497.3342225
2042,ssp245,fgoals_g3,1993715.4001773
2043,ssp245,fgoals_g3,1907174.9094126
2044,ssp245,fgoals_g3,2061709.87088356
2045,ssp245,fgoals_g3,1914534.71303591
2046,ssp245,fgoals_g3,2112023.42310789
2047,ssp245,fgoals_g3,2054323.28818566
2048,ssp245,fgoals_g3,2015638.0524134
2049,ssp245,fgoals_g3,1895514.2297224
2050,ssp245,fgoals_g3,1976044.03155079
2051,ssp245,fgoals_g3,2051345.0726078
2052,ssp245,fgoals_g3,2134810.24628118
2053,ssp245,fgoals_g3,2099124.44116048
2054,ssp245,fgoals_g3,2017437.70258229
2055,ssp245,fgoals_g3,2011565.87410617
2056,ssp245,fgoals_g3,1966365.22944086
2057,ssp245,fgoals_g3,2112537.67029797
2058,ssp245,fgoals_g3,1969302.02126626
2059,ssp245,fgoals_g3,1946832.32459098
2060,ssp245,fgoals_g3,2025568.28236829
2061,ssp245,fgoals_g3,2268399.75923289
2062,ssp245,fgoals_g3,2020581.3394292
2063,ssp245,fgoals_g3,2039308.83173932
2064,ssp245,fgoals_g3,2061238.93504461
2065,ssp245,fgoals_g3,2061615.365886
2066,ssp245,fgoals_g3,2018980.16159544
2067,ssp245,fgoals_g3,1918002.42675462
2068,ssp245,fgoals_g3,1911984.94865669
2069,ssp245,fgoals_g3,1999547.94916342
2070,ssp245,fgoals_g3,2074170.65033204
2071,ssp245,fgoals_g3,2030332.22911867
2072,ssp245,fgoals_g3,1989012.7135024
2073,ssp245,fgoals_g3,1990226.47512668
2074,ssp245,fgoals_g3,1859820.58808402
2075,ssp245,fgoals_g3,1939689.28923606
2076,ssp245,fgoals_g3,1927886.53124881
2077,ssp245,fgoals_g3,1890625.87566798
2078,ssp245,fgoals_g3,1866353.16328835
2079,ssp245,fgoals_g3,1917909.3597489
2080,ssp245,fgoals_g3,2099733.65205909
2081,ssp245,fgoals_g3,1878905.45812531
2082,ssp245,fgoals_g3,1878955.22544248
2083,ssp245,fgoals_g3,1964202.2563565
2084,ssp245,fgoals_g3,1909604.91996844
2085,ssp245,fgoals_g3,1934967.49985251
2086,ssp245,fgoals_g3,1903807.32948467
2087,ssp245,fgoals_g3,1747602.43890166
2088,ssp245,fgoals_g3,1822217.9065454
2089,ssp245,fgoals_g3,1959530.70325963
2090,ssp245,fgoals_g3,1901134.2951969
2091,ssp245,fgoals_g3,1899670.20158618
2092,ssp245,fgoals_g3,1759833.27108705
2093,ssp245,fgoals_g3,1994991.14023971
2094,ssp245,fgoals_g3,1884131.32697923
2095,ssp245,fgoals_g3,1863915.84435369
2096,ssp245,fgoals_g3,1832328.915883
2097,ssp245,fgoals_g3,2020703.18189585
2098,ssp245,fgoals_g3,1847723.26281792
2099,ssp245,fgoals_g3,1697006.09679136
2100,ssp245,fgoals_g3,1814285.25439082
2015,ssp370,fgoals_g3,2126270.72298134
2016,ssp370,fgoals_g3,2206490.12332787
2017,ssp370,fgoals_g3,2110676.10165415
2018,ssp370,fgoals_g3,2063686.05632821
2019,ssp370,fgoals_g3,2104801.63622456
2020,ssp370,fgoals_g3,2303923.50119331
2021,ssp370,fgoals_g3,2093076.94765573
2022,ssp370,fgoals_g3,2257054.07122519
2023,ssp370,fgoals_g3,2179708.18896615
2024,ssp370,fgoals_g3,1980408.46804025
2025,ssp370,fgoals_g3,2180243.37828829
2026,ssp370,fgoals_g3,2143691.32839316
2027,ssp370,fgoals_g3,2136583.30482311
2028,ssp370,fgoals_g3,2057507.43427077
2029,ssp370,fgoals_g3,2244232.00322651
2030,ssp370,fgoals_g3,2229797.22661653
2031,ssp370,fgoals_g3,1954950.83081376
2032,ssp370,fgoals_g3,2044272.87990711
2033,ssp370,fgoals_g3,2054324.17813085
2034,ssp370,fgoals_g3,2089543.2317604
2035,ssp370,fgoals_g3,2032871.70101876
2036,ssp370,fgoals_g3,2129516.69906607
2037,ssp370,fgoals_g3,2020804.66604687
2038,ssp370,fgoals_g3,1988116.46953775
2039,ssp370,fgoals_g3,2051191.39939976
2040,ssp370,fgoals_g3,1957851.59469175
2041,ssp370,fgoals_g3,1938530.39564126
2042,ssp370,fgoals_g3,1993133.5184095
2043,ssp370,fgoals_g3,2060973.76912733
2044,ssp370,fgoals_g3,1987082.837081
2045,ssp370,fgoals_g3,1984103.43154927
2046,ssp370,fgoals_g3,2040043.31297444
2047,ssp370,fgoals_g3,2056288.34943506
2048,ssp370,fgoals_g3,2034411.17411205
2049,ssp370,fgoals_g3,2009509.24629825
2050,ssp370,fgoals_g3,1932130.80573371
2051,ssp370,fgoals_g3,1924468.30541396
2052,ssp370,fgoals_g3,1903338.06400312
2053,ssp370,fgoals_g3,2027140.87780559
2054,ssp370,fgoals_g3,1922139.72974701
2055,ssp370,fgoals_g3,1953537.30798088
2056,ssp370,fgoals_g3,1903330.8404709
2057,ssp370,fgoals_g3,1916007.51643641
2058,ssp370,fgoals_g3,1835328.15388838
2059,ssp370,fgoals_g3,1888015.40238174
2060,ssp370,fgoals_g3,1898330.4040917
2061,ssp370,fgoals_g3,1909142.8708496
2062,ssp370,fgoals_g3,1941035.19099864
2063,ssp370,fgoals_g3,1882056.46745243
2064,ssp370,fgoals_g3,1810708.88230571
2065,ssp370,fgoals_g3,1972870.77519703
2066,ssp370,fgoals_g3,1908763.44675824
2067,ssp370,fgoals_g3,1894885.67175087
2068,ssp370,fgoals_g3,1866067.29176548
2069,ssp370,fgoals_g3,1863910.26348245
2070,ssp370,fgoals_g3,1849723.86458072
2071,ssp370,fgoals_g3,1801050.80000071
2072,ssp370,fgoals_g3,1731218.93249622
2073,ssp370,fgoals_g3,1865854.55122074
2074,ssp370,fgoals_g3,1843224.96060022
2075,ssp370,fgoals_g3,1846642.01201721
2076,ssp370,fgoals_g3,1913898.88926803
2077,ssp370,fgoals_g3,1941384.03787533
2078,ssp370,fgoals_g3,1736015.74097709
2079,ssp370,fgoals_g3,1794097.65524996
2080,ssp370,fgoals_g3,1750368.24534839
2081,ssp370,fgoals_g3,1737138.58516697
2082,ssp370,fgoals_g3,1746189.71784458
2083,ssp370,fgoals_g3,1757254.4163585
2084,ssp370,fgoals_g3,1732263.70519993
2085,ssp370,fgoals_g3,1745645.89448207
2086,ssp370,fgoals_g3,1857408.18665121
2087,ssp370,fgoals_g3,1503074.78345579
2088,ssp370,fgoals_g3,1797178.84042109
2089,ssp370,fgoals_g3,1752050.85300586
2090,ssp370,fgoals_g3,1681468.04329541
2091,ssp370,fgoals_g3,1566742.46096633
2092,ssp370,fgoals_g3,1666292.0979909
2093,ssp370,fgoals_g3,1647981.93570715
2094,ssp370,fgoals_g3,1685899.71488335
2095,ssp370,fgoals_g3,1576573.25525245
2096,ssp370,fgoals_g3,1592661.1271772
2097,ssp370,fgoals_g3,1646151.04363418
2098,ssp370,fgoals_g3,1780978.58259973
2099,ssp370,fgoals_g3,1626071.40495433
2100,ssp370,fgoals_g3,1730467.81408662
2015,ssp585,fgoals_g3,2217585.80906033
2016,ssp585,fgoals_g3,2015934.10574627
2017,ssp585,fgoals_g3,1976330.17486937
2018,ssp585,fgoals_g3,2320149.00002788
2019,ssp585,fgoals_g3,2217196.81915543
2020,ssp585,fgoals_g3,2036057.33494707
2021,ssp585,fgoals_g3,2287181.31484754
2022,ssp585,fgoals_g3,2124250.6644501
2023,ssp585,fgoals_g3,2051389.26995804
2024,ssp585,fgoals_g3,2099014.73011507
2025,ssp585,fgoals_g3,2165823.56695162
2026,ssp585,fgoals_g3,2043344.83323493
2027,ssp585,fgoals_g3,2254369.08369295
2028,ssp585,fgoals_g3,2204897.90849638
2029,ssp585,fgoals_g3,2059740.1737127
2030,ssp585,fgoals_g3,2117604.08978973
2031,ssp585,fgoals_g3,2111658.88530703
2032,ssp585,fgoals_g3,2062961.5139908
2033,ssp585,fgoals_g3,2165833.66009618
2034,ssp585,fgoals_g3,2068528.13206399
2035,ssp585,fgoals_g3,2069046.72760328
2036,ssp585,fgoals_g3,2209198.99476145
2037,ssp585,fgoals_g3,2094597.96028214
2038,ssp585,fgoals_g3,1990737.18288343
2039,ssp585,fgoals_g3,2128373.31318869
2040,ssp585,fgoals_g3,2092461.06823434
2041,ssp585,fgoals_g3,2004209.96967631
2042,ssp585,fgoals_g3,2128236.11747341
2043,ssp585,fgoals_g3,2037307.89135706
2044,ssp585,fgoals_g3,1814341.52325832
2045,ssp585,fgoals_g3,2052990.45145343
2046,ssp585,fgoals_g3,1948064.38321962
2047,ssp585,fgoals_g3,2022805.17965219
2048,ssp585,fgoals_g3,1914110.39498367
2049,ssp585,fgoals_g3,2007382.37726168
2050,ssp585,fgoals_g3,1934163.29110874
2051,ssp585,fgoals_g3,1980087.29719632
2052,ssp585,fgoals_g3,2036645.3812765
2053,ssp585,fgoals_g3,1846929.3212644
2054,ssp585,fgoals_g3,1891709.99513839
2055,ssp585,fgoals_g3,1922212.23833038
2056,ssp585,fgoals_g3,1814738.75743212
2057,ssp585,fgoals_g3,1775696.25574956
2058,ssp585,fgoals_g3,1847229.23232435
2059,ssp585,fgoals_g3,1798770.72421403
2060,ssp585,fgoals_g3,1857008.59404229
2061,ssp585,fgoals_g3,1721460.41139823
2062,ssp585,fgoals_g3,1792505.19406194
2063,ssp585,fgoals_g3,1884963.50429529
2064,ssp585,fgoals_g3,1777259.34877469
2065,ssp585,fgoals_g3,1857873.11369493
2066,ssp585,fgoals_g3,1671548.32931683
2067,ssp585,fgoals_g3,1776123.4450941
2068,ssp585,fgoals_g3,1883170.09904466
2069,ssp585,fgoals_g3,1770634.02614164
2070,ssp585,fgoals_g3,1858974.96862142
2071,ssp585,fgoals_g3,1869478.39139214
2072,ssp585,fgoals_g3,1762746.18597347
2073,ssp585,fgoals_g3,1764393.52793689
2074,ssp585,fgoals_g3,1743796.52170361
2075,ssp585,fgoals_g3,1782719.73268922
2076,ssp585,fgoals_g3,1767857.92094988
2077,ssp585,fgoals_g3,1822992.4432617
2078,ssp585,fgoals_g3,1712595.70470888
2079,ssp585,fgoals_g3,1803631.89410981
2080,ssp585,fgoals_g3,1676280.82842162
2081,ssp585,fgoals_g3,1654043.48793538
2082,ssp585,fgoals_g3,1626533.26644833
2083,ssp585,fgoals_g3,1593181.20604783
2084,ssp585,fgoals_g3,1674804.32301115
2085,ssp585,fgoals_g3,1552847.14969144
2086,ssp585,fgoals_g3,1728812.44157733
2087,ssp585,fgoals_g3,1595638.32816269
2088,ssp585,fgoals_g3,1686903.967656
2089,ssp585,fgoals_g3,1605239.9321477
2090,ssp585,fgoals_g3,1486511.99152651
2091,ssp585,fgoals_g3,1413089.35694412
2092,ssp585,fgoals_g3,1550115.44133912
2093,ssp585,fgoals_g3,1552439.04932519
2094,ssp585,fgoals_g3,1557859.55479928
2095,ssp585,fgoals_g3,1647205.86448512
2096,ssp585,fgoals_g3,1537210.22202664
2097,ssp585,fgoals_g3,1502423.99823217
2098,ssp585,fgoals_g3,1497001.3073334
2099,ssp585,fgoals_g3,1415072.94058404
2100,ssp585,fgoals_g3,1436217.33022692
