year,scenario,snc_mile2
2066,ssp126,2188623
2067,ssp126,2129427
2068,ssp126,2162075
2069,ssp126,2228499
2070,ssp126,2171823
2071,ssp126,2209645
2072,ssp126,2227228
2073,ssp126,2157139
2074,ssp126,2114678
2075,ssp126,2248897
2076,ssp126,2194784
2077,ssp126,2201840
2078,ssp126,2161148
2079,ssp126,2206131
2080,ssp126,2199762
2081,ssp126,2191366
2082,ssp126,2227035
2083,ssp126,2240508
2084,ssp126,2220802
2085,ssp126,2202266
2086,ssp126,2209412
2087,ssp126,2212931
2088,ssp126,2194066
2089,ssp126,2220012
2090,ssp126,2266391
2091,ssp126,2243561
2092,ssp126,2188899
2093,ssp126,2188155
2094,ssp126,2210593
2095,ssp126,2222523
2096,ssp126,2248758
2097,ssp126,2233021
2098,ssp126,2254019
2099,ssp126,2213067
2100,ssp126,2277428
2015,ssp245,2302430
2016,ssp245,2351425
2017,ssp245,2360414
2018,ssp245,2370389
2019,ssp245,2346735
2020,ssp245,2358582
2021,ssp245,2348258
2022,ssp245,2317855
2023,ssp245,2318755
2024,ssp245,2296917
2025,ssp245,2351629
2026,ssp245,2359485
2027,ssp245,2299868
2028,ssp245,2286782
2029,ssp245,2282976
2030,ssp245,2302298
2031,ssp245,2251904
2032,ssp245,2277581
2033,ssp245,2288389
2034,ssp245,2267614
2035,ssp245,2271352
2036,ssp245,2255203
2037,ssp245,2253463
2038,ssp245,2222229
2039,ssp245,2209458
2040,ssp245,2199203
2041,ssp245,2206834
2042,ssp245,2217565
2043,ssp245,2187749
2044,ssp245,2167374
2045,ssp245,2189058
2046,ssp245,2212848
2047,ssp245,2185940
2048,ssp245,2187118
2049,ssp245,2112426
2050,ssp245,2193997
2051,ssp245,2202924
2052,ssp245,2176302
2053,ssp245,2175760
2054,ssp245,2177526
2055,ssp245,2150523
2056,ssp245,2151647
2057,ssp245,2142969
2058,ssp245,2071396
2059,ssp245,2055628
2060,ssp245,2068093
2061,ssp245,2164146
2062,ssp245,2135964
2063,ssp245,2107718
2064,ssp245,2125421
2065,ssp245,2125659
2066,ssp245,2100501
2067,ssp245,2097914
2068,ssp245,2073300
2069,ssp245,2119509
2070,ssp245,2095462
2071,ssp245,2073289
2072,ssp245,2044537
2073,ssp245,2060290
2074,ssp245,2052840
2075,ssp245,2112873
2076,ssp245,2064801
2077,ssp245,2034686
2078,ssp245,2046446
2079,ssp245,2097317
2080,ssp245,2116742
2081,ssp245,2094390
2082,ssp245,2014322
2083,ssp245,2021337
2084,ssp245,2027903
2085,ssp245,2002754
2086,ssp245,2015343
2087,ssp245,2011939
2088,ssp245,2030969
2089,ssp245,2069244
2090,ssp245,2015296
2091,ssp245,2011565
2092,ssp245,1980177
2093,ssp245,2038706
2094,ssp245,2032412
2095,ssp245,1986516
2096,ssp245,1988544
2097,ssp245,1997598
2098,ssp245,2008789
2099,ssp245,1970540
2100,ssp245,1962261
2015,ssp370,2338280
2016,ssp370,2407024
2017,ssp370,2384459
2018,ssp370,2318736
2019,ssp370,2318659
2020,ssp370,2363495
2021,ssp370,2335449
2022,ssp370,2344499
2023,ssp370,2363177
2024,ssp370,2297840
2025,ssp370,2331063
2026,ssp370,2308171
2027,ssp370,2311739
2028,ssp370,2262876
2029,ssp370,2338664
2030,ssp370,2315342
2031,ssp370,2246155
2032,ssp370,2328118
2033,ssp370,2257466
2034,ssp370,2221119
2035,ssp370,2244581
2036,ssp370,2213599
2037,ssp370,2251663
2038,ssp370,2305990
2039,ssp370,2247397
2040,ssp370,2209816
2041,ssp370,2214515
2042,ssp370,2230261
2043,ssp370,2248377
2044,ssp370,2235832
2045,ssp370,2205784
2046,ssp370,2149326
2047,ssp370,2183203
2048,ssp370,2168172
2049,ssp370,2172401
2050,ssp370,2200389
2051,ssp370,2109548
2052,ssp370,2127765
2053,ssp370,2106301
2054,ssp370,2098218
2055,ssp370,2124451
2056,ssp370,2009861
2057,ssp370,2073043
2058,ssp370,2074394
2059,ssp370,2110653
2060,ssp370,2109687
2061,ssp370,2045223
2062,ssp370,2061882
2063,ssp370,2014104
2064,ssp370,2077555
2065,ssp370,2044170
2066,ssp370,2033083
2067,ssp370,2023378
2068,ssp370,2005093
2069,ssp370,1933800
2070,ssp370,1959288
2071,ssp370,1963438
2072,ssp370,1911959
2073,ssp370,1936084
2074,ssp370,1938376
2075,ssp370,1956075
2076,ssp370,1936243
2077,ssp370,1984067
2078,ssp370,1975913
2079,ssp370,1885655
2080,ssp370,1858198
2081,ssp370,1894954
2082,ssp370,1886127
2083,ssp370,1862853
2084,ssp370,1834665
2085,ssp370,1849072
2086,ssp370,1887421
2087,ssp370,1824955
2088,ssp370,1792739
