year,season,scenario,snc_mile2
1852,4,historical,1759781
1853,1,historical,4803821
1853,2,historical,3227232
1853,3,historical,414961
1853,4,historical,1862389
1854,1,historical,4819567
1854,2,historical,3146333
1854,3,historical,465177
1854,4,historical,1836566
1855,1,historical,4797430
1855,2,historical,3183576
1855,3,historical,419274
1855,4,historical,1779664
1856,1,historical,4747851
1856,2,historical,3251276
1856,3,historical,406954
1856,4,historical,1838781
1857,1,historical,4840188
1857,2,historical,3142771
1857,3,historical,442248
1857,4,historical,1847172
1858,1,historical,4852104
1858,2,historical,3195948
1858,3,historical,420052
1858,4,historical,1898190
1859,1,historical,4772370
1859,2,historical,3276491
1859,3,historical,442026
1859,4,historical,1820204
1860,1,historical,4799893
1860,2,historical,3293124
1860,3,historical,433834
1860,4,historical,1871366
1861,1,historical,4794989
1861,2,historical,3199098
1861,3,historical,436197
1861,4,historical,1842396
1862,1,historical,4829456
1862,2,historical,3254248
1862,3,historical,426965
1862,4,historical,1902716
1863,1,historical,4864110
1863,2,historical,3225119
1863,3,historical,439070
1863,4,historical,1845956
1864,1,historical,4855204
1864,2,historical,3219976
1864,3,historical,437588
1864,4,historical,1787796
1865,1,historical,4798015
1865,2,historical,3219860
1865,3,historical,436030
1865,4,historical,1776987
1866,1,historical,4759908
1866,2,historical,3180541
1866,3,historical,409948
1866,4,historical,1838997
1867,1,historical,4722725
1867,2,historical,3116348
1867,3,historical,449336
1867,4,historical,1833186
1868,1,historical,4841945
1868,2,historical,3110315
1868,3,historical,400038
1868,4,historical,1780944
1869,1,historical,4927979
1869,2,historical,3226096
1869,3,historical,419040
1869,4,historical,1856649
1870,1,historical,4811944
1870,2,historical,3304107
1870,3,historical,446641
1870,4,historical,1865959
1871,1,historical,4906238
1871,2,historical,3260192
1871,3,historical,442259
1871,4,historical,1796674
1872,1,historical,4800064
1872,2,historical,3215709
1872,3,historical,435560
1872,4,historical,1855509
1873,1,historical,4890854
1873,2,historical,3266016
1873,3,historical,425390
1873,4,historical,1828864
1874,1,historical,4788160
1874,2,historical,3173600
1874,3,historical,427760
1874,4,historical,1771571
1875,1,historical,4838216
1875,2,historical,3230736
1875,3,historical,441706
1875,4,historical,1836528
1876,1,historical,4712522
1876,2,historical,3167629
1876,3,historical,414850
1876,4,historical,1834218
1877,1,historical,4725787
1877,2,historical,3167672
1877,3,historical,431670
1877,4,historical,1834281
1878,1,historical,4707654
1878,2,historical,3107805
1878,3,historical,395288
1878,4,historical,1814028
1879,1,historical,4814902
1879,2,historical,3307060
1879,3,historical,412303
1879,4,historical,1848320
1880,1,historical,4828724
1880,2,historical,3183042
1880,3,historical,455548
1880,4,historical,1872951
1881,1,historical,4761919
1881,2,historical,3119091
1881,3,historical,419180
1881,4,historical,1837520
1882,1,historical,4908299
1882,2,historical,3230142
1882,3,historical,414219
1882,4,historical,1755788
1883,1,historical,4752486
1883,2,historical,3193899
1883,3,historical,394717
1883,4,historical,1780074
1884,1,historical,4762520
1884,2,historical,3282228
1884,3,historical,496995
1884,4,historical,1931491
1885,1,historical,4885898
1885,2,historical,3326944
1885,3,historical,467724
1885,4,historical,1897906
1886,1,historical,4916986
1886,2,historical,3230948
1886,3,historical,413477
1886,4,historical,1916151
1887,1,historical,4968080
1887,2,historical,3357886
1887,3,historical,453219
1887,4,historical,1804390
1888,1,historical,4871415
1888,2,historical,3219082
1888,3,historical,444098
1888,4,historical,1797331
1889,1,historical,4761743
1889,2,historical,3120969
1889,3,historical,450156
1889,4,historical,1829608
1890,1,historical,4737482
1890,2,historical,3187311
1890,3,historical,409310
1890,4,historical,1839855
1891,1,historical,4740417
1891,2,historical,3238921
1891,3,historical,443108
1891,4,historical,1880224
1892,1,historical,4864929
1892,2,historical,3262734
1892,3,historical,404231
1892,4,historical,1878485
1893,1,historical,4820083
1893,2,historical,3323611
1893,3,historical,418280
1893,4,historical,1807863
1894,1,historical,4681251
1894,2,historical,3173781
1894,3,historical,420399
1894,4,historical,1811428
1895,1,historical,4794856
1895,2,historical,3184759
1895,3,historical,438376
1895,4,historical,1880977
1896,1,historical,4831405
1896,2,historical,3294361
1896,3,historical,426589
1896,4,historical,1869990
1897,1,historical,4738763
1897,2,historical,3219749
1897,3,historical,442204
1897,4,historical,1877318
1898,1,historical,4864361
1898,2,historical,3173690
1898,3,historical,437828
1898,4,historical,1819589
1899,1,historical,4853032
1899,2,historical,3165066
1899,3,historical,422551
1899,4,historical,1867763
1900,1,historical,4830065
1900,2,historical,3224541
1900,3,historical,422356
1900,4,historical,1813051
1901,1,historical,4773548
1901,2,historical,3276741
1901,3,historical,420638
1901,4,historical,1793897
1902,1,historical,4694712
1902,2,historical,3256578
1902,3,historical,427117
1902,4,historical,1749224
1903,1,historical,4807213
1903,2,historical,3254599
1903,3,historical,466848
1903,4,historical,1862762
1904,1,historical,4855578
1904,2,historical,3272084
1904,3,historical,436758
1904,4,historical,1791087
1905,1,historical,4818524
1905,2,historical,3188971
1905,3,historical,415317
1905,4,historical,1874294
1906,1,historical,4827283
1906,2,historical,3247069
1906,3,historical,401060
1906,4,historical,1874532
1907,1,historical,4909987
1907,2,historical,3333788
1907,3,historical,404606
1907,4,historical,1933477
1908,1,historical,4816339
1908,2,historical,3323535
1908,3,historical,431080
1908,4,historical,1790207
1909,1,historical,4842739
1909,2,historical,3183274
1909,3,historical,419550
1909,4,historical,1822316
1910,1,historical,4779242
1910,2,historical,3254169
1910,3,historical,417525
1910,4,historical,1835875
1911,1,historical,4854623
1911,2,historical,3230808
1911,3,historical,415537
1911,4,historical,1858375
1912,1,historical,4790808
1912,2,historical,3275946
1912,3,historical,456521
1912,4,historical,2025360
1913,1,historical,4997160
1913,2,historical,3380080
1913,3,historical,445794
1913,4,historical,1810003
1914,1,historical,4809715
1914,2,historical,3280809
1914,3,historical,473404
1914,4,historical,1935313
1915,1,historical,4896228
1915,2,historical,3280358
1915,3,historical,464619
1915,4,historical,1914243
1916,1,historical,4894324
1916,2,historical,3270541
1916,3,historical,416392
1916,4,historical,1851339
1917,1,historical,4793719
1917,2,historical,3301145
1917,3,historical,418227
1917,4,historical,1839161
1918,1,historical,4749234
1918,2,historical,3178002
1918,3,historical,431977
1918,4,historical,1788365
1919,1,historical,4845862
1919,2,historical,3189105
1919,3,historical,410737
1919,4,historical,1745768
1920,1,historical,4804388
1920,2,historical,3073465
1920,3,historical,394326
1920,4,historical,1809955
1921,1,historical,4935573
1921,2,historical,3190670
1921,3,historical,427113
1921,4,historical,1796591
1922,1,historical,4711671
1922,2,historical,3179033
1922,3,historical,389440
1922,4,historical,1761096
1923,1,historical,4751144
1923,2,historical,3257200
1923,3,historical,404883
1923,4,historical,1798494
1924,1,historical,4905028
1924,2,historical,3229633
1924,3,historical,430005
1924,4,historical,1822452
1925,1,historical,4755635
1925,2,historical,3187526
1925,3,historical,425412
1925,4,historical,1816535
1926,1,historical,4812482
1926,2,historical,3312006
1926,3,historical,411624
1926,4,historical,1812841
1927,1,historical,4689012
1927,2,historical,3159999
1927,3,historical,419427
1927,4,historical,1694706
1928,1,historical,4908048
1928,2,historical,3187271
1928,3,historical,417750
1928,4,historical,1786396
1929,1,historical,4805652
1929,2,historical,3208929
1929,3,historical,396968
1929,4,historical,1726728
1930,1,historical,4806469
1930,2,historical,3115487
1930,3,historical,421380
1930,4,historical,1786857
1931,1,historical,4896803
1931,2,historical,3216115
1931,3,historical,428706
1931,4,historical,1786003
1932,1,historical,4820350
1932,2,historical,3252978
1932,3,historical,412883
1932,4,historical,1785308
1933,1,historical,4845645
1933,2,historical,3257096
1933,3,historical,434935
1933,4,historical,1799766
1934,1,historical,4859146
1934,2,historical,3258905
1934,3,historical,383712
1934,4,historical,1810587
1935,1,historical,4772271
1935,2,historical,3140378
1935,3,historical,429157
1935,4,historical,1805370
1936,1,historical,4803800
1936,2,historical,3219338
1936,3,historical,430632
1936,4,historical,1857695
1937,1,historical,4891394
1937,2,historical,3216718
1937,3,historical,425106
1937,4,historical,1816954
1938,1,historical,4738552
1938,2,historical,3189564
1938,3,historical,436679
1938,4,historical,1845603
1939,1,historical,4746275
1939,2,historical,3259324
1939,3,historical,444826
1939,4,historical,1865935
1940,1,historical,4803848
1940,2,historical,3180416
1940,3,historical,433623
1940,4,historical,1810014
1941,1,historical,4681368
1941,2,historical,3176310
1941,3,historical,441355
1941,4,historical,1729099
1942,1,historical,4812308
1942,2,historical,3205033
1942,3,historical,415316
1942,4,historical,1849908
1943,1,historical,4788318
1943,2,historical,3172962
1943,3,historical,426030
1943,4,historical,1819945
1944,1,historical,4794609
1944,2,historical,3131730
1944,3,historical,404655
1944,4,historical,1764272
1945,1,historical,4772179
1945,2,historical,3202708
1945,3,historical,465645
1945,4,historical,1823891
1946,1,historical,4772861
1946,2,historical,3190266
1946,3,historical,435348
1946,4,historical,1884098
1947,1,historical,4842659
1947,2,historical,3303394
1947,3,historical,434707
1947,4,historical,1780981
1948,1,historical,4738801
1948,2,historical,3152844
1948,3,historical,390856
1948,4,historical,1753993
1949,1,historical,4727589
1949,2,historical,3154228
1949,3,historical,409784
1949,4,historical,1771387
1950,1,historical,4836650
1950,2,historical,3141368
1950,3,historical,401104
1950,4,historical,1723135
1951,1,historical,4743702
1951,2,historical,3174810
1951,3,historical,419750
1951,4,historical,1775334
1952,1,historical,4888607
1952,2,historical,3186378
1952,3,historical,401931
1952,4,historical,1833625
1953,1,historical,4835071
1953,2,historical,3233697
1953,3,historical,416412
1953,4,historical,1800527
1954,1,historical,4859051
1954,2,historical,3263475
1954,3,historical,434989
1954,4,historical,1913422
1955,1,historical,4760295
1955,2,historical,3243182
1955,3,historical,423686
1955,4,historical,1769127
1956,1,historical,4850901
1956,2,historical,3171318
1956,3,historical,421179
1956,4,historical,1704299
1957,1,historical,4699477
1957,2,historical,3225890
1957,3,historical,441986
1957,4,historical,1795706
1958,1,historical,4863043
1958,2,historical,3296236
1958,3,historical,422120
1958,4,historical,1827886
1959,1,historical,4795905
1959,2,historical,3196661
1959,3,historical,435554
1959,4,historical,1855868
1960,1,historical,4834235
1960,2,historical,3292813
1960,3,historical,425187
1960,4,historical,1815708
1961,1,historical,4711959
1961,2,historical,3163490
1961,3,historical,421089
1961,4,historical,1782587
1962,1,historical,4890865
1962,2,historical,3286874
1962,3,historical,440020
1962,4,historical,1817721
1963,1,historical,4865309
1963,2,historical,3276265
1963,3,historical,453644
1963,4,historical,1849564
1964,1,historical,4866477
1964,2,historical,3262605
1964,3,historical,440924
1964,4,historical,1906118
1965,1,historical,4853659
1965,2,historical,3368119
1965,3,historical,442635
1965,4,historical,1859339
1966,1,historical,4871277
1966,2,historical,3192763
1966,3,historical,418790
1966,4,historical,1846231
1967,1,historical,4790460
1967,2,historical,3291488
1967,3,historical,480756
1967,4,historical,1770627
1968,1,historical,4803782
1968,2,historical,3277350
1968,3,historical,439413
1968,4,historical,1904785
1969,1,historical,4907044
1969,2,historical,3407350
1969,3,historical,466395
1969,4,historical,1786700
1970,1,historical,4818693
1970,2,historical,3226336
1970,3,historical,446115
1970,4,historical,1792886
1971,1,historical,4721993
1971,2,historical,3220355
1971,3,historical,460028
1971,4,historical,1749379
1972,1,historical,4663189
1972,2,historical,3185178
1972,3,historical,448274
1972,4,historical,1882570
1973,1,historical,4840286
1973,2,historical,3246495
1973,3,historical,440861
1973,4,historical,1831449
1974,1,historical,4910242
1974,2,historical,3247486
1974,3,historical,401233
1974,4,historical,1666168
1975,1,historical,4853103
1975,2,historical,3128117
1975,3,historical,405208
1975,4,historical,1835685
1976,1,historical,4856775
1976,2,historical,3322186
1976,3,historical,415537
1976,4,historical,1753027
1977,1,historical,4803917
1977,2,historical,3212126
1977,3,historical,429174
1977,4,historical,1808476
1978,1,historical,4764085
1978,2,historical,3217478
1978,3,historical,405766
1978,4,historical,1808535
1979,1,historical,4811564
1979,2,historical,3152156
1979,3,historical,441011
1979,4,historical,1891129
1980,1,historical,4836558
1980,2,historical,3172650
1980,3,historical,426348
1980,4,historical,1838737
1981,1,historical,4852769
1981,2,historical,3252556
1981,3,historical,432483
1981,4,historical,1796184
1982,1,historical,4681240
1982,2,historical,3168758
1982,3,historical,434122
1982,4,historical,1767833
1983,1,historical,4887065
1983,2,historical,3286088
1983,3,historical,458246
1983,4,historical,1819721
1984,1,historical,4810588
1984,2,historical,3211419
1984,3,historical,437505
1984,4,historical,1859887
1985,1,historical,4825863
1985,2,historical,3195800
1985,3,historical,425002
1985,4,historical,1831314
1986,1,historical,4873850
1986,2,historical,3324542
1986,3,historical,419336
1986,4,historical,1846657
1987,1,historical,4704343
1987,2,historical,3181424
1987,3,historical,380068
1987,4,historical,1777789
1988,1,historical,4756462
1988,2,historical,3239849
1988,3,historical,440948
1988,4,historical,1781315
1989,1,historical,4762950
1989,2,historical,3209159
1989,3,historical,413233
1989,4,historical,1866343
1990,1,historical,4761189
1990,2,historical,3177008
1990,3,historical,377995
1990,4,historical,1840684
1991,1,historical,4786905
1991,2,historical,3150078
1991,3,historical,380754
1991,4,historical,1774619
1992,1,historical,4733271
1992,2,historical,3239820
1992,3,historical,436003
1992,4,historical,1864328
1993,1,historical,4735793
1993,2,historical,3197206
1993,3,historical,425793
1993,4,historical,1808432
1994,1,historical,4787457
1994,2,historical,3136886
1994,3,historical,409059
1994,4,historical,1810461
1995,1,historical,4852737
1995,2,historical,3165878
1995,3,historical,400133
1995,4,historical,1784699
1996,1,historical,4843456
1996,2,historical,3199144
1996,3,historical,395534
1996,4,historical,1752219
1997,1,historical,4718302
1997,2,historical,3166420
1997,3,historical,369975
1997,4,historical,1721929
1998,1,historical,4736264
1998,2,historical,3079538
1998,3,historical,397284
1998,4,historical,1712876
1999,1,historical,4760440
1999,2,historical,3154930
1999,3,historical,367661
1999,4,historical,1650244
2000,1,historical,4669899
2000,2,historical,3106236
2000,3,historical,365902
2000,4,historical,1646385
2001,1,historical,4732575
2001,2,historical,3088650
2001,3,historical,370826
2001,4,historical,1632630
2002,1,historical,4735774
2002,2,historical,3105005
2002,3,historical,343478
2002,4,historical,1637163
2003,1,historical,4623708
2003,2,historical,3050322
2003,3,historical,361086
2003,4,historical,1720709
2004,1,historical,4692780
2004,2,historical,3025941
2004,3,historical,340005
2004,4,historical,1528860
2005,1,historical,4681061
2005,2,historical,3044388
2005,3,historical,344539
2005,4,historical,1624265
2006,1,historical,4552630
2006,2,historical,3123890
2006,3,historical,353921
2006,4,historical,1666346
2007,1,historical,4714022
2007,2,historical,3095511
2007,3,historical,354509
2007,4,historical,1594510
2008,1,historical,4551825
2008,2,historical,2979789
2008,3,historical,335519
2008,4,historical,1678299
2009,1,historical,4701958
2009,2,historical,3039074
2009,3,historical,349549
2009,4,historical,1633724
2010,1,historical,4726223
2010,2,historical,3059312
2010,3,historical,327569
2010,4,historical,1633621
2011,1,historical,4598337
2011,2,historical,3003168
2011,3,historical,340985
2011,4,historical,1586807
2012,1,historical,4678904
2012,2,historical,2983722
2012,3,historical,344970
