,year,growing_seas_length_days,scenario,model
0,1950,184.5714497915561,ssp245,ec-earth3
1,1951,175.68227042503588,ssp245,ec-earth3
2,1952,165.50224697923255,ssp245,ec-earth3
3,1953,178.26844355469157,ssp245,ec-earth3
4,1954,172.73912104826204,ssp245,ec-earth3
5,1955,178.4953170750523,ssp245,ec-earth3
6,1956,178.83198269886668,ssp245,ec-earth3
7,1957,177.98882799178003,ssp245,ec-earth3
8,1958,171.86067882207095,ssp245,ec-earth3
9,1959,182.56625883514076,ssp245,ec-earth3
10,1960,182.46771764183006,ssp245,ec-earth3
11,1961,183.2763873436929,ssp245,ec-earth3
12,1962,172.70087479691102,ssp245,ec-earth3
13,1963,172.31248053944915,ssp245,ec-earth3
14,1964,167.60027967853958,ssp245,ec-earth3
15,1965,169.5969382460937,ssp245,ec-earth3
16,1966,183.30357793551232,ssp245,ec-earth3
17,1967,184.18398293651666,ssp245,ec-earth3
18,1968,168.16676223246915,ssp245,ec-earth3
19,1969,158.0125320327783,ssp245,ec-earth3
20,1970,177.24193928894195,ssp245,ec-earth3
21,1971,173.9016215209814,ssp245,ec-earth3
22,1972,176.64187829018215,ssp245,ec-earth3
23,1973,178.18353193001084,ssp245,ec-earth3
24,1974,187.2066372176837,ssp245,ec-earth3
25,1975,183.50692871117914,ssp245,ec-earth3
26,1976,181.2565303293935,ssp245,ec-earth3
27,1977,179.77368563870013,ssp245,ec-earth3
28,1978,176.65282043279484,ssp245,ec-earth3
29,1979,175.66512190089608,ssp245,ec-earth3
30,1980,172.4951032249439,ssp245,ec-earth3
31,1981,176.48146590669904,ssp245,ec-earth3
32,1982,168.53539425715525,ssp245,ec-earth3
33,1983,164.5068523008753,ssp245,ec-earth3
34,1984,175.96473659909344,ssp245,ec-earth3
35,1985,191.02837488386277,ssp245,ec-earth3
36,1986,169.7723543301473,ssp245,ec-earth3
37,1987,173.84231589355912,ssp245,ec-earth3
38,1988,181.86072803472243,ssp245,ec-earth3
39,1989,179.6105924925043,ssp245,ec-earth3
40,1990,184.8941810861231,ssp245,ec-earth3
41,1991,183.19885537402666,ssp245,ec-earth3
42,1992,178.1288781864591,ssp245,ec-earth3
43,1993,181.6399196664113,ssp245,ec-earth3
44,1994,180.1092016107283,ssp245,ec-earth3
45,1995,198.17598505236978,ssp245,ec-earth3
46,1996,187.44522894697076,ssp245,ec-earth3
47,1997,194.83932554095838,ssp245,ec-earth3
48,1998,189.40728435064068,ssp245,ec-earth3
49,1999,186.68581261092473,ssp245,ec-earth3
50,2000,187.47370454299383,ssp245,ec-earth3
51,2001,178.27268707085224,ssp245,ec-earth3
52,2002,196.6288849803233,ssp245,ec-earth3
53,2003,186.6746247889793,ssp245,ec-earth3
54,2004,188.82835737070704,ssp245,ec-earth3
55,2005,196.98036055318744,ssp245,ec-earth3
56,2006,187.89384693483734,ssp245,ec-earth3
57,2007,193.74776921712322,ssp245,ec-earth3
58,2008,197.18444594000766,ssp245,ec-earth3
59,2009,193.61652403601082,ssp245,ec-earth3
60,2010,192.71099676673998,ssp245,ec-earth3
61,2011,183.97628103200688,ssp245,ec-earth3
62,2012,190.7188042028309,ssp245,ec-earth3
63,2013,213.2060715716395,ssp245,ec-earth3
64,2014,206.53676577955721,ssp245,ec-earth3
65,2015,190.10222922159866,ssp245,ec-earth3
66,2016,204.722099684879,ssp245,ec-earth3
67,2017,212.57120643061015,ssp245,ec-earth3
68,2018,207.60464762386803,ssp245,ec-earth3
69,2019,197.16069648029767,ssp245,ec-earth3
70,2020,206.4206594682791,ssp245,ec-earth3
71,2021,189.74030847601566,ssp245,ec-earth3
72,2022,198.50120428926547,ssp245,ec-earth3
73,2023,220.87976235930617,ssp245,ec-earth3
74,2024,208.7574840225844,ssp245,ec-earth3
75,2025,205.5128496483029,ssp245,ec-earth3
76,2026,213.01501262454343,ssp245,ec-earth3
77,2027,214.61079786886702,ssp245,ec-earth3
78,2028,221.8546083996245,ssp245,ec-earth3
79,2029,202.17836521458094,ssp245,ec-earth3
80,2030,212.965585127645,ssp245,ec-earth3
81,2031,210.59416793389968,ssp245,ec-earth3
82,2032,212.7151794891542,ssp245,ec-earth3
83,2033,209.69116887020743,ssp245,ec-earth3
84,2034,209.01569291553838,ssp245,ec-earth3
85,2035,213.91980293392294,ssp245,ec-earth3
86,2036,207.90275353958475,ssp245,ec-earth3
87,2037,209.95761122104136,ssp245,ec-earth3
88,2038,206.37547910736794,ssp245,ec-earth3
89,2039,216.48684204165164,ssp245,ec-earth3
90,2040,198.099197381746,ssp245,ec-earth3
91,2041,203.60245020324564,ssp245,ec-earth3
92,2042,205.472853199485,ssp245,ec-earth3
93,2043,216.17382982739758,ssp245,ec-earth3
94,2044,218.96450945898258,ssp245,ec-earth3
95,2045,215.3962771557935,ssp245,ec-earth3
96,2046,221.15918644382472,ssp245,ec-earth3
97,2047,216.65307457281503,ssp245,ec-earth3
98,2048,223.41339831207108,ssp245,ec-earth3
99,2049,218.5260585002218,ssp245,ec-earth3
100,2050,235.19778554473427,ssp245,ec-earth3
101,2051,225.036528520913,ssp245,ec-earth3
102,2052,219.31119536144325,ssp245,ec-earth3
