,year,growing_seas_length_days,scenario,model
0,1950,184.43743190006347,ssp370,ec-earth3
1,1951,175.5821291206672,ssp370,ec-earth3
2,1952,165.41457834529248,ssp370,ec-earth3
3,1953,178.18081481917426,ssp370,ec-earth3
4,1954,172.6674717481213,ssp370,ec-earth3
5,1955,178.4411661502801,ssp370,ec-earth3
6,1956,178.77820499339643,ssp370,ec-earth3
7,1957,177.9574225315982,ssp370,ec-earth3
8,1958,171.83953522834332,ssp370,ec-earth3
9,1959,182.54891774094227,ssp370,ec-earth3
10,1960,182.46107578898938,ssp370,ec-earth3
11,1961,183.2693404905535,ssp370,ec-earth3
12,1962,172.69863171406303,ssp370,ec-earth3
13,1963,172.31487244683663,ssp370,ec-earth3
14,1964,167.6053641143704,ssp370,ec-earth3
15,1965,169.60661140002995,ssp370,ec-earth3
16,1966,183.31308601517347,ssp370,ec-earth3
17,1967,184.1941631709023,ssp370,ec-earth3
18,1968,168.17940844389267,ssp370,ec-earth3
19,1969,158.02601793684119,ssp370,ec-earth3
20,1970,177.2556245529426,ssp370,ec-earth3
21,1971,173.9163705414663,ssp370,ec-earth3
22,1972,176.65418454314806,ssp370,ec-earth3
23,1973,178.19721656903698,ssp370,ec-earth3
24,1974,187.21875532125813,ssp370,ec-earth3
25,1975,183.51682350287396,ssp370,ec-earth3
26,1976,181.27100116436404,ssp370,ec-earth3
27,1977,179.7856640382637,ssp370,ec-earth3
28,1978,176.66573835781853,ssp370,ec-earth3
29,1979,175.675760862666,ssp370,ec-earth3
30,1980,172.504671574516,ssp370,ec-earth3
31,1981,176.4937534780764,ssp370,ec-earth3
32,1982,168.54482591557937,ssp370,ec-earth3
33,1983,164.51659667620203,ssp370,ec-earth3
34,1984,175.97745599798287,ssp370,ec-earth3
35,1985,191.03991674832758,ssp370,ec-earth3
36,1986,169.7794510619205,ssp370,ec-earth3
37,1987,173.84734941312718,ssp370,ec-earth3
38,1988,181.8694213084638,ssp370,ec-earth3
39,1989,179.6153926422731,ssp370,ec-earth3
40,1990,184.9091088271791,ssp370,ec-earth3
41,1991,183.21115291545428,ssp370,ec-earth3
42,1992,178.14231704635216,ssp370,ec-earth3
43,1993,181.6576312540246,ssp370,ec-earth3
44,1994,180.1264214133603,ssp370,ec-earth3
45,1995,198.21321068565675,ssp370,ec-earth3
46,1996,187.47433286437771,ssp370,ec-earth3
47,1997,194.87672730832494,ssp370,ec-earth3
48,1998,189.45179573190111,ssp370,ec-earth3
49,1999,186.73936522692563,ssp370,ec-earth3
50,2000,187.5515451556879,ssp370,ec-earth3
51,2001,178.3290214488292,ssp370,ec-earth3
52,2002,196.72603241960527,ssp370,ec-earth3
53,2003,186.79466215982143,ssp370,ec-earth3
54,2004,188.93518841078452,ssp370,ec-earth3
55,2005,197.1173682730544,ssp370,ec-earth3
56,2006,188.01584397295477,ssp370,ec-earth3
57,2007,193.91282547726345,ssp370,ec-earth3
58,2008,197.34764371167867,ssp370,ec-earth3
59,2009,193.76414656148825,ssp370,ec-earth3
60,2010,192.94602664143224,ssp370,ec-earth3
61,2011,184.2851776736797,ssp370,ec-earth3
62,2012,191.0963551370859,ssp370,ec-earth3
63,2013,213.44612802141992,ssp370,ec-earth3
64,2014,206.8986873562213,ssp370,ec-earth3
65,2015,202.15498453792887,ssp370,ec-earth3
66,2016,208.90103825577796,ssp370,ec-earth3
67,2017,206.2659447668449,ssp370,ec-earth3
68,2018,192.98964165169565,ssp370,ec-earth3
69,2019,208.5394365872924,ssp370,ec-earth3
70,2020,202.3723435390788,ssp370,ec-earth3
