year,state,GrowingSea,scenario
1951,SD,134.63714462152535,nclimgrid
1952,SD,140.14850385090583,nclimgrid
1953,SD,135.67569303171845,nclimgrid
1954,SD,140.58559132399557,nclimgrid
1955,SD,152.36838126366482,nclimgrid
1956,SD,148.77515045410252,nclimgrid
1957,SD,166.61805496720066,nclimgrid
1958,SD,147.66780110925387,nclimgrid
1959,SD,132.73267752302462,nclimgrid
1960,SD,145.27101623429832,nclimgrid
1961,SD,137.23495957939892,nclimgrid
1962,SD,155.7988099049695,nclimgrid
1963,SD,156.22711425924635,nclimgrid
1964,SD,142.9520565416579,nclimgrid
1965,SD,118.64024769966039,nclimgrid
1966,SD,140.35058099011772,nclimgrid
1967,SD,135.42971471259284,nclimgrid
1968,SD,135.1141127044135,nclimgrid
1969,SD,147.5331257583285,nclimgrid
1970,SD,147.86393494408475,nclimgrid
1971,SD,141.2539288120965,nclimgrid
1972,SD,145.6647195599096,nclimgrid
1973,SD,140.87513392136225,nclimgrid
1974,SD,126.18844711497502,nclimgrid
1975,SD,153.20879038298585,nclimgrid
1976,SD,139.03727025256774,nclimgrid
1977,SD,168.85652526255117,nclimgrid
1978,SD,157.19248683430354,nclimgrid
1979,SD,142.00343760864791,nclimgrid
1980,SD,147.73935658256613,nclimgrid
1981,SD,142.09055747545378,nclimgrid
1982,SD,150.91720529707936,nclimgrid
1983,SD,130.29189528158736,nclimgrid
1984,SD,135.11184339778663,nclimgrid
1985,SD,149.59927801273955,nclimgrid
1986,SD,157.53315468330356,nclimgrid
1987,SD,162.8960402461885,nclimgrid
1988,SD,153.52203549611514,nclimgrid
1989,SD,131.72344142076955,nclimgrid
1990,SD,139.65377467300485,nclimgrid
1991,SD,135.85979123322082,nclimgrid
1992,SD,130.0906722332889,nclimgrid
1993,SD,142.68543766318484,nclimgrid
1994,SD,166.67487398666952,nclimgrid
1995,SD,143.00213889002322,nclimgrid
1996,SD,150.67757589429075,nclimgrid
1997,SD,148.47904081399057,nclimgrid
1998,SD,165.14181889936052,nclimgrid
1999,SD,153.78955873408523,nclimgrid
2000,SD,140.58998317937304,nclimgrid
2001,SD,158.83419902920983,nclimgrid
2002,SD,134.59004426183634,nclimgrid
2003,SD,142.92182763212395,nclimgrid
2004,SD,139.06083798197218,nclimgrid
2005,SD,144.40414266984953,nclimgrid
2006,SD,141.88674181155545,nclimgrid
2007,SD,168.9919018328718,nclimgrid
2008,SD,154.53796773724667,nclimgrid
2009,SD,149.44513552196847,nclimgrid
2010,SD,161.00543897179335,nclimgrid
2011,SD,150.33044832039818,nclimgrid
2012,SD,156.0818409689741,nclimgrid
2013,SD,152.5312216254495,nclimgrid
2014,SD,135.6766492704391,nclimgrid
2015,SD,152.06085967599944,nclimgrid
2016,SD,148.60729186331903,nclimgrid
2017,SD,152.0600912708888,nclimgrid
2018,SD,157.99363277640447,nclimgrid
2019,SD,150.86472734654086,nclimgrid
2020,SD,NA,nclimgrid
2021,SD,NA,nclimgrid
2022,SD,NA,nclimgrid
2023,SD,NA,nclimgrid
2024,SD,NA,nclimgrid
2025,SD,NA,nclimgrid
2026,SD,NA,nclimgrid
2027,SD,NA,nclimgrid
2028,SD,NA,nclimgrid
2029,SD,NA,nclimgrid
2030,SD,NA,nclimgrid
2031,SD,NA,nclimgrid
2032,SD,NA,nclimgrid
2033,SD,NA,nclimgrid
2034,SD,NA,nclimgrid
2035,SD,NA,nclimgrid
2036,SD,NA,nclimgrid
2037,SD,NA,nclimgrid
2038,SD,NA,nclimgrid
2039,SD,NA,nclimgrid
2040,SD,NA,nclimgrid
2041,SD,NA,nclimgrid
2042,SD,NA,nclimgrid
2043,SD,NA,nclimgrid
2044,SD,NA,nclimgrid
2045,SD,NA,nclimgrid
2046,SD,NA,nclimgrid
2047,SD,NA,nclimgrid
2048,SD,NA,nclimgrid
2049,SD,NA,nclimgrid
2050,SD,NA,nclimgrid
2051,SD,NA,nclimgrid
2052,SD,NA,nclimgrid
2053,SD,NA,nclimgrid
2054,SD,NA,nclimgrid
2055,SD,NA,nclimgrid
2056,SD,NA,nclimgrid
2057,SD,NA,nclimgrid
2058,SD,NA,nclimgrid
2059,SD,NA,nclimgrid
2060,SD,NA,nclimgrid
2061,SD,NA,nclimgrid
2062,SD,NA,nclimgrid
2063,SD,NA,nclimgrid
2064,SD,NA,nclimgrid
2065,SD,NA,nclimgrid
2066,SD,NA,nclimgrid
2067,SD,NA,nclimgrid
2068,SD,NA,nclimgrid
2069,SD,NA,nclimgrid
2070,SD,NA,nclimgrid
2071,SD,NA,nclimgrid
2072,SD,NA,nclimgrid
2073,SD,NA,nclimgrid
2074,SD,NA,nclimgrid
2075,SD,NA,nclimgrid
2076,SD,NA,nclimgrid
2077,SD,NA,nclimgrid
2078,SD,NA,nclimgrid
2079,SD,NA,nclimgrid
2080,SD,NA,nclimgrid
2081,SD,NA,nclimgrid
2082,SD,NA,nclimgrid
2083,SD,NA,nclimgrid
2084,SD,NA,nclimgrid
2085,SD,NA,nclimgrid
2086,SD,NA,nclimgrid
2087,SD,NA,nclimgrid
2088,SD,NA,nclimgrid
2089,SD,NA,nclimgrid
2090,SD,NA,nclimgrid
2091,SD,NA,nclimgrid
2092,SD,NA,nclimgrid
2093,SD,NA,nclimgrid
2094,SD,NA,nclimgrid
2095,SD,NA,nclimgrid
2096,SD,NA,nclimgrid
2097,SD,NA,nclimgrid
2098,SD,NA,nclimgrid
2099,SD,NA,nclimgrid
2100,SD,NA,nclimgrid
1950,CA,NA,nclimgrid
1951,CA,231.9500226139356,nclimgrid
1952,CA,229.3277960051383,nclimgrid
1953,CA,226.60260515277756,nclimgrid
1954,CA,235.70377104701782,nclimgrid
1955,CA,211.20693965807052,nclimgrid
1956,CA,222.3360495403365,nclimgrid
1957,CA,247.14524327061835,nclimgrid
1958,CA,240.53923060399578,nclimgrid
1959,CA,250.87881306982146,nclimgrid
1960,CA,241.58526301741992,nclimgrid
1961,CA,234.51390807800388,nclimgrid
1962,CA,234.64185678344725,nclimgrid
1963,CA,241.7035442508898,nclimgrid
1964,CA,217.64264230245806,nclimgrid
1965,CA,239.90495282767588,nclimgrid
1966,CA,236.6000453229716,nclimgrid
1967,CA,246.5426938796364,nclimgrid
1968,CA,244.87876845680762,nclimgrid
1969,CA,246.8677381073352,nclimgrid
1970,CA,249.1248857733465,nclimgrid
1971,CA,208.6903153894803,nclimgrid
1972,CA,228.42339255885963,nclimgrid
1973,CA,251.68846390834256,nclimgrid
1974,CA,250.13432548140602,nclimgrid
1975,CA,221.5388361465887,nclimgrid
1976,CA,236.95176567726526,nclimgrid
1977,CA,237.92586946243807,nclimgrid
1978,CA,246.30620517087408,nclimgrid
1979,CA,244.32940511242305,nclimgrid
1980,CA,253.6065343301437,nclimgrid
1981,CA,272.0106325333553,nclimgrid
1982,CA,247.45197789877943,nclimgrid
1983,CA,267.05441229178547,nclimgrid
1984,CA,254.55946727832844,nclimgrid
1985,CA,225.9138536207038,nclimgrid
1986,CA,260.5236425048946,nclimgrid
1987,CA,247.82682625764213,nclimgrid
1988,CA,249.96862687896356,nclimgrid
1989,CA,242.94721707051448,nclimgrid
1990,CA,234.5772536024715,nclimgrid
1991,CA,246.90183689758092,nclimgrid
1992,CA,268.3688643899253,nclimgrid
1993,CA,257.16854795427565,nclimgrid
1994,CA,238.78467718012428,nclimgrid
1995,CA,264.59013946137907,nclimgrid
1996,CA,251.19192717236513,nclimgrid
1997,CA,260.53903039011703,nclimgrid
1998,CA,250.51024243891456,nclimgrid
1999,CA,238.08327854274503,nclimgrid
2000,CA,251.75914779821335,nclimgrid
2001,CA,253.97931761402566,nclimgrid
2002,CA,243.31106018913908,nclimgrid
2003,CA,249.96851508631465,nclimgrid
2004,CA,254.24181018161613,nclimgrid
2005,CA,266.01454446252353,nclimgrid
2006,CA,238.87499542364185,nclimgrid
2007,CA,241.10337996827226,nclimgrid
2008,CA,244.67110806579325,nclimgrid
2009,CA,240.56190199215578,nclimgrid
2010,CA,245.30740970402877,nclimgrid
2011,CA,227.50179540670075,nclimgrid
2012,CA,246.81798063712787,nclimgrid
2013,CA,243.55090463106367,nclimgrid
2014,CA,282.26358784090286,nclimgrid
2015,CA,268.0932078243614,nclimgrid
2016,CA,268.4598568941888,nclimgrid
2017,CA,255.61341607144024,nclimgrid
2018,CA,252.01809795758084,nclimgrid
2019,CA,247.39182554687918,nclimgrid
2020,CA,NA,nclimgrid
2021,CA,NA,nclimgrid
2022,CA,NA,nclimgrid
2023,CA,NA,nclimgrid
2024,CA,NA,nclimgrid
2025,CA,NA,nclimgrid
2026,CA,NA,nclimgrid
2027,CA,NA,nclimgrid
2028,CA,NA,nclimgrid
2029,CA,NA,nclimgrid
2030,CA,NA,nclimgrid
2031,CA,NA,nclimgrid
2032,CA,NA,nclimgrid
2033,CA,NA,nclimgrid
2034,CA,NA,nclimgrid
2035,CA,NA,nclimgrid
2036,CA,NA,nclimgrid
2037,CA,NA,nclimgrid
2038,CA,NA,nclimgrid
2039,CA,NA,nclimgrid
2040,CA,NA,nclimgrid
2041,CA,NA,nclimgrid
2042,CA,NA,nclimgrid
2043,CA,NA,nclimgrid
2044,CA,NA,nclimgrid
2045,CA,NA,nclimgrid
2046,CA,NA,nclimgrid
2047,CA,NA,nclimgrid
2048,CA,NA,nclimgrid
2049,CA,NA,nclimgrid
2050,CA,NA,nclimgrid
2051,CA,NA,nclimgrid
2052,CA,NA,nclimgrid
2053,CA,NA,nclimgrid
2054,CA,NA,nclimgrid
2055,CA,NA,nclimgrid
2056,CA,NA,nclimgrid
2057,CA,NA,nclimgrid
2058,CA,NA,nclimgrid
2059,CA,NA,nclimgrid
2060,CA,NA,nclimgrid
2061,CA,NA,nclimgrid
2062,CA,NA,nclimgrid
2063,CA,NA,nclimgrid
2064,CA,NA,nclimgrid
2065,CA,NA,nclimgrid
2066,CA,NA,nclimgrid
2067,CA,NA,nclimgrid
2068,CA,NA,nclimgrid
2069,CA,NA,nclimgrid
2070,CA,NA,nclimgrid
2071,CA,NA,nclimgrid
2072,CA,NA,nclimgrid
2073,CA,NA,nclimgrid
2074,CA,NA,nclimgrid
2075,CA,NA,nclimgrid
2076,CA,NA,nclimgrid
2077,CA,NA,nclimgrid
2078,CA,NA,nclimgrid
2079,CA,NA,nclimgrid
2080,CA,NA,nclimgrid
2081,CA,NA,nclimgrid
2082,CA,NA,nclimgrid
2083,CA,NA,nclimgrid
2084,CA,NA,nclimgrid
2085,CA,NA,nclimgrid
2086,CA,NA,nclimgrid
2087,CA,NA,nclimgrid
2088,CA,NA,nclimgrid
2089,CA,NA,nclimgrid
2090,CA,NA,nclimgrid
2091,CA,NA,nclimgrid
2092,CA,NA,nclimgrid
2093,CA,NA,nclimgrid
2094,CA,NA,nclimgrid
2095,CA,NA,nclimgrid
2096,CA,NA,nclimgrid
2097,CA,NA,nclimgrid
2098,CA,NA,nclimgrid
2099,CA,NA,nclimgrid
2100,CA,NA,nclimgrid
1950,KY,NA,nclimgrid
1951,KY,185.59976091597585,nclimgrid
1952,KY,180.92089702126572,nclimgrid
1953,KY,184.98574891165697,nclimgrid
1954,KY,194.79231206036508,nclimgrid
1955,KY,199.60066676512736,nclimgrid
1956,KY,200.88428604338822,nclimgrid
1957,KY,179.39262244073916,nclimgrid
1958,KY,193.48993489218466,nclimgrid
1959,KY,188.739293205442,nclimgrid
1960,KY,187.45075076374545,nclimgrid
1961,KY,166.1486743083812,nclimgrid
1962,KY,186.40902779582683,nclimgrid
1963,KY,186.04108479823762,nclimgrid
1964,KY,180.15780586689314,nclimgrid
1965,KY,199.74954357738372,nclimgrid
1966,KY,174.0448061896634,nclimgrid
1967,KY,191.20267941098672,nclimgrid
1968,KY,185.7453514618496,nclimgrid
1969,KY,191.0094299943422,nclimgrid
1970,KY,197.3924629801703,nclimgrid
1971,KY,191.5296340408039,nclimgrid
1972,KY,185.78155909051694,nclimgrid
1973,KY,187.7801024153147,nclimgrid
1974,KY,170.25277815968226,nclimgrid
1975,KY,203.9752786067495,nclimgrid
1976,KY,175.33393098234706,nclimgrid
1977,KY,192.9170534636791,nclimgrid
1978,KY,205.04733691682287,nclimgrid
1979,KY,189.43580066715427,nclimgrid
1980,KY,178.73444921241793,nclimgrid
1981,KY,204.02557618790448,nclimgrid
1982,KY,184.50483033817363,nclimgrid
1983,KY,195.33312551847604,nclimgrid
1984,KY,216.2243846090146,nclimgrid
1985,KY,213.20105501497903,nclimgrid
1986,KY,198.1161693739463,nclimgrid
1987,KY,185.4774351041804,nclimgrid
1988,KY,178.2056197375629,nclimgrid
1989,KY,195.55069087856182,nclimgrid
1990,KY,190.5507311026625,nclimgrid
1991,KY,194.55872650476732,nclimgrid
1992,KY,195.7442660275049,nclimgrid
1993,KY,192.732050979219,nclimgrid
1994,KY,203.2015328774133,nclimgrid
1995,KY,207.65160152665766,nclimgrid
1996,KY,192.648013677731,nclimgrid
1997,KY,185.33376971734816,nclimgrid
1998,KY,204.38679234946682,nclimgrid
1999,KY,208.79995345035758,nclimgrid
2000,KY,181.6903165268574,nclimgrid
2001,KY,186.22610906947983,nclimgrid
2002,KY,205.1681914435492,nclimgrid
2003,KY,214.1474824056871,nclimgrid
2004,KY,221.74569998149298,nclimgrid
2005,KY,200.2185830745554,nclimgrid
2006,KY,192.39042357387743,nclimgrid
2007,KY,203.44096587643688,nclimgrid
2008,KY,190.75016215645772,nclimgrid
2009,KY,209.19470421355615,nclimgrid
2010,KY,220.4956351627931,nclimgrid
2011,KY,216.22146759068326,nclimgrid
2012,KY,200.36088051246495,nclimgrid
2013,KY,201.6382741181493,nclimgrid
2014,KY,199.22903993064747,nclimgrid
2015,KY,196.30974839046243,nclimgrid
2016,KY,221.81622765356067,nclimgrid
2017,KY,214.46638503057943,nclimgrid
2018,KY,190.0482908524241,nclimgrid
2019,KY,211.69005940152326,nclimgrid
2020,KY,NA,nclimgrid
2021,KY,NA,nclimgrid
2022,KY,NA,nclimgrid
2023,KY,NA,nclimgrid
2024,KY,NA,nclimgrid
2025,KY,NA,nclimgrid
2026,KY,NA,nclimgrid
2027,KY,NA,nclimgrid
2028,KY,NA,nclimgrid
2029,KY,NA,nclimgrid
2030,KY,NA,nclimgrid
2031,KY,NA,nclimgrid
2032,KY,NA,nclimgrid
2033,KY,NA,nclimgrid
2034,KY,NA,nclimgrid
2035,KY,NA,nclimgrid
2036,KY,NA,nclimgrid
2037,KY,NA,nclimgrid
2038,KY,NA,nclimgrid
2039,KY,NA,nclimgrid
2040,KY,NA,nclimgrid
2041,KY,NA,nclimgrid
2042,KY,NA,nclimgrid
2043,KY,NA,nclimgrid
2044,KY,NA,nclimgrid
2045,KY,NA,nclimgrid
2046,KY,NA,nclimgrid
2047,KY,NA,nclimgrid
2048,KY,NA,nclimgrid
2049,KY,NA,nclimgrid
2050,KY,NA,nclimgrid
2051,KY,NA,nclimgrid
2052,KY,NA,nclimgrid
2053,KY,NA,nclimgrid
2054,KY,NA,nclimgrid
2055,KY,NA,nclimgrid
2056,KY,NA,nclimgrid
2057,KY,NA,nclimgrid
2058,KY,NA,nclimgrid
2059,KY,NA,nclimgrid
2060,KY,NA,nclimgrid
2061,KY,NA,nclimgrid
2062,KY,NA,nclimgrid
2063,KY,NA,nclimgrid
2064,KY,NA,nclimgrid
2065,KY,NA,nclimgrid
2066,KY,NA,nclimgrid
2067,KY,NA,nclimgrid
2068,KY,NA,nclimgrid
2069,KY,NA,nclimgrid
2070,KY,NA,nclimgrid
2071,KY,NA,nclimgrid
2072,KY,NA,nclimgrid
2073,KY,NA,nclimgrid
2074,KY,NA,nclimgrid
2075,KY,NA,nclimgrid
2076,KY,NA,nclimgrid
2077,KY,NA,nclimgrid
2078,KY,NA,nclimgrid
2079,KY,NA,nclimgrid
2080,KY,NA,nclimgrid
2081,KY,NA,nclimgrid
2082,KY,NA,nclimgrid
2083,KY,NA,nclimgrid
2084,KY,NA,nclimgrid
2085,KY,NA,nclimgrid
2086,KY,NA,nclimgrid
2087,KY,NA,nclimgrid
2088,KY,NA,nclimgrid
2089,KY,NA,nclimgrid
2090,KY,NA,nclimgrid
2091,KY,NA,nclimgrid
2092,KY,NA,nclimgrid
2093,KY,NA,nclimgrid
2094,KY,NA,nclimgrid
2095,KY,NA,nclimgrid
2096,KY,NA,nclimgrid
2097,KY,NA,nclimgrid
2098,KY,NA,nclimgrid
2099,KY,NA,nclimgrid
2100,KY,NA,nclimgrid
1950,AL,NA,nclimgrid
1951,AL,223.87954445408104,nclimgrid
1952,AL,213.8457894415498,nclimgrid
1953,AL,231.54738131052045,nclimgrid
1954,AL,223.75401460767148,nclimgrid
1955,AL,211.32055747398167,nclimgrid
1956,AL,226.07965702300731,nclimgrid
1957,AL,219.89046967903545,nclimgrid
1958,AL,237.15857896317826,nclimgrid
1959,AL,226.45796780759042,nclimgrid
1960,AL,221.04221112398815,nclimgrid
1961,AL,231.44917786408786,nclimgrid
1962,AL,210.90159484542514,nclimgrid
1963,AL,230.36572403780238,nclimgrid
1964,AL,220.65052259204018,nclimgrid
1965,AL,222.69281656161135,nclimgrid
1966,AL,216.09201926629862,nclimgrid
1967,AL,230.84727436381328,nclimgrid
1968,AL,213.34814015562242,nclimgrid
1969,AL,221.8038513561155,nclimgrid
1970,AL,228.8310688075857,nclimgrid
1971,AL,222.4419701130542,nclimgrid
1972,AL,242.92519821063345,nclimgrid
1973,AL,218.8785777632117,nclimgrid
