year,state,GrowingSea,scenario
1987,ND,134.09296404275528,ssp126
1988,ND,132.93564308424124,ssp126
1989,ND,133.44325460169043,ssp126
1990,ND,131.9160824885519,ssp126
1991,ND,133.89269276658055,ssp126
1992,ND,129.62641748697249,ssp126
1993,ND,133.8401563071813,ssp126
1994,ND,134.14198894553357,ssp126
1995,ND,136.91880851985454,ssp126
1996,ND,141.63927232505088,ssp126
1997,ND,139.5008758857962,ssp126
1998,ND,137.55876058156053,ssp126
1999,ND,137.38454741531132,ssp126
2000,ND,137.03662636872744,ssp126
2001,ND,140.57446712692894,ssp126
2002,ND,137.21977984949356,ssp126
2003,ND,138.7371755240629,ssp126
2004,ND,136.28161028232293,ssp126
2005,ND,140.7670731705314,ssp126
2006,ND,140.16507214600705,ssp126
2007,ND,141.01014394652896,ssp126
2008,ND,138.9327038028676,ssp126
2009,ND,138.9648842892182,ssp126
2010,ND,140.2410966717105,ssp126
2011,ND,137.76670962087564,ssp126
2012,ND,139.53816463399698,ssp126
2013,ND,143.86779796778444,ssp126
2014,ND,141.93115028256784,ssp126
2015,ND,139.3477555901794,ssp126
2016,ND,138.12881860550726,ssp126
2017,ND,147.34915741544492,ssp126
2018,ND,140.9666899466534,ssp126
2019,ND,143.73324482924838,ssp126
2020,ND,136.93723606550594,ssp126
2021,ND,146.73681005707968,ssp126
2022,ND,143.58057442426943,ssp126
2023,ND,145.8421671494478,ssp126
2024,ND,146.424158620994,ssp126
2025,ND,146.44353938970804,ssp126
2026,ND,143.04273797469494,ssp126
2027,ND,150.70173211535572,ssp126
2028,ND,142.90307315836102,ssp126
2029,ND,148.17647128481238,ssp126
2030,ND,147.98152805620748,ssp126
2031,ND,148.9681520768747,ssp126
2032,ND,151.85364159395584,ssp126
2033,ND,146.95091689547795,ssp126
2034,ND,152.56307796178677,ssp126
2035,ND,148.2213297904696,ssp126
2036,ND,149.4950464386195,ssp126
2037,ND,150.88247584296874,ssp126
2038,ND,149.07164478793658,ssp126
2039,ND,151.20937296546813,ssp126
2040,ND,153.73064704875674,ssp126
2041,ND,145.93621164105568,ssp126
2042,ND,146.28524736615563,ssp126
2043,ND,150.29851742601323,ssp126
2044,ND,151.07124515257675,ssp126
2045,ND,145.89247765375356,ssp126
2046,ND,150.9042164738905,ssp126
2047,ND,150.55254876983665,ssp126
2048,ND,146.14711801843416,ssp126
2049,ND,152.33485516648093,ssp126
2050,ND,146.24035378262283,ssp126
2051,ND,154.2591447685275,ssp126
2052,ND,150.4776865377547,ssp126
2053,ND,150.9583291696262,ssp126
2054,ND,153.5390832658923,ssp126
2055,ND,151.70862250553174,ssp126
2056,ND,151.299450327085,ssp126
2057,ND,153.25582651939243,ssp126
2058,ND,148.55351814717372,ssp126
2059,ND,150.9449964791169,ssp126
2060,ND,148.65572021494305,ssp126
2061,ND,154.25297925431533,ssp126
2062,ND,150.70102208270754,ssp126
2063,ND,156.51339864964388,ssp126
2064,ND,150.68257353343424,ssp126
2065,ND,148.55955600320056,ssp126
2066,ND,152.64135991921597,ssp126
2067,ND,151.7199279379607,ssp126
2068,ND,153.09710489947238,ssp126
2069,ND,151.11772542678574,ssp126
2070,ND,153.31708130555984,ssp126
2071,ND,151.9660243624038,ssp126
2072,ND,157.67544369863245,ssp126
2073,ND,146.93152632227566,ssp126
2074,ND,156.9168429682881,ssp126
2075,ND,147.61834031370907,ssp126
2076,ND,149.46514540651876,ssp126
2077,ND,146.90438039955154,ssp126
2078,ND,152.65697720489908,ssp126
2079,ND,154.10597797568218,ssp126
2080,ND,143.83070177671345,ssp126
2081,ND,146.04705698489082,ssp126
2082,ND,154.8081872371913,ssp126
2083,ND,151.2209546291208,ssp126
2084,ND,153.9538257713716,ssp126
2085,ND,146.05525743609581,ssp126
2086,ND,151.83951188839035,ssp126
2087,ND,147.99351608846942,ssp126
2088,ND,151.63711879031598,ssp126
2089,ND,153.33463756948174,ssp126
2090,ND,153.1184634146548,ssp126
2091,ND,153.0386742791418,ssp126
2092,ND,149.05280450828187,ssp126
2093,ND,149.92931999344614,ssp126
2094,ND,149.64333014746882,ssp126
2095,ND,143.30109839015694,ssp126
2096,ND,150.88764596044467,ssp126
2097,ND,142.91868859691124,ssp126
2098,ND,149.16962598348366,ssp126
2099,ND,149.0658607404113,ssp126
2100,ND,153.23852186697613,ssp126
1950,IA,162.68778510143693,ssp126
1951,IA,165.69165196455504,ssp126
1952,IA,160.83666097356868,ssp126
1953,IA,161.9552813830292,ssp126
1954,IA,165.85699423101786,ssp126
1955,IA,168.83001878658467,ssp126
1956,IA,162.4254684717331,ssp126
1957,IA,167.10864626620736,ssp126
1958,IA,167.53613150415296,ssp126
1959,IA,161.46961958671451,ssp126
1960,IA,167.62301227182408,ssp126
1961,IA,166.7955344758079,ssp126
1962,IA,164.30023670905655,ssp126
1963,IA,160.0695854460562,ssp126
1964,IA,164.44061211089243,ssp126
1965,IA,163.38536058135136,ssp126
1966,IA,166.72390444147814,ssp126
1967,IA,159.18192255359676,ssp126
1968,IA,165.27124191528992,ssp126
1969,IA,159.4182507086825,ssp126
1970,IA,164.72866133928213,ssp126
1971,IA,160.3505909006994,ssp126
1972,IA,167.8810128177288,ssp126
1973,IA,166.60094175963886,ssp126
1974,IA,165.23780520881547,ssp126
1975,IA,164.6347880599573,ssp126
1976,IA,160.62800250296885,ssp126
1977,IA,161.82315587322475,ssp126
1978,IA,170.19360602600418,ssp126
1979,IA,169.77490461260908,ssp126
1980,IA,171.0053644988232,ssp126
1981,IA,169.5451117883118,ssp126
1982,IA,170.01964259082584,ssp126
1983,IA,155.91374765113335,ssp126
1984,IA,168.0108577708522,ssp126
1985,IA,168.02496199985328,ssp126
1986,IA,163.30168482944893,ssp126
1987,IA,166.58757257814906,ssp126
1988,IA,171.83117271044148,ssp126
1989,IA,168.48012420083955,ssp126
1990,IA,165.02339900287456,ssp126
1991,IA,170.06394666185915,ssp126
1992,IA,162.12637616439068,ssp126
1993,IA,164.25797395667172,ssp126
1994,IA,172.97220467348603,ssp126
1995,IA,172.6729311557826,ssp126
1996,IA,179.31197690547012,ssp126
1997,IA,168.9624974750111,ssp126
1998,IA,171.16831860951822,ssp126
1999,IA,169.3105378967432,ssp126
2000,IA,166.99627755386123,ssp126
2001,IA,168.6312904302656,ssp126
2002,IA,174.9478598005674,ssp126
2003,IA,171.38983570964973,ssp126
2004,IA,175.85700965794967,ssp126
2005,IA,174.72261580817332,ssp126
2006,IA,173.68758838398784,ssp126
2007,IA,175.91352502997734,ssp126
2008,IA,172.65709712614034,ssp126
2009,IA,175.65634229830482,ssp126
2010,IA,175.0127447450365,ssp126
2011,IA,175.89197331890165,ssp126
2012,IA,176.84717515279948,ssp126
2013,IA,174.75340286262806,ssp126
2014,IA,171.67006898295926,ssp126
2015,IA,174.24903566501257,ssp126
2016,IA,174.7561681433692,ssp126
2017,IA,174.52957340767122,ssp126
2018,IA,171.01638504853028,ssp126
2019,IA,175.61598906165648,ssp126
2020,IA,172.88529383905546,ssp126
2021,IA,176.857353309851,ssp126
2022,IA,180.46104606449515,ssp126
2023,IA,178.36670040400435,ssp126
2024,IA,178.48263578433406,ssp126
2025,IA,182.45792031204564,ssp126
2026,IA,178.9818020217434,ssp126
2027,IA,176.98561261555915,ssp126
2028,IA,174.5973780309759,ssp126
2029,IA,183.6502962012853,ssp126
2030,IA,178.18591863099263,ssp126
2031,IA,183.97892283215472,ssp126
2032,IA,178.2093086779963,ssp126
2033,IA,177.63318046551726,ssp126
2034,IA,181.25935592521625,ssp126
2035,IA,183.41955856974752,ssp126
2036,IA,179.3169521884834,ssp126
2037,IA,189.59424878947976,ssp126
2038,IA,186.78598654846942,ssp126
2039,IA,177.01808383021768,ssp126
2040,IA,186.3202744427681,ssp126
2041,IA,184.60411885579762,ssp126
2042,IA,182.47668668991795,ssp126
2043,IA,185.0533812809665,ssp126
2044,IA,183.20443549718104,ssp126
2045,IA,183.22980795871058,ssp126
2046,IA,183.52768218543602,ssp126
2047,IA,182.54234031026616,ssp126
2048,IA,183.70917297821066,ssp126
2049,IA,180.23409583751294,ssp126
2050,IA,180.61737745147832,ssp126
2051,IA,187.52931011439614,ssp126
2052,IA,186.11844713011166,ssp126
2053,IA,182.2947579872859,ssp126
2054,IA,178.89818141282655,ssp126
2055,IA,181.50074757033454,ssp126
2056,IA,184.8726712973608,ssp126
2057,IA,183.72957292109643,ssp126
2058,IA,177.99712887371092,ssp126
2059,IA,182.74382007846634,ssp126
2060,IA,187.23086040711806,ssp126
2061,IA,186.52515647602476,ssp126
2062,IA,191.96211749696496,ssp126
2063,IA,185.83480442854122,ssp126
2064,IA,182.9813345054685,ssp126
2065,IA,181.28694293427816,ssp126
2066,IA,180.01735863596178,ssp126
2067,IA,183.0644361174833,ssp126
2068,IA,192.82147531156164,ssp126
2069,IA,181.1526508878452,ssp126
2070,IA,187.9882178727941,ssp126
2071,IA,186.78377226426704,ssp126
2072,IA,184.6471836907819,ssp126
2073,IA,180.65967832487274,ssp126
2074,IA,187.02442595407115,ssp126
2075,IA,181.39774540727643,ssp126
2076,IA,181.86142780292298,ssp126
2077,IA,184.3837301106109,ssp126
2078,IA,187.91213305447337,ssp126
2079,IA,177.61610840577322,ssp126
2080,IA,179.37280695432298,ssp126
2081,IA,182.18801737939265,ssp126
2082,IA,184.66734124273967,ssp126
2083,IA,183.36709572155735,ssp126
2084,IA,184.57680260949758,ssp126
2085,IA,182.16091358680396,ssp126
2086,IA,183.74291576357257,ssp126
2087,IA,184.89331153850404,ssp126
2088,IA,182.3452961967885,ssp126
2089,IA,185.9478503345006,ssp126
2090,IA,184.2533413128708,ssp126
2091,IA,184.91258016983107,ssp126
2092,IA,184.3743906471427,ssp126
2093,IA,186.76106226531218,ssp126
2094,IA,186.78261296361154,ssp126
2095,IA,180.61587235060477,ssp126
2096,IA,179.69473960573947,ssp126
2097,IA,182.2781189733963,ssp126
2098,IA,176.16734848809566,ssp126
2099,IA,178.59879787112158,ssp126
2100,IA,187.9306170633103,ssp126
1950,SC,230.41011730617396,ssp126
1951,SC,228.00216173599043,ssp126
1952,SC,222.8563773649766,ssp126
1953,SC,224.3508898035865,ssp126
1954,SC,225.71466377984942,ssp126
1955,SC,229.22122486389154,ssp126
1956,SC,240.17588420622099,ssp126
1957,SC,224.75594229195642,ssp126
1958,SC,229.06086406474174,ssp126
1959,SC,229.8677002189873,ssp126
1960,SC,228.04252822227318,ssp126
1961,SC,225.53876607999302,ssp126
1962,SC,224.63786250687386,ssp126
1963,SC,228.19645147008177,ssp126
1964,SC,217.87789457295062,ssp126
1965,SC,224.97214141103854,ssp126
1966,SC,238.51775838323928,ssp126
1967,SC,231.76541294286508,ssp126
1968,SC,226.04881434208244,ssp126
1969,SC,226.36051956682303,ssp126
1970,SC,232.04103022328007,ssp126
1971,SC,231.70264572659968,ssp126
1972,SC,228.6155718752051,ssp126
1973,SC,230.08444128607474,ssp126
1974,SC,229.3544752831193,ssp126
1975,SC,229.81520890304807,ssp126
1976,SC,234.8579509470085,ssp126
1977,SC,232.79879749958522,ssp126
1978,SC,233.08687247678705,ssp126
1979,SC,229.55948654450185,ssp126
1980,SC,236.0707878643309,ssp126
1981,SC,226.35598651135302,ssp126
1982,SC,229.53698605982964,ssp126
1983,SC,222.7292961865465,ssp126
1984,SC,231.1568697510031,ssp126
1985,SC,231.07769718852592,ssp126
1986,SC,229.3981401543712,ssp126
1987,SC,233.2673290630372,ssp126
1988,SC,236.20730196131427,ssp126
1989,SC,231.31886606212987,ssp126
1990,SC,228.64914612856487,ssp126
1991,SC,234.6465295891079,ssp126
1992,SC,225.84517554872446,ssp126
1993,SC,232.68929246515458,ssp126
1994,SC,232.45184150289992,ssp126
1995,SC,230.1273827359071,ssp126
1996,SC,237.67389758577986,ssp126
1997,SC,230.20618399334026,ssp126
1998,SC,239.71736605741023,ssp126
1999,SC,229.86236900690784,ssp126
2000,SC,238.31007531687712,ssp126
2001,SC,241.83174152924747,ssp126
2002,SC,243.69716688398518,ssp126
2003,SC,238.2483479265316,ssp126
2004,SC,236.06055918431224,ssp126
2005,SC,245.8367492988509,ssp126
2006,SC,235.72154897844385,ssp126
2007,SC,240.18542595542473,ssp126
2008,SC,237.81184672418092,ssp126
2009,SC,244.77017570228207,ssp126
2010,SC,238.8847760416385,ssp126
2011,SC,238.61883075879686,ssp126
2012,SC,237.71361981803466,ssp126
2013,SC,245.27704236124018,ssp126
2014,SC,239.44762346523476,ssp126
2015,SC,243.23709732539643,ssp126
2016,SC,234.59326818348953,ssp126
2017,SC,241.46111860886472,ssp126
2018,SC,246.566618264725,ssp126
2019,SC,245.11629648943884,ssp126
2020,SC,245.6861448085503,ssp126
2021,SC,243.4078128133532,ssp126
2022,SC,251.3699239365495,ssp126
2023,SC,249.03260583916153,ssp126
2024,SC,239.8610021627078,ssp126
2025,SC,246.97414857159177,ssp126
2026,SC,247.12994611212494,ssp126
2027,SC,243.2531693623278,ssp126
2028,SC,253.31686310537452,ssp126
2029,SC,241.56978604255536,ssp126
2030,SC,253.08682991725053,ssp126
2031,SC,253.3718961559301,ssp126
2032,SC,244.46825316965095,ssp126
2033,SC,244.55590417819909,ssp126
2034,SC,250.80360946746066,ssp126
2035,SC,249.2942890799149,ssp126
2036,SC,247.4465883411574,ssp126
2037,SC,251.47337062604413,ssp126
2038,SC,255.12215412356187,ssp126
2039,SC,254.91211192228434,ssp126
2040,SC,254.50166242018668,ssp126
2041,SC,250.58231001073977,ssp126
2042,SC,255.23699941123317,ssp126
2043,SC,245.38060661186748,ssp126
2044,SC,255.11048729461115,ssp126
2045,SC,249.1830359858432,ssp126
2046,SC,254.10021464791444,ssp126
2047,SC,250.1060883872836,ssp126
2048,SC,250.9163926040246,ssp126
2049,SC,249.64058228733296,ssp126
2050,SC,248.757025837255,ssp126
2051,SC,254.82313521101614,ssp126
2052,SC,254.83672862400107,ssp126
2053,SC,251.5024176135288,ssp126
2054,SC,245.6781305921598,ssp126
2055,SC,254.55419874356835,ssp126
2056,SC,247.78638798835672,ssp126
2057,SC,256.07209613934225,ssp126
2058,SC,253.60998782948278,ssp126
2059,SC,253.74305991012596,ssp126
2060,SC,248.35631652409208,ssp126
2061,SC,248.27538014130113,ssp126
2062,SC,254.81914612010326,ssp126
2063,SC,254.63814485348004,ssp126
2064,SC,257.2834341021491,ssp126
2065,SC,256.09563183571555,ssp126
2066,SC,251.23869384914116,ssp126
2067,SC,253.34918312334574,ssp126
2068,SC,254.48008382577032,ssp126
2069,SC,254.73889517327032,ssp126
2070,SC,256.50285563405686,ssp126
2071,SC,251.48785272188653,ssp126
2072,SC,257.5656855185098,ssp126
2073,SC,254.21554981459812,ssp126
2074,SC,255.7396810233686,ssp126
2075,SC,255.32605838332202,ssp126
2076,SC,258.2361409702889,ssp126
2077,SC,254.7269568586815,ssp126
2078,SC,258.6710849908514,ssp126
2079,SC,259.1312552194636,ssp126
2080,SC,253.43413235272507,ssp126
2081,SC,254.34937106971503,ssp126
2082,SC,258.6498310150458,ssp126
2083,SC,253.54025375117064,ssp126
2084,SC,252.71699994564875,ssp126
2085,SC,252.5135191955282,ssp126
2086,SC,249.4922841484433,ssp126
2087,SC,253.77905776159585,ssp126
2088,SC,255.429450500554,ssp126
2089,SC,251.3089959704674,ssp126
2090,SC,254.4147657796632,ssp126
2091,SC,252.4579483055511,ssp126
2092,SC,251.39480843812203,ssp126
2093,SC,254.94965833157133,ssp126
2094,SC,252.25286545952702,ssp126
2095,SC,257.41658089693823,ssp126
2096,SC,251.16046554489884,ssp126
2097,SC,256.8139626868838,ssp126
2098,SC,246.23642213517425,ssp126
2099,SC,252.64690171892283,ssp126
2100,SC,249.12086326180892,ssp126
1950,AZ,231.00524542003444,ssp126
1951,AZ,228.31021188914855,ssp126
1952,AZ,223.8262135652854,ssp126
1953,AZ,228.08863491952965,ssp126
1954,AZ,225.49281937742407,ssp126
1955,AZ,224.37070354331084,ssp126
1956,AZ,229.32150075578684,ssp126
1957,AZ,227.7683795117433,ssp126
1958,AZ,229.14684582081014,ssp126
1959,AZ,229.36509739893853,ssp126
1960,AZ,224.83999302530177,ssp126
1961,AZ,226.39700835735562,ssp126
1962,AZ,222.68013313483527,ssp126
1963,AZ,229.25192697597612,ssp126
1964,AZ,222.6096802914515,ssp126
1965,AZ,218.77119766296573,ssp126
1966,AZ,223.81034472195418,ssp126
1967,AZ,220.32215495085686,ssp126
1968,AZ,225.33729645294557,ssp126
1969,AZ,223.88012813266113,ssp126
1970,AZ,224.61337556955712,ssp126
1971,AZ,226.45308382930463,ssp126
1972,AZ,224.53147481424088,ssp126
1973,AZ,226.6428848353928,ssp126
1974,AZ,223.86408869398917,ssp126
1975,AZ,224.59612339574446,ssp126
1976,AZ,224.4640351399213,ssp126
1977,AZ,227.53561560059396,ssp126
1978,AZ,222.78203435066118,ssp126
1979,AZ,223.75719678714353,ssp126
1980,AZ,226.99324277358826,ssp126
1981,AZ,226.29275625857312,ssp126
1982,AZ,229.87993683354182,ssp126
1983,AZ,223.99628425076213,ssp126
1984,AZ,226.11587621188994,ssp126
1985,AZ,227.52649141197261,ssp126
1986,AZ,224.71392632783824,ssp126
1987,AZ,226.91098275287257,ssp126
1988,AZ,226.23779447357757,ssp126
1989,AZ,228.49076003814497,ssp126
1990,AZ,231.05679727266138,ssp126
1991,AZ,235.20696682810402,ssp126
1992,AZ,230.17755628282464,ssp126
1993,AZ,225.83729766678996,ssp126
1994,AZ,230.67428859597717,ssp126
1995,AZ,229.6611977864838,ssp126
1996,AZ,234.56233566008748,ssp126
1997,AZ,231.60829871625026,ssp126
1998,AZ,230.96362716254708,ssp126
1999,AZ,231.4371928138547,ssp126
2000,AZ,234.08609564835973,ssp126
2001,AZ,232.74336740915032,ssp126
2002,AZ,234.66439449347675,ssp126
2003,AZ,234.34874138284383,ssp126
2004,AZ,238.20112939280284,ssp126
2005,AZ,236.7915317251022,ssp126
2006,AZ,234.109631214486,ssp126
2007,AZ,240.05578618353056,ssp126
2008,AZ,239.70402068431233,ssp126
2009,AZ,233.50810394347295,ssp126
2010,AZ,233.8276451540629,ssp126
2011,AZ,239.71065449500503,ssp126
2012,AZ,241.81525407742066,ssp126
2013,AZ,241.0077614829727,ssp126
2014,AZ,243.42642520649034,ssp126
2015,AZ,244.99560155651312,ssp126
2016,AZ,242.37379253624314,ssp126
2017,AZ,237.94077892688077,ssp126
2018,AZ,236.30568700501632,ssp126
2019,AZ,240.46955624977596,ssp126
2020,AZ,240.27452389651017,ssp126
2021,AZ,239.4048248262228,ssp126
2022,AZ,242.63686045496985,ssp126
2023,AZ,245.1818850228288,ssp126
2024,AZ,243.6661287441432,ssp126
2025,AZ,247.74344393285742,ssp126
2026,AZ,244.323940682331,ssp126
2027,AZ,244.24300361109192,ssp126
2028,AZ,247.8990471360614,ssp126
2029,AZ,248.60357356809573,ssp126
2030,AZ,252.23958144870062,ssp126
2031,AZ,248.12679414952277,ssp126
2032,AZ,244.69669345659864,ssp126
2033,AZ,246.785565186921,ssp126
2034,AZ,245.85759526331978,ssp126
2035,AZ,247.0463014863856,ssp126
2036,AZ,244.8150936917461,ssp126
2037,AZ,247.00054198969556,ssp126
2038,AZ,249.8921391143536,ssp126
2039,AZ,248.01815286685505,ssp126
2040,AZ,244.95419612580693,ssp126
2041,AZ,251.8899522343464,ssp126
2042,AZ,254.4244300040018,ssp126
2043,AZ,246.54475892419578,ssp126
2044,AZ,250.40034991678448,ssp126
2045,AZ,249.33137493653794,ssp126
2046,AZ,253.09995921267983,ssp126
2047,AZ,252.16536942456935,ssp126
2048,AZ,251.21141743246724,ssp126
2049,AZ,251.46426519754314,ssp126
2050,AZ,251.3648616998852,ssp126
2051,AZ,251.66583826334778,ssp126
2052,AZ,252.2928820530684,ssp126
2053,AZ,247.85340757991256,ssp126
2054,AZ,255.285868763482,ssp126
2055,AZ,251.65653100105587,ssp126
2056,AZ,248.48786572765314,ssp126
2057,AZ,250.6865757485497,ssp126
2058,AZ,248.72174899135646,ssp126
2059,AZ,253.47345902263882,ssp126
2060,AZ,250.48375303205086,ssp126
2061,AZ,252.9743569352708,ssp126
2062,AZ,254.1082405355094,ssp126
2063,AZ,249.63038655309938,ssp126
2064,AZ,250.8759011115504,ssp126
2065,AZ,249.99707766727346,ssp126
2066,AZ,252.83864525992738,ssp126
2067,AZ,252.7749139302112,ssp126
2068,AZ,251.25522435281678,ssp126
2069,AZ,251.9089939007727,ssp126
2070,AZ,249.61568415599598,ssp126
2071,AZ,249.0638068024815,ssp126
2072,AZ,246.08253428691378,ssp126
2073,AZ,254.76882711960505,ssp126
2074,AZ,254.50851993219464,ssp126
2075,AZ,245.03681956851523,ssp126
2076,AZ,248.47160996693785,ssp126
2077,AZ,250.5568904504431,ssp126
2078,AZ,247.84890141920735,ssp126
2079,AZ,249.3398638464614,ssp126
2080,AZ,249.91805901813427,ssp126
2081,AZ,249.52071651087778,ssp126
2082,AZ,254.34500879087327,ssp126
2083,AZ,253.3809316969503,ssp126
2084,AZ,252.13578458444033,ssp126
2085,AZ,252.51763206248063,ssp126
2086,AZ,249.29746325643183,ssp126
2087,AZ,246.6564539964413,ssp126
2088,AZ,254.11460958141197,ssp126
2089,AZ,247.497051262391,ssp126
2090,AZ,252.12648737576112,ssp126
2091,AZ,247.57298061605667,ssp126
2092,AZ,253.09750802251605,ssp126
2093,AZ,250.8223924898679,ssp126
2094,AZ,251.24054813171216,ssp126
2095,AZ,250.62169443900987,ssp126
2096,AZ,249.79992571070636,ssp126
2097,AZ,244.47927977379464,ssp126
2098,AZ,247.6204914334143,ssp126
2099,AZ,249.2449908498187,ssp126
2100,AZ,246.23090896164678,ssp126
1950,DE,202.08476459745614,ssp126
1951,DE,200.27792121476764,ssp126
1952,DE,202.2845196299999,ssp126
1953,DE,206.81648228295342,ssp126
1954,DE,201.35896590144682,ssp126
1955,DE,204.57309181649245,ssp126
1956,DE,203.06384759364252,ssp126
1957,DE,199.68620281782876,ssp126
1958,DE,204.08526825594794,ssp126
1959,DE,197.69262475718392,ssp126
1960,DE,204.9037248952984,ssp126
1961,DE,200.2877624702772,ssp126
1962,DE,198.93584597198227,ssp126
1963,DE,197.54774622063437,ssp126
1964,DE,196.8664385938704,ssp126
1965,DE,198.77150792866854,ssp126
1966,DE,209.89000616003975,ssp126
1967,DE,206.21301032675038,ssp126
1968,DE,202.28609408912772,ssp126
1969,DE,196.37437798797697,ssp126
1970,DE,197.90043634801566,ssp126
1971,DE,201.24887451045802,ssp126
1972,DE,201.24187971218615,ssp126
1973,DE,205.31216851348492,ssp126
1974,DE,203.7975070878484,ssp126
1975,DE,208.01712955303822,ssp126
1976,DE,197.67620844078752,ssp126
1977,DE,199.78277768696944,ssp126
1978,DE,203.95671721961133,ssp126
1979,DE,205.14059582017495,ssp126
1980,DE,207.69142804005355,ssp126
1981,DE,200.8798414150879,ssp126
1982,DE,202.72811877886977,ssp126
1983,DE,199.3953935089404,ssp126
1984,DE,203.33056096030987,ssp126
1985,DE,204.6640671997491,ssp126
1986,DE,208.24792843815555,ssp126
1987,DE,209.53034286647485,ssp126
1988,DE,204.2939359086093,ssp126
1989,DE,212.53659691427453,ssp126
1990,DE,204.95605498813336,ssp126
1991,DE,204.77173176985715,ssp126
1992,DE,199.84086625207777,ssp126
1993,DE,202.30906062962947,ssp126
1994,DE,211.30939663743376,ssp126
1995,DE,211.16549687068542,ssp126
1996,DE,212.67644791469576,ssp126
1997,DE,208.79245095912773,ssp126
1998,DE,211.94472769077413,ssp126
1999,DE,207.72813193722104,ssp126
2000,DE,204.9285297105219,ssp126
2001,DE,210.87199567684738,ssp126
2002,DE,215.53279770043073,ssp126
2003,DE,203.34830909083848,ssp126
2004,DE,211.67455455470738,ssp126
2005,DE,212.71592817223,ssp126
2006,DE,212.72920931531652,ssp126
2007,DE,214.7874751461161,ssp126
2008,DE,216.38175642989185,ssp126
2009,DE,215.89524279998528,ssp126
2010,DE,215.27599903450235,ssp126
2011,DE,211.3545256553133,ssp126
2012,DE,213.78826043849273,ssp126
2013,DE,210.64725082277843,ssp126
2014,DE,212.5267662429354,ssp126
2015,DE,218.76563227433527,ssp126
2016,DE,214.94477970303234,ssp126
2017,DE,215.19212840876668,ssp126
2018,DE,211.03798811133925,ssp126
2019,DE,217.11912820598002,ssp126
2020,DE,216.93746586841598,ssp126
2021,DE,219.16794353104808,ssp126
2022,DE,221.3029612093717,ssp126
2023,DE,219.66783876940633,ssp126
2024,DE,214.44500171521454,ssp126
2025,DE,217.83760136057663,ssp126
2026,DE,217.97016800303666,ssp126
2027,DE,214.6679822952273,ssp126
2028,DE,222.3394085502517,ssp126
2029,DE,222.8276078271705,ssp126
2030,DE,226.17392507691662,ssp126
2031,DE,229.36426631586028,ssp126
2032,DE,219.12805474746696,ssp126
2033,DE,220.36019712920427,ssp126
2034,DE,224.10371224605134,ssp126
2035,DE,221.74412357997764,ssp126
2036,DE,227.06430548049104,ssp126
2037,DE,226.66855040648232,ssp126
2038,DE,225.81106685124738,ssp126
2039,DE,225.92588925453853,ssp126
2040,DE,222.87123960588883,ssp126
2041,DE,224.79360326781625,ssp126
2042,DE,228.71937726892298,ssp126
2043,DE,223.3321525786834,ssp126
2044,DE,224.55999673114755,ssp126
2045,DE,222.3767539176421,ssp126
2046,DE,222.3647986097437,ssp126
2047,DE,216.74289787098778,ssp126
2048,DE,223.7648959980905,ssp126
2049,DE,230.2180217911672,ssp126
2050,DE,230.61991880225528,ssp126
2051,DE,228.96533344053526,ssp126
2052,DE,228.21775064881493,ssp126
2053,DE,224.17734252962947,ssp126
2054,DE,217.66235961205658,ssp126
2055,DE,221.7976275441231,ssp126
2056,DE,223.1412233692976,ssp126
2057,DE,226.4652357115909,ssp126
2058,DE,227.33083083021666,ssp126
2059,DE,229.06152637296802,ssp126
2060,DE,225.9957232237029,ssp126
2061,DE,221.31415501419335,ssp126
2062,DE,229.22639817603712,ssp126
2063,DE,227.99989602441073,ssp126
2064,DE,229.2017609484684,ssp126
2065,DE,225.98461106712563,ssp126
2066,DE,225.28901739949518,ssp126
2067,DE,229.9702593130043,ssp126
2068,DE,237.12599026529062,ssp126
2069,DE,227.2617854556475,ssp126
2070,DE,227.06468893730417,ssp126
2071,DE,227.8909066171219,ssp126
2072,DE,226.7556418935544,ssp126
2073,DE,223.05343221299486,ssp126
2074,DE,231.53454075352792,ssp126
2075,DE,232.75565864676682,ssp126
2076,DE,231.96404774043518,ssp126
2077,DE,226.83626287660738,ssp126
2078,DE,228.28181168710117,ssp126
2079,DE,227.20916219136302,ssp126
2080,DE,227.0467972303201,ssp126
2081,DE,227.8764971781916,ssp126
2082,DE,230.69881841173927,ssp126
2083,DE,229.22845926504357,ssp126
2084,DE,225.4794054077158,ssp126
2085,DE,221.25760074740492,ssp126
2086,DE,228.54621376236025,ssp126
2087,DE,227.99570994520178,ssp126
2088,DE,222.7875606748954,ssp126
2089,DE,226.8185461018016,ssp126
2090,DE,227.67966304255367,ssp126
2091,DE,226.11753714781304,ssp126
2092,DE,225.6135989356936,ssp126
2093,DE,227.21409805910886,ssp126
2094,DE,226.06808878664833,ssp126
2095,DE,225.84495021417382,ssp126
2096,DE,218.46358500436688,ssp126
2097,DE,228.6324576979907,ssp126
2098,DE,224.7095860766475,ssp126
2099,DE,226.277331506503,ssp126
2100,DE,229.51949616372613,ssp126
1950,CT,167.7081637468209,ssp126
1951,CT,168.82895467603268,ssp126
1952,CT,172.09889550139744,ssp126
1953,CT,169.42667401878737,ssp126
1954,CT,169.72932153333136,ssp126
1955,CT,166.63309722980446,ssp126
1956,CT,166.1928748322922,ssp126
1957,CT,165.9659501799159,ssp126
1958,CT,171.13427999073124,ssp126
1959,CT,166.85337985365803,ssp126
