,year,growing_seas_length_days,scenario,model
0,1950,171.96999346102257,ssp585,mpi-esm1-2-lr
1,1951,177.96149602435537,ssp585,mpi-esm1-2-lr
2,1952,189.1454968090305,ssp585,mpi-esm1-2-lr
3,1953,169.86029214008815,ssp585,mpi-esm1-2-lr
4,1954,167.88495986652123,ssp585,mpi-esm1-2-lr
5,1955,176.9520324330779,ssp585,mpi-esm1-2-lr
6,1956,177.62907564957467,ssp585,mpi-esm1-2-lr
7,1957,173.88251042467854,ssp585,mpi-esm1-2-lr
8,1958,178.95676115145284,ssp585,mpi-esm1-2-lr
9,1959,181.20536682772624,ssp585,mpi-esm1-2-lr
10,1960,177.46009411603603,ssp585,mpi-esm1-2-lr
11,1961,176.56500355394923,ssp585,mpi-esm1-2-lr
12,1962,173.99833371306838,ssp585,mpi-esm1-2-lr
13,1963,172.8462135411195,ssp585,mpi-esm1-2-lr
14,1964,168.9045272506339,ssp585,mpi-esm1-2-lr
15,1965,166.5796302630219,ssp585,mpi-esm1-2-lr
16,1966,170.00515689206605,ssp585,mpi-esm1-2-lr
17,1967,167.33657555395385,ssp585,mpi-esm1-2-lr
18,1968,185.7694666362498,ssp585,mpi-esm1-2-lr
19,1969,174.16802118456488,ssp585,mpi-esm1-2-lr
20,1970,153.50526490792606,ssp585,mpi-esm1-2-lr
21,1971,171.2114009453282,ssp585,mpi-esm1-2-lr
22,1972,173.98314930980757,ssp585,mpi-esm1-2-lr
23,1973,170.39386968955066,ssp585,mpi-esm1-2-lr
24,1974,172.58412144417386,ssp585,mpi-esm1-2-lr
25,1975,175.78841481608654,ssp585,mpi-esm1-2-lr
26,1976,180.48785408798955,ssp585,mpi-esm1-2-lr
27,1977,166.4673183563864,ssp585,mpi-esm1-2-lr
28,1978,185.38779428077407,ssp585,mpi-esm1-2-lr
29,1979,176.46331443863338,ssp585,mpi-esm1-2-lr
30,1980,180.28376239806371,ssp585,mpi-esm1-2-lr
31,1981,177.7434625312234,ssp585,mpi-esm1-2-lr
32,1982,183.13697006419733,ssp585,mpi-esm1-2-lr
33,1983,171.5958684920129,ssp585,mpi-esm1-2-lr
34,1984,183.846197339188,ssp585,mpi-esm1-2-lr
35,1985,190.1882671472824,ssp585,mpi-esm1-2-lr
36,1986,180.83379674004206,ssp585,mpi-esm1-2-lr
37,1987,176.20886631143935,ssp585,mpi-esm1-2-lr
38,1988,178.09605455607118,ssp585,mpi-esm1-2-lr
