,year,avg_djf_temp_f,scenario,model
0,1950,,ssp126,gfdl-esm4
1,1951,36.16364449087689,ssp126,gfdl-esm4
2,1952,30.658877844247215,ssp126,gfdl-esm4
3,1953,30.566111820564775,ssp126,gfdl-esm4
4,1954,34.175035714682224,ssp126,gfdl-esm4
5,1955,33.69024978842547,ssp126,gfdl-esm4
6,1956,33.82561701829383,ssp126,gfdl-esm4
7,1957,31.008357238050284,ssp126,gfdl-esm4
8,1958,29.991374264374915,ssp126,gfdl-esm4
9,1959,28.29977942461401,ssp126,gfdl-esm4
10,1960,27.83184543793537,ssp126,gfdl-esm4
11,1961,29.991512788823567,ssp126,gfdl-esm4
12,1962,29.93090265991191,ssp126,gfdl-esm4
13,1963,32.61285914325344,ssp126,gfdl-esm4
14,1964,30.752578908722253,ssp126,gfdl-esm4
15,1965,31.84862469399455,ssp126,gfdl-esm4
16,1966,30.524519797006306,ssp126,gfdl-esm4
17,1967,28.395340633465104,ssp126,gfdl-esm4
18,1968,33.42970056330769,ssp126,gfdl-esm4
19,1969,31.79537516436751,ssp126,gfdl-esm4
20,1970,30.764118731674234,ssp126,gfdl-esm4
21,1971,32.62645839714424,ssp126,gfdl-esm4
22,1972,31.058366309573067,ssp126,gfdl-esm4
23,1973,32.89045053060455,ssp126,gfdl-esm4
24,1974,29.875096906825778,ssp126,gfdl-esm4
25,1975,30.251031205578382,ssp126,gfdl-esm4
26,1976,30.099661669798614,ssp126,gfdl-esm4
27,1977,27.644826438845175,ssp126,gfdl-esm4
28,1978,29.81979955922,ssp126,gfdl-esm4
29,1979,32.34137502599133,ssp126,gfdl-esm4
30,1980,33.23069471011844,ssp126,gfdl-esm4
31,1981,30.78377811930267,ssp126,gfdl-esm4
32,1982,30.821721154559665,ssp126,gfdl-esm4
33,1983,31.428962068770648,ssp126,gfdl-esm4
34,1984,31.821625747491517,ssp126,gfdl-esm4
35,1985,28.163246762099902,ssp126,gfdl-esm4
36,1986,31.959425483131984,ssp126,gfdl-esm4
37,1987,29.002021673140487,ssp126,gfdl-esm4
38,1988,28.019055423316694,ssp126,gfdl-esm4
39,1989,33.922274946001494,ssp126,gfdl-esm4
40,1990,33.48694760049765,ssp126,gfdl-esm4
41,1991,33.89831232464946,ssp126,gfdl-esm4
42,1992,32.530320629347145,ssp126,gfdl-esm4
43,1993,32.11379892764062,ssp126,gfdl-esm4
