,year,av_temp,scenario
19,1969,48.65932873590836,ssp126
20,1970,49.57078660760467,ssp126
21,1971,49.76495646086193,ssp126
22,1972,50.06702975424088,ssp126
23,1973,49.72746891633219,ssp126
24,1974,49.18919244081626,ssp126
25,1975,49.561210126921274,ssp126
26,1976,49.54175600052273,ssp126
27,1977,49.79557921541803,ssp126
28,1978,50.00719211312634,ssp126
29,1979,50.24289851709314,ssp126
30,1980,50.42192284511219,ssp126
31,1981,49.84758758252537,ssp126
32,1982,50.40238924952922,ssp126
33,1983,48.50334708454124,ssp126
34,1984,49.67415323902264,ssp126
35,1985,49.68960258109721,ssp126
36,1986,48.96782973888555,ssp126
37,1987,49.81309250829013,ssp126
38,1988,49.990928215353506,ssp126
39,1989,50.558966107496786,ssp126
40,1990,49.71714871512624,ssp126
41,1991,50.42187521983027,ssp126
42,1992,49.65871938786824,ssp126
43,1993,50.14023236108494,ssp126
44,1994,49.77918416699908,ssp126
45,1995,50.19744649212093,ssp126
46,1996,50.560733710512,ssp126
47,1997,50.267632153155034,ssp126
48,1998,51.088926361070875,ssp126
49,1999,50.638013961630726,ssp126
50,2000,50.278427014636755,ssp126
51,2001,50.570516095429134,ssp126
52,2002,51.400782643947124,ssp126
53,2003,50.848239748039774,ssp126
54,2004,51.084494958284665,ssp126
55,2005,51.25904595604128,ssp126
56,2006,51.180402773567835,ssp126
57,2007,51.71513007570697,ssp126
58,2008,51.555162076014206,ssp126
59,2009,51.34873458728733,ssp126
60,2010,51.335282886708036,ssp126
61,2011,51.546543029331296,ssp126
62,2012,51.91872787696553,ssp126
63,2013,51.429637798516296,ssp126
64,2014,51.632432357798734,ssp126
65,2015,52.36453490351219,ssp126
66,2016,51.48836516141367,ssp126
67,2017,51.84565661692173,ssp126
68,2018,52.28151822726248,ssp126
69,2019,52.33702309063556,ssp126
70,2020,51.81716758656531,ssp126
71,2021,51.54372460814164,ssp126
72,2022,52.891108994917595,ssp126
73,2023,52.81884179393377,ssp126
74,2024,53.0092440869247,ssp126
75,2025,52.48609098759874,ssp126
76,2026,52.811842822467405,ssp126
77,2027,52.29926772874424,ssp126
78,2028,53.231908902693064,ssp126
79,2029,53.08045853476429,ssp126
80,2030,53.44078244992804,ssp126
81,2031,53.08775062155887,ssp126
82,2032,53.147011663248854,ssp126
83,2033,52.07310190899091,ssp126
84,2034,53.220329526679734,ssp126
85,2035,53.241598486037454,ssp126
86,2036,53.0493415233691,ssp126
87,2037,53.140024921518226,ssp126
88,2038,53.4780414205804,ssp126
89,2039,52.914362672230794,ssp126
90,2040,53.967433923165686,ssp126
91,2041,53.483636116686625,ssp126
92,2042,53.66865713747346,ssp126
93,2043,53.395407735448536,ssp126
94,2044,53.33425828393977,ssp126
95,2045,53.14236117365118,ssp126
96,2046,53.45616480020464,ssp126
97,2047,53.217370158879014,ssp126
98,2048,53.81416849916844,ssp126
99,2049,53.349261120196886,ssp126
100,2050,53.340725576596384,ssp126
101,2051,53.63940717876182,ssp126
102,2052,54.0495602880422,ssp126
103,2053,53.42330292237176,ssp126
104,2054,53.53594724376776,ssp126
105,2055,53.715376813324035,ssp126
106,2056,53.291172418848944,ssp126
107,2057,53.618494006793235,ssp126
108,2058,53.198386091616975,ssp126
109,2059,54.25048941992418,ssp126
110,2060,53.85104821332819,ssp126
111,2061,53.94569611231237,ssp126
112,2062,53.97657383845539,ssp126
113,2063,53.93479012736124,ssp126
114,2064,54.013743016916074,ssp126
115,2065,54.22344293250988,ssp126
116,2066,53.88266729922444,ssp126
117,2067,54.30680421652365,ssp126
118,2068,54.11368059913619,ssp126
119,2069,53.77555644771438,ssp126
120,2070,54.27539765787296,ssp126
121,2071,53.20239418716025,ssp126
122,2072,53.92467814648471,ssp126
123,2073,53.85403122085354,ssp126
124,2074,54.42771389409084,ssp126
125,2075,53.34456641710148,ssp126
126,2076,53.330649542903146,ssp126
127,2077,54.462321843975346,ssp126
128,2078,53.69997012298767,ssp126
129,2079,53.60992768004264,ssp126
130,2080,53.787346894902896,ssp126
131,2081,53.19011883875279,ssp126
132,2082,53.660316254252194,ssp126
133,2083,53.22542045303188,ssp126
134,2084,53.594773243258736,ssp126
135,2085,53.684449036800444,ssp126
136,2086,53.600291709932286,ssp126
137,2087,52.73307897114381,ssp126
138,2088,53.90918594574755,ssp126
139,2089,53.39167264890577,ssp126
140,2090,53.19565754815581,ssp126
141,2091,53.13481814717118,ssp126
142,2092,54.297361597930696,ssp126
143,2093,53.44346921571678,ssp126
144,2094,53.32304549272429,ssp126
145,2095,53.888219565196835,ssp126
146,2096,53.62218704664165,ssp126
147,2097,53.98576914041284,ssp126
148,2098,53.01781166962248,ssp126
149,2099,53.4704026081098,ssp126
150,2100,52.516151545309334,ssp126
0,1950,50.43201588415413,ssp245
1,1951,49.82674215994368,ssp245
2,1952,49.49432187778698,ssp245
3,1953,49.46291234555222,ssp245
4,1954,49.894221172101105,ssp245
5,1955,50.01776306926702,ssp245
6,1956,50.53494732812524,ssp245
7,1957,50.22663462194056,ssp245
8,1958,49.64050628265724,ssp245
9,1959,49.76344221138185,ssp245
10,1960,49.480287302784106,ssp245
11,1961,50.18148145844202,ssp245
12,1962,48.89605322804518,ssp245
13,1963,49.55441195392338,ssp245
14,1964,49.31246243346584,ssp245
15,1965,48.54128773877098,ssp245
16,1966,49.437945065470196,ssp245
