,year,avg_mam_temp_f,scenario,model
0,1950,49.5544977647818,ssp245,mri-esm2-0
1,1951,49.69674194720607,ssp245,mri-esm2-0
2,1952,49.87545434857099,ssp245,mri-esm2-0
3,1953,51.80080179155673,ssp245,mri-esm2-0
4,1954,50.473078969219486,ssp245,mri-esm2-0
5,1955,47.95771053263728,ssp245,mri-esm2-0
6,1956,51.582488427067545,ssp245,mri-esm2-0
7,1957,51.26840791455413,ssp245,mri-esm2-0
8,1958,50.6902200873584,ssp245,mri-esm2-0
9,1959,49.80285686443163,ssp245,mri-esm2-0
10,1960,49.97446885064485,ssp245,mri-esm2-0
11,1961,48.89494515022409,ssp245,mri-esm2-0
12,1962,46.45526679617682,ssp245,mri-esm2-0
13,1963,48.202089141784036,ssp245,mri-esm2-0
14,1964,50.7683703354682,ssp245,mri-esm2-0
15,1965,47.737436238775146,ssp245,mri-esm2-0
16,1966,49.65811836691296,ssp245,mri-esm2-0
17,1967,50.68059437532104,ssp245,mri-esm2-0
18,1968,48.023565888124445,ssp245,mri-esm2-0
19,1969,48.93063932121437,ssp245,mri-esm2-0
20,1970,51.205442113753946,ssp245,mri-esm2-0
21,1971,50.08217647064306,ssp245,mri-esm2-0
22,1972,52.00613824682784,ssp245,mri-esm2-0
23,1973,51.44696614080196,ssp245,mri-esm2-0
24,1974,51.03971918179307,ssp245,mri-esm2-0
25,1975,49.936344107704976,ssp245,mri-esm2-0
26,1976,49.68002703550486,ssp245,mri-esm2-0
27,1977,50.960814032995614,ssp245,mri-esm2-0
28,1978,48.76400055506579,ssp245,mri-esm2-0
29,1979,48.76541847753234,ssp245,mri-esm2-0
30,1980,48.985214677118286,ssp245,mri-esm2-0
31,1981,51.9360311305883,ssp245,mri-esm2-0
32,1982,48.65113832037233,ssp245,mri-esm2-0
33,1983,50.444036584678365,ssp245,mri-esm2-0
34,1984,53.066972066069894,ssp245,mri-esm2-0
35,1985,48.92011249490801,ssp245,mri-esm2-0
36,1986,47.51498410285488,ssp245,mri-esm2-0
37,1987,47.657861958749415,ssp245,mri-esm2-0
38,1988,48.62202005981246,ssp245,mri-esm2-0
39,1989,48.5869535375045,ssp245,mri-esm2-0
40,1990,50.06904102163954,ssp245,mri-esm2-0
41,1991,48.93011319298194,ssp245,mri-esm2-0
42,1992,49.65330332413837,ssp245,mri-esm2-0
43,1993,49.69908034107598,ssp245,mri-esm2-0
44,1994,49.934263579359,ssp245,mri-esm2-0
45,1995,48.54097329378872,ssp245,mri-esm2-0
46,1996,51.29513849329645,ssp245,mri-esm2-0
47,1997,49.73439915173043,ssp245,mri-esm2-0
48,1998,52.675224106654646,ssp245,mri-esm2-0
49,1999,50.78363202988883,ssp245,mri-esm2-0
50,2000,51.28245924976548,ssp245,mri-esm2-0
51,2001,48.32997499108775,ssp245,mri-esm2-0
52,2002,51.24202601272511,ssp245,mri-esm2-0
53,2003,52.642294502954435,ssp245,mri-esm2-0
54,2004,50.88479897184542,ssp245,mri-esm2-0
55,2005,52.863723875883764,ssp245,mri-esm2-0
56,2006,51.640455711977324,ssp245,mri-esm2-0
57,2007,50.9154050086221,ssp245,mri-esm2-0
58,2008,48.78465589369485,ssp245,mri-esm2-0
59,2009,50.66432403369112,ssp245,mri-esm2-0
60,2010,51.0135371704922,ssp245,mri-esm2-0
61,2011,52.95252266257221,ssp245,mri-esm2-0
62,2012,53.413765664237424,ssp245,mri-esm2-0
63,2013,49.64969026222405,ssp245,mri-esm2-0
64,2014,50.62939690069488,ssp245,mri-esm2-0
65,2015,51.91626314780656,ssp245,mri-esm2-0
66,2016,53.64964150374849,ssp245,mri-esm2-0
67,2017,52.11044421874659,ssp245,mri-esm2-0
68,2018,52.553468967557336,ssp245,mri-esm2-0
69,2019,52.81054007899519,ssp245,mri-esm2-0
70,2020,50.33745011318956,ssp245,mri-esm2-0
71,2021,53.61281138510688,ssp245,mri-esm2-0
72,2022,49.62826509313904,ssp245,mri-esm2-0
73,2023,51.75896134856754,ssp245,mri-esm2-0
74,2024,53.07198286622,ssp245,mri-esm2-0
75,2025,53.00421393230241,ssp245,mri-esm2-0
76,2026,51.13783366277753,ssp245,mri-esm2-0
77,2027,51.85939248767935,ssp245,mri-esm2-0
