,year,avg_mam_temp_f,scenario,model
95,2045,52.489778954228534,ssp126,bcc-csm2-mr
96,2046,53.25592271147723,ssp126,bcc-csm2-mr
97,2047,51.82791629601665,ssp126,bcc-csm2-mr
98,2048,54.27813721829845,ssp126,bcc-csm2-mr
99,2049,50.56530578439014,ssp126,bcc-csm2-mr
100,2050,52.33223241294438,ssp126,bcc-csm2-mr
101,2051,53.64718138512294,ssp126,bcc-csm2-mr
102,2052,51.22658455316741,ssp126,bcc-csm2-mr
103,2053,50.40093474565616,ssp126,bcc-csm2-mr
104,2054,53.30949890270109,ssp126,bcc-csm2-mr
105,2055,53.11739798531654,ssp126,bcc-csm2-mr
106,2056,50.04618997275721,ssp126,bcc-csm2-mr
107,2057,53.68718951865359,ssp126,bcc-csm2-mr
108,2058,54.80413428619412,ssp126,bcc-csm2-mr
109,2059,52.05359718067058,ssp126,bcc-csm2-mr
110,2060,52.08060134472686,ssp126,bcc-csm2-mr
111,2061,52.96688385762638,ssp126,bcc-csm2-mr
112,2062,53.372937431512504,ssp126,bcc-csm2-mr
113,2063,52.651260093981264,ssp126,bcc-csm2-mr
114,2064,55.462220923862915,ssp126,bcc-csm2-mr
115,2065,51.60007734208755,ssp126,bcc-csm2-mr
116,2066,53.53273747036267,ssp126,bcc-csm2-mr
117,2067,54.02708827795766,ssp126,bcc-csm2-mr
118,2068,53.342509948960526,ssp126,bcc-csm2-mr
119,2069,51.27251882014209,ssp126,bcc-csm2-mr
120,2070,52.66401817067201,ssp126,bcc-csm2-mr
121,2071,51.02337421822268,ssp126,bcc-csm2-mr
122,2072,52.409520937767844,ssp126,bcc-csm2-mr
123,2073,50.920074851495826,ssp126,bcc-csm2-mr
124,2074,55.803625590472755,ssp126,bcc-csm2-mr
125,2075,52.92328186161594,ssp126,bcc-csm2-mr
126,2076,49.29866457716653,ssp126,bcc-csm2-mr
127,2077,54.736820308599796,ssp126,bcc-csm2-mr
128,2078,54.26346497512407,ssp126,bcc-csm2-mr
129,2079,54.21164016813022,ssp126,bcc-csm2-mr
130,2080,50.5437864091504,ssp126,bcc-csm2-mr
131,2081,52.65730801832022,ssp126,bcc-csm2-mr
132,2082,53.71665437220675,ssp126,bcc-csm2-mr
133,2083,54.71982750170113,ssp126,bcc-csm2-mr
134,2084,51.47888641419678,ssp126,bcc-csm2-mr
