,year,av_temp,scenario
19,1969,30.282923808547412,ssp126
20,1970,30.607609197595135,ssp126
21,1971,31.75451523390235,ssp126
22,1972,32.342303645366215,ssp126
23,1973,30.645519313717582,ssp126
24,1974,29.17018525237496,ssp126
25,1975,30.507464278207827,ssp126
26,1976,30.709886912604293,ssp126
27,1977,30.47243158195364,ssp126
28,1978,31.295161991958924,ssp126
29,1979,30.940397220504188,ssp126
30,1980,31.592169131805065,ssp126
31,1981,30.974505041275183,ssp126
32,1982,32.08261185204281,ssp126
33,1983,30.50321222224033,ssp126
34,1984,30.34127812619473,ssp126
35,1985,30.794171262539603,ssp126
36,1986,30.964388627170667,ssp126
37,1987,31.119022693765988,ssp126
38,1988,31.355432022638517,ssp126
39,1989,31.4862196817038,ssp126
40,1990,31.032565510223996,ssp126
41,1991,31.72367540328861,ssp126
42,1992,31.2946180514643,ssp126
43,1993,31.000525682457614,ssp126
44,1994,31.181414248331848,ssp126
45,1995,30.850156250250926,ssp126
46,1996,31.086684677912327,ssp126
47,1997,31.645377986752464,ssp126
48,1998,31.235946056896456,ssp126
49,1999,31.997558600577374,ssp126
50,2000,32.362274541397234,ssp126
51,2001,31.636036635663043,ssp126
52,2002,32.00019156061742,ssp126
53,2003,31.924979284028996,ssp126
54,2004,31.756048633139823,ssp126
55,2005,32.27840038987378,ssp126
56,2006,33.593136179197934,ssp126
57,2007,31.362870236784552,ssp126
58,2008,32.65621763647153,ssp126
59,2009,32.22436565145108,ssp126
60,2010,32.68086988120909,ssp126
61,2011,32.742655317795915,ssp126
62,2012,32.00770212743423,ssp126
63,2013,31.654655438272886,ssp126
64,2014,32.52771604894903,ssp126
65,2015,33.38294014779075,ssp126
66,2016,34.40351984476901,ssp126
67,2017,33.269657312438106,ssp126
68,2018,32.45095657751407,ssp126
69,2019,34.38889274924998,ssp126
70,2020,33.07542979959972,ssp126
71,2021,32.462155762155206,ssp126
72,2022,34.138036384775994,ssp126
73,2023,33.813528749513694,ssp126
74,2024,33.80517552518608,ssp126
75,2025,33.670898876358315,ssp126
76,2026,34.45291628155885,ssp126
77,2027,33.528095868393294,ssp126
78,2028,34.932720609838384,ssp126
79,2029,33.87808936976875,ssp126
80,2030,34.259020094586255,ssp126
81,2031,33.69905686206098,ssp126
82,2032,33.85775951869352,ssp126
83,2033,33.970925527364315,ssp126
84,2034,34.83568312151431,ssp126
85,2035,34.1478072001512,ssp126
86,2036,35.09471210761131,ssp126
87,2037,34.85312343988656,ssp126
88,2038,34.206903947032686,ssp126
89,2039,34.66427374638878,ssp126
90,2040,35.75679569608599,ssp126
91,2041,34.735614492950695,ssp126
92,2042,34.66379543304262,ssp126
93,2043,35.53954162247442,ssp126
94,2044,33.75143875261737,ssp126
95,2045,35.48799776874201,ssp126
96,2046,34.13670934492721,ssp126
97,2047,34.66180703656153,ssp126
98,2048,34.97919598675683,ssp126
99,2049,34.8088750256508,ssp126
100,2050,34.49084031927776,ssp126
101,2051,35.417749956791575,ssp126
102,2052,35.286090107814985,ssp126
103,2053,34.54366660291468,ssp126
104,2054,35.33481512597556,ssp126
105,2055,35.422628457502256,ssp126
106,2056,34.859300984840445,ssp126
107,2057,35.648332965225805,ssp126
108,2058,34.68924536235032,ssp126
109,2059,35.25297924257455,ssp126
110,2060,34.42324325346991,ssp126
111,2061,34.890758548563376,ssp126
112,2062,35.22552821973363,ssp126
113,2063,34.80720528804467,ssp126
114,2064,35.75995875182339,ssp126
115,2065,35.83277627740737,ssp126
116,2066,35.34802658398983,ssp126
117,2067,35.65084616006254,ssp126
118,2068,35.29260001587295,ssp126
119,2069,35.148382440962536,ssp126
120,2070,35.359832532261635,ssp126
121,2071,35.37321018474531,ssp126
122,2072,35.53906389771621,ssp126
123,2073,35.1089243291351,ssp126
124,2074,35.79619942208304,ssp126
125,2075,34.75921148063094,ssp126
126,2076,35.787613395227694,ssp126
127,2077,35.02095506425609,ssp126
128,2078,35.12963181105275,ssp126
129,2079,34.066793410221685,ssp126
130,2080,35.619588411583905,ssp126
131,2081,35.702985540057654,ssp126
132,2082,35.63908412584401,ssp126
133,2083,34.48489271731426,ssp126
134,2084,35.34405314609445,ssp126
135,2085,34.51692236127152,ssp126
136,2086,35.00702655907843,ssp126
137,2087,34.55749501254484,ssp126
138,2088,35.86358168799792,ssp126
139,2089,34.95949919051396,ssp126
140,2090,34.616952381429634,ssp126
141,2091,34.739676002375404,ssp126
142,2092,35.03613759065458,ssp126
143,2093,35.436226696955075,ssp126
144,2094,34.36171075543547,ssp126
145,2095,34.763831745397944,ssp126
146,2096,34.9781172985734,ssp126
147,2097,34.89584039595733,ssp126
148,2098,34.35466459372116,ssp126
149,2099,35.06848497897006,ssp126
150,2100,34.1208857214866,ssp126
0,1950,,ssp245
1,1951,31.476102758412736,ssp245
2,1952,29.614578700269984,ssp245
3,1953,30.4394191701357,ssp245
4,1954,30.77241296290476,ssp245
5,1955,30.967945574359803,ssp245
6,1956,30.292238078075506,ssp245
7,1957,31.68139998978019,ssp245
8,1958,31.406029362825475,ssp245
9,1959,31.149977504767552,ssp245
10,1960,30.93075550744809,ssp245
11,1961,31.760878988820053,ssp245
12,1962,30.463483290601893,ssp245
13,1963,30.38633592912377,ssp245
14,1964,30.52219024274107,ssp245
15,1965,30.201568078010716,ssp245
16,1966,30.614806652214774,ssp245
17,1967,30.260476538236247,ssp245
18,1968,30.76904202030885,ssp245
19,1969,30.283757423899456,ssp245
20,1970,30.607586030788596,ssp245
21,1971,31.754078255131887,ssp245
22,1972,32.34193654904745,ssp245
23,1973,30.645211875636566,ssp245
24,1974,29.169789518748303,ssp245
25,1975,30.50711060404337,ssp245
26,1976,30.709548689292824,ssp245
27,1977,30.47232950467795,ssp245
28,1978,31.29498779697381,ssp245
29,1979,30.94038246840479,ssp245
30,1980,31.591511986194995,ssp245
31,1981,30.973608672363255,ssp245
32,1982,32.081732065132165,ssp245
33,1983,30.502436282217143,ssp245
34,1984,30.34034605830032,ssp245
35,1985,30.793513648168844,ssp245
36,1986,30.96371145719776,ssp245
37,1987,31.11846100977132,ssp245
38,1988,31.354801248349528,ssp245
39,1989,31.485689136256063,ssp245
40,1990,31.03079604184318,ssp245
41,1991,31.722161370929225,ssp245
42,1992,31.29315507767313,ssp245
43,1993,30.99921167814744,ssp245
44,1994,31.180296273607766,ssp245
45,1995,30.849089571744027,ssp245
46,1996,31.08569911487068,ssp245
47,1997,31.6449105981145,ssp245
48,1998,31.23583370690965,ssp245
49,1999,31.997616621771055,ssp245
50,2000,32.3635388197797,ssp245
51,2001,31.63782459824847,ssp245
52,2002,32.00192909016386,ssp245
53,2003,31.927656548055765,ssp245
54,2004,31.758825392915888,ssp245
55,2005,32.279161343932955,ssp245
56,2006,33.59853817139418,ssp245
57,2007,31.36661052989644,ssp245
58,2008,32.662058140893926,ssp245
59,2009,32.22939977826879,ssp245
60,2010,32.69429802819902,ssp245
61,2011,32.75072968154519,ssp245
62,2012,32.02148509006768,ssp245
63,2013,31.672277030195783,ssp245
64,2014,32.54535353245956,ssp245
65,2015,33.825720011129,ssp245
66,2016,32.31623436583573,ssp245
67,2017,33.054703140502156,ssp245
68,2018,33.46304855053792,ssp245
69,2019,32.44153166701934,ssp245
70,2020,33.45138631648011,ssp245
71,2021,33.80041391163522,ssp245
