,year,avg_mam_temp_f,scenario,model
0,1950,51.9470095120402,ssp370,ec-earth3
1,1951,49.84675791006369,ssp370,ec-earth3
2,1952,48.76774402327608,ssp370,ec-earth3
3,1953,47.46920720263352,ssp370,ec-earth3
4,1954,48.265364204660195,ssp370,ec-earth3
5,1955,51.53563881215355,ssp370,ec-earth3
6,1956,50.38266545531681,ssp370,ec-earth3
7,1957,48.3687116140851,ssp370,ec-earth3
8,1958,48.565260322584066,ssp370,ec-earth3
9,1959,51.121351370504144,ssp370,ec-earth3
10,1960,51.40874586352705,ssp370,ec-earth3
11,1961,49.76314373349891,ssp370,ec-earth3
12,1962,50.310210232750855,ssp370,ec-earth3
13,1963,51.768906241453195,ssp370,ec-earth3
14,1964,46.35295806976846,ssp370,ec-earth3
15,1965,48.75011358691337,ssp370,ec-earth3
16,1966,51.32982557033902,ssp370,ec-earth3
17,1967,52.115230765714784,ssp370,ec-earth3
18,1968,50.50951778501859,ssp370,ec-earth3
19,1969,45.83289402291713,ssp370,ec-earth3
20,1970,49.12921195435436,ssp370,ec-earth3
21,1971,51.49602835596854,ssp370,ec-earth3
22,1972,52.825142109118744,ssp370,ec-earth3
23,1973,51.99343085003945,ssp370,ec-earth3
24,1974,51.09573653525674,ssp370,ec-earth3
25,1975,50.9647496663021,ssp370,ec-earth3
26,1976,52.16709792165643,ssp370,ec-earth3
27,1977,50.87620358625338,ssp370,ec-earth3
28,1978,46.61766380985777,ssp370,ec-earth3
29,1979,52.559651214716126,ssp370,ec-earth3
30,1980,47.527506765450006,ssp370,ec-earth3
31,1981,47.49601972936094,ssp370,ec-earth3
32,1982,50.0490193991918,ssp370,ec-earth3
33,1983,43.50270943580806,ssp370,ec-earth3
34,1984,48.651862457166715,ssp370,ec-earth3
35,1985,52.6004710802787,ssp370,ec-earth3
36,1986,46.670319328344384,ssp370,ec-earth3
37,1987,49.08750887301526,ssp370,ec-earth3
38,1988,47.68674756269006,ssp370,ec-earth3
39,1989,50.50301569653037,ssp370,ec-earth3
40,1990,51.118149804596946,ssp370,ec-earth3
41,1991,48.599234045280454,ssp370,ec-earth3
42,1992,49.27084552867546,ssp370,ec-earth3
43,1993,49.983010411563185,ssp370,ec-earth3
44,1994,50.936376719655144,ssp370,ec-earth3
45,1995,53.01781605159733,ssp370,ec-earth3
46,1996,49.21409612219199,ssp370,ec-earth3
47,1997,53.898725413539296,ssp370,ec-earth3
48,1998,50.83548458712858,ssp370,ec-earth3
49,1999,50.713254885946746,ssp370,ec-earth3
50,2000,48.90374816582451,ssp370,ec-earth3
51,2001,48.3489692172425,ssp370,ec-earth3
52,2002,51.816713483515464,ssp370,ec-earth3
53,2003,51.06868423247566,ssp370,ec-earth3
54,2004,49.60642909846016,ssp370,ec-earth3
55,2005,51.253531162622636,ssp370,ec-earth3
56,2006,49.3195551068724,ssp370,ec-earth3
57,2007,52.21359645377018,ssp370,ec-earth3
58,2008,52.923350808006596,ssp370,ec-earth3
59,2009,50.765165674418384,ssp370,ec-earth3
60,2010,51.95212506690209,ssp370,ec-earth3
61,2011,50.06382298627745,ssp370,ec-earth3
62,2012,52.55606565583946,ssp370,ec-earth3
63,2013,53.566504548396196,ssp370,ec-earth3
64,2014,54.12416619123153,ssp370,ec-earth3
65,2015,55.1367158654468,ssp370,ec-earth3
66,2016,53.109461140311616,ssp370,ec-earth3
67,2017,54.06845710239324,ssp370,ec-earth3
68,2018,51.9418524676636,ssp370,ec-earth3
69,2019,53.67149172516935,ssp370,ec-earth3
70,2020,55.13067119122433,ssp370,ec-earth3
71,2021,55.58483788614225,ssp370,ec-earth3
72,2022,53.26105679152731,ssp370,ec-earth3
73,2023,55.78347549951568,ssp370,ec-earth3
74,2024,55.3387782147932,ssp370,ec-earth3
75,2025,55.17832057007128,ssp370,ec-earth3
76,2026,51.47828920238125,ssp370,ec-earth3
77,2027,55.13134722285295,ssp370,ec-earth3
78,2028,54.2970286729818,ssp370,ec-earth3
79,2029,56.80209038296897,ssp370,ec-earth3
80,2030,55.931839428095685,ssp370,ec-earth3
81,2031,54.46108762442594,ssp370,ec-earth3
82,2032,55.21254220063914,ssp370,ec-earth3
83,2033,52.790999350191115,ssp370,ec-earth3
84,2034,53.67692086449756,ssp370,ec-earth3
85,2035,54.86031859425099,ssp370,ec-earth3
86,2036,57.22309350494457,ssp370,ec-earth3
87,2037,55.591837532621284,ssp370,ec-earth3
88,2038,54.39385580409685,ssp370,ec-earth3
89,2039,54.53655735449181,ssp370,ec-earth3
90,2040,54.84204186688771,ssp370,ec-earth3
91,2041,52.62215388273251,ssp370,ec-earth3
92,2042,54.11443069122493,ssp370,ec-earth3
93,2043,51.69599362364092,ssp370,ec-earth3
94,2044,57.91901803557314,ssp370,ec-earth3
95,2045,57.76769937444642,ssp370,ec-earth3
96,2046,55.50468596805703,ssp370,ec-earth3
97,2047,55.55761484763126,ssp370,ec-earth3
98,2048,54.862313862069485,ssp370,ec-earth3
99,2049,56.29042740137437,ssp370,ec-earth3
100,2050,56.920713610086665,ssp370,ec-earth3
101,2051,56.221848403359864,ssp370,ec-earth3
102,2052,55.56403475455347,ssp370,ec-earth3
103,2053,54.86131653661286,ssp370,ec-earth3
104,2054,58.270194162305756,ssp370,ec-earth3
105,2055,58.58442516508682,ssp370,ec-earth3
106,2056,57.92109726161321,ssp370,ec-earth3
107,2057,55.49320908397765,ssp370,ec-earth3
108,2058,55.67302587675817,ssp370,ec-earth3
109,2059,60.6074845257723,ssp370,ec-earth3
110,2060,57.077865112868864,ssp370,ec-earth3
111,2061,56.52035635876055,ssp370,ec-earth3
112,2062,54.8324794956581,ssp370,ec-earth3
113,2063,56.08138742529407,ssp370,ec-earth3
114,2064,56.39619563436145,ssp370,ec-earth3
115,2065,57.471010916902834,ssp370,ec-earth3
116,2066,58.11577311751903,ssp370,ec-earth3
117,2067,56.05044152676169,ssp370,ec-earth3
118,2068,59.71592620664409,ssp370,ec-earth3
119,2069,58.02886904860456,ssp370,ec-earth3
120,2070,57.322123830858565,ssp370,ec-earth3
121,2071,57.473019762921346,ssp370,ec-earth3
122,2072,57.62157313387753,ssp370,ec-earth3
123,2073,58.93775856573299,ssp370,ec-earth3
124,2074,58.97512599256599,ssp370,ec-earth3
125,2075,56.38873571713981,ssp370,ec-earth3
126,2076,59.04909085156273,ssp370,ec-earth3
127,2077,56.65908812356803,ssp370,ec-earth3
128,2078,56.69280936295612,ssp370,ec-earth3
129,2079,54.37139046226597,ssp370,ec-earth3
130,2080,59.96059650593555,ssp370,ec-earth3
131,2081,58.57756470815407,ssp370,ec-earth3
132,2082,58.77125619439332,ssp370,ec-earth3
133,2083,58.72775378506247,ssp370,ec-earth3
134,2084,62.235383711263424,ssp370,ec-earth3
135,2085,57.687925140678516,ssp370,ec-earth3
136,2086,58.4036273724011,ssp370,ec-earth3
137,2087,60.73805079135813,ssp370,ec-earth3
138,2088,61.30839349931562,ssp370,ec-earth3
139,2089,53.803675333366,ssp370,ec-earth3
140,2090,62.270825926375885,ssp370,ec-earth3
141,2091,61.7005939716634,ssp370,ec-earth3
142,2092,60.488229447183045,ssp370,ec-earth3
143,2093,61.335278799915734,ssp370,ec-earth3
144,2094,58.749043346239944,ssp370,ec-earth3
145,2095,62.25914407889333,ssp370,ec-earth3
146,2096,60.518579652530946,ssp370,ec-earth3
147,2097,60.24381876749612,ssp370,ec-earth3
148,2098,62.00940411317675,ssp370,ec-earth3
149,2099,61.53265393674896,ssp370,ec-earth3
150,2100,61.960635772698396,ssp370,ec-earth3
0,1950,51.1877808677947,ssp370,miroc6
1,1951,49.9143064826597,ssp370,miroc6
2,1952,48.3101936899628,ssp370,miroc6
3,1953,48.57766097779175,ssp370,miroc6
4,1954,47.720727472565265,ssp370,miroc6
5,1955,48.19663158130299,ssp370,miroc6
6,1956,50.33329747590579,ssp370,miroc6
7,1957,52.39853358179759,ssp370,miroc6
8,1958,47.92957398142065,ssp370,miroc6
9,1959,49.81509157120893,ssp370,miroc6
10,1960,47.71643531438659,ssp370,miroc6
11,1961,49.72734458964131,ssp370,miroc6
12,1962,47.68017740866296,ssp370,miroc6
13,1963,47.871776069486536,ssp370,miroc6
14,1964,50.14069254492885,ssp370,miroc6
15,1965,49.40647708476605,ssp370,miroc6
16,1966,50.19919897529221,ssp370,miroc6
17,1967,47.78904633163061,ssp370,miroc6
18,1968,48.42046775335193,ssp370,miroc6
19,1969,49.16283220102839,ssp370,miroc6
20,1970,47.72905842149409,ssp370,miroc6
21,1971,47.97753213021221,ssp370,miroc6
22,1972,47.75030824079341,ssp370,miroc6
23,1973,51.87742531254182,ssp370,miroc6
24,1974,50.178151503778075,ssp370,miroc6
25,1975,49.46358125655726,ssp370,miroc6
26,1976,47.29954997013746,ssp370,miroc6
27,1977,49.989020519315474,ssp370,miroc6
28,1978,53.06652873758104,ssp370,miroc6
29,1979,52.35212789996276,ssp370,miroc6
30,1980,52.45612284168412,ssp370,miroc6
31,1981,52.21945032408951,ssp370,miroc6
32,1982,53.03312500132303,ssp370,miroc6
33,1983,49.60497502179984,ssp370,miroc6
34,1984,50.42241939706505,ssp370,miroc6
35,1985,50.6304223260891,ssp370,miroc6
36,1986,48.331412989280466,ssp370,miroc6
37,1987,53.30907993364669,ssp370,miroc6
38,1988,47.24988050996888,ssp370,miroc6
39,1989,49.98677823103988,ssp370,miroc6
40,1990,50.04766697297791,ssp370,miroc6
41,1991,49.434559455234805,ssp370,miroc6
42,1992,50.208166984176046,ssp370,miroc6
43,1993,51.98523876841245,ssp370,miroc6
44,1994,49.52193131087241,ssp370,miroc6
45,1995,51.42948687603029,ssp370,miroc6
46,1996,49.365619021011526,ssp370,miroc6
47,1997,47.018020397978695,ssp370,miroc6
48,1998,50.16409651779216,ssp370,miroc6
49,1999,50.69743605784605,ssp370,miroc6
50,2000,51.0555225325663,ssp370,miroc6
51,2001,52.80230612409675,ssp370,miroc6
52,2002,54.815699551683615,ssp370,miroc6
53,2003,51.26768072569929,ssp370,miroc6
54,2004,52.1652520847565,ssp370,miroc6
55,2005,54.092765252900044,ssp370,miroc6
56,2006,53.97391338935303,ssp370,miroc6
57,2007,52.68952646355265,ssp370,miroc6
58,2008,49.5231504813731,ssp370,miroc6
59,2009,53.35350407469677,ssp370,miroc6
60,2010,52.94896976349998,ssp370,miroc6
61,2011,54.80531797050534,ssp370,miroc6
62,2012,52.630677720220454,ssp370,miroc6
63,2013,53.03155874917651,ssp370,miroc6
64,2014,51.83848798874791,ssp370,miroc6
65,2015,52.15343414862542,ssp370,miroc6
66,2016,53.701763449451164,ssp370,miroc6
67,2017,52.740772920059314,ssp370,miroc6
68,2018,55.09910827016825,ssp370,miroc6
69,2019,52.630219235544374,ssp370,miroc6
70,2020,53.4106701923129,ssp370,miroc6
71,2021,53.045291103009106,ssp370,miroc6
72,2022,50.543224865106865,ssp370,miroc6
73,2023,56.718058045969556,ssp370,miroc6
74,2024,53.18026929345736,ssp370,miroc6
75,2025,52.96195278595639,ssp370,miroc6
76,2026,54.72077217841953,ssp370,miroc6
77,2027,54.03569735334048,ssp370,miroc6
78,2028,52.91038793910457,ssp370,miroc6
79,2029,52.18389213697864,ssp370,miroc6
80,2030,53.372263790425784,ssp370,miroc6
81,2031,52.428487105669554,ssp370,miroc6
82,2032,51.97268895646654,ssp370,miroc6
83,2033,53.274804750398424,ssp370,miroc6
84,2034,53.80921878560732,ssp370,miroc6
85,2035,53.05372894337699,ssp370,miroc6
86,2036,51.970091276526134,ssp370,miroc6
87,2037,57.05884304766173,ssp370,miroc6
88,2038,56.15290854793568,ssp370,miroc6
89,2039,51.86084884363826,ssp370,miroc6
90,2040,54.859369791669884,ssp370,miroc6
91,2041,54.357190569859576,ssp370,miroc6
92,2042,54.75962772738245,ssp370,miroc6
93,2043,54.40011473062643,ssp370,miroc6
94,2044,55.57855942315218,ssp370,miroc6
95,2045,54.42135690999725,ssp370,miroc6
96,2046,57.37001792292995,ssp370,miroc6
97,2047,54.88528670485734,ssp370,miroc6
98,2048,57.57276902092643,ssp370,miroc6
99,2049,55.2716797268316,ssp370,miroc6
100,2050,54.27587867079047,ssp370,miroc6
101,2051,54.8299031306533,ssp370,miroc6
102,2052,57.29410645098829,ssp370,miroc6
103,2053,56.65293917361127,ssp370,miroc6
104,2054,53.46608027294195,ssp370,miroc6
105,2055,54.22420251433312,ssp370,miroc6
106,2056,56.55667962604294,ssp370,miroc6
107,2057,54.59618999957651,ssp370,miroc6
108,2058,56.63707031994974,ssp370,miroc6
109,2059,56.748177710435066,ssp370,miroc6
110,2060,55.653676651440996,ssp370,miroc6
111,2061,58.22799718413066,ssp370,miroc6
112,2062,57.573784610953545,ssp370,miroc6
113,2063,56.190317792436325,ssp370,miroc6
114,2064,55.19276427173617,ssp370,miroc6
115,2065,55.26070958862905,ssp370,miroc6
116,2066,58.26347558327033,ssp370,miroc6
117,2067,55.97979850626074,ssp370,miroc6
118,2068,56.854503896420766,ssp370,miroc6
119,2069,59.21840599076099,ssp370,miroc6
120,2070,58.33289580093019,ssp370,miroc6
121,2071,60.54361083934362,ssp370,miroc6
122,2072,59.14688308085359,ssp370,miroc6
123,2073,59.29301028341125,ssp370,miroc6
124,2074,57.13112484790622,ssp370,miroc6
125,2075,57.2591392580623,ssp370,miroc6
126,2076,59.352778445171836,ssp370,miroc6
127,2077,59.29653211469138,ssp370,miroc6
128,2078,56.69908254112245,ssp370,miroc6
129,2079,57.50136024194579,ssp370,miroc6
130,2080,59.9527032208559,ssp370,miroc6
131,2081,55.06112539325542,ssp370,miroc6
132,2082,57.883162825927194,ssp370,miroc6
133,2083,57.28580121742716,ssp370,miroc6
134,2084,56.64799573322886,ssp370,miroc6
135,2085,57.62759186344482,ssp370,miroc6
136,2086,57.1188310193981,ssp370,miroc6
137,2087,57.48733591705896,ssp370,miroc6
138,2088,59.32446146676452,ssp370,miroc6
139,2089,58.638562316094365,ssp370,miroc6
140,2090,57.83552680708051,ssp370,miroc6
141,2091,57.89745937553605,ssp370,miroc6
142,2092,59.02877942601476,ssp370,miroc6
143,2093,60.388033908883784,ssp370,miroc6
144,2094,59.5904883385162,ssp370,miroc6
145,2095,58.476594215764976,ssp370,miroc6
146,2096,60.12302440584177,ssp370,miroc6
147,2097,60.97895282493592,ssp370,miroc6
148,2098,61.819412150872495,ssp370,miroc6
149,2099,59.7773695287761,ssp370,miroc6
150,2100,60.242212663728935,ssp370,miroc6
0,1950,,hist,nclimgrid
1,1951,48.29300083520257,hist,nclimgrid
2,1952,48.744821302264505,hist,nclimgrid
3,1953,49.175533140016974,hist,nclimgrid
4,1954,49.198609205482654,hist,nclimgrid
5,1955,49.93075734900972,hist,nclimgrid
6,1956,49.23239669241924,hist,nclimgrid
7,1957,49.312173372214495,hist,nclimgrid
8,1958,49.04346890228783,hist,nclimgrid
9,1959,50.01678496138045,hist,nclimgrid
10,1960,47.95351233003776,hist,nclimgrid
11,1961,49.099825340895556,hist,nclimgrid
12,1962,49.36487969071043,hist,nclimgrid
13,1963,50.87368375188947,hist,nclimgrid
14,1964,49.17031105201711,hist,nclimgrid
15,1965,47.93485991479675,hist,nclimgrid
16,1966,49.775808781226644,hist,nclimgrid
17,1967,49.212450266217715,hist,nclimgrid
18,1968,49.61961287308128,hist,nclimgrid
19,1969,48.82100970426773,hist,nclimgrid
20,1970,48.313082705390286,hist,nclimgrid
21,1971,48.14739202329747,hist,nclimgrid
22,1972,50.43853479545753,hist,nclimgrid
23,1973,49.6946205308201,hist,nclimgrid
24,1974,50.63817054413078,hist,nclimgrid
25,1975,47.24723207466368,hist,nclimgrid
26,1976,49.82952518875372,hist,nclimgrid
27,1977,51.87923855413305,hist,nclimgrid
