year,state,av_temp,scenario
2031,CA,56.73,ssp126
2032,CA,56.88,ssp126
2033,CA,57.33,ssp126
2034,CA,57.58,ssp126
2035,CA,57.01,ssp126
2036,CA,56.99,ssp126
2037,CA,56.7,ssp126
2038,CA,57.49,ssp126
2039,CA,57.25,ssp126
2040,CA,57.27,ssp126
2041,CA,57.6,ssp126
2042,CA,58.19,ssp126
2043,CA,57.06,ssp126
2044,CA,57.42,ssp126
2045,CA,57.67,ssp126
2046,CA,57.36,ssp126
2047,CA,58.23,ssp126
2048,CA,57.64,ssp126
2049,CA,58.37,ssp126
2050,CA,58.15,ssp126
2051,CA,57.59,ssp126
2052,CA,57.66,ssp126
2053,CA,57.78,ssp126
2054,CA,57.98,ssp126
2055,CA,57.67,ssp126
2056,CA,57.28,ssp126
2057,CA,57.92,ssp126
2058,CA,57.21,ssp126
2059,CA,58.67,ssp126
2060,CA,57.7,ssp126
2061,CA,57.9,ssp126
2062,CA,58.17,ssp126
2063,CA,57.69,ssp126
2064,CA,57.24,ssp126
2065,CA,58.09,ssp126
2066,CA,58.44,ssp126
2067,CA,57.2,ssp126
2068,CA,56.92,ssp126
2069,CA,58.36,ssp126
2070,CA,57.26,ssp126
2071,CA,56.62,ssp126
2072,CA,57.58,ssp126
2073,CA,57.89,ssp126
2074,CA,57.52,ssp126
2075,CA,56.25,ssp126
2076,CA,57.55,ssp126
2077,CA,57.94,ssp126
2078,CA,57.22,ssp126
2079,CA,57.91,ssp126
2080,CA,57.4,ssp126
2081,CA,57.24,ssp126
2082,CA,58.21,ssp126
2083,CA,57.99,ssp126
2084,CA,57.7,ssp126
2085,CA,58.02,ssp126
2086,CA,56.76,ssp126
2087,CA,56.85,ssp126
2088,CA,58.44,ssp126
2089,CA,57.55,ssp126
2090,CA,57.61,ssp126
2091,CA,56.77,ssp126
2092,CA,58.59,ssp126
2093,CA,57.35,ssp126
2094,CA,56.83,ssp126
2095,CA,58.11,ssp126
2096,CA,58.13,ssp126
2097,CA,58.03,ssp126
2098,CA,58.04,ssp126
2099,CA,58.17,ssp126
2100,CA,56.78,ssp126
1950,KY,55.41,ssp126
1951,KY,54.68,ssp126
1952,KY,54.85,ssp126
1953,KY,53.81,ssp126
1954,KY,54.36,ssp126
1955,KY,55.51,ssp126
1956,KY,56.22,ssp126
1957,KY,54.55,ssp126
1958,KY,54.7,ssp126
1959,KY,54.65,ssp126
1960,KY,54.16,ssp126
1961,KY,54.63,ssp126
1962,KY,54.45,ssp126
1963,KY,54.64,ssp126
1964,KY,54.56,ssp126
1965,KY,53.23,ssp126
1966,KY,54.59,ssp126
1967,KY,54.36,ssp126
1968,KY,54.39,ssp126
1969,KY,53.11,ssp126
1970,KY,55.22,ssp126
1971,KY,54.98,ssp126
1972,KY,55.17,ssp126
1973,KY,54.37,ssp126
1974,KY,54.52,ssp126
1975,KY,55.18,ssp126
1976,KY,54.68,ssp126
1977,KY,54.7,ssp126
1978,KY,55.46,ssp126
1979,KY,56.05,ssp126
1980,KY,55.25,ssp126
1981,KY,55.05,ssp126
1982,KY,54.71,ssp126
1983,KY,53.86,ssp126
1984,KY,54.89,ssp126
1985,KY,54.81,ssp126
1986,KY,54.04,ssp126
1987,KY,55.35,ssp126
1988,KY,55.76,ssp126
1989,KY,55.77,ssp126
1990,KY,54.33,ssp126
1991,KY,55.77,ssp126
1992,KY,54.15,ssp126
1993,KY,55.1,ssp126
1994,KY,54.56,ssp126
1995,KY,55.44,ssp126
1996,KY,55.39,ssp126
1997,KY,55.4,ssp126
1998,KY,55.82,ssp126
1999,KY,55.59,ssp126
2000,KY,55.36,ssp126
2001,KY,55.71,ssp126
2002,KY,55.92,ssp126
2003,KY,55.38,ssp126
2004,KY,55.58,ssp126
2005,KY,55.96,ssp126
2006,KY,56.44,ssp126
2007,KY,57.37,ssp126
2008,KY,56.67,ssp126
2009,KY,56.6,ssp126
2010,KY,56.47,ssp126
2011,KY,56.71,ssp126
2012,KY,56.73,ssp126
2013,KY,56.2,ssp126
2014,KY,56.32,ssp126
2015,KY,57.59,ssp126
2016,KY,56.34,ssp126
2017,KY,56.84,ssp126
2018,KY,57.35,ssp126
2019,KY,57,ssp126
2020,KY,57.09,ssp126
2021,KY,56.7,ssp126
2022,KY,57.48,ssp126
2023,KY,57.8,ssp126
2024,KY,57.65,ssp126
2025,KY,57.07,ssp126
2026,KY,57.18,ssp126
2027,KY,58.11,ssp126
2028,KY,58.74,ssp126
2029,KY,57.42,ssp126
2030,KY,58.18,ssp126
2031,KY,58.34,ssp126
2032,KY,58.12,ssp126
2033,KY,56.61,ssp126
2034,KY,58.07,ssp126
2035,KY,58.3,ssp126
2036,KY,58.21,ssp126
2037,KY,57.4,ssp126
2038,KY,58.75,ssp126
2039,KY,57.57,ssp126
2040,KY,58.92,ssp126
2041,KY,58.41,ssp126
2042,KY,58.51,ssp126
2043,KY,58.2,ssp126
2044,KY,58.05,ssp126
2045,KY,58.24,ssp126
2046,KY,58.47,ssp126
2047,KY,57.45,ssp126
2048,KY,59.17,ssp126
2049,KY,57.56,ssp126
2050,KY,58.09,ssp126
2051,KY,58.64,ssp126
2052,KY,58.79,ssp126
2053,KY,58.39,ssp126
2054,KY,57.97,ssp126
2055,KY,58.65,ssp126
2056,KY,58.15,ssp126
2057,KY,58.02,ssp126
2058,KY,58.62,ssp126
2059,KY,58.94,ssp126
2060,KY,59.12,ssp126
2061,KY,58.8,ssp126
2062,KY,59.15,ssp126
2063,KY,59,ssp126
2064,KY,59.4,ssp126
2065,KY,59.28,ssp126
2066,KY,58.73,ssp126
2067,KY,59.21,ssp126
2068,KY,59.71,ssp126
2069,KY,58.48,ssp126
2070,KY,59.22,ssp126
2071,KY,58.38,ssp126
2072,KY,58.92,ssp126
2073,KY,58.59,ssp126
2074,KY,59.33,ssp126
2075,KY,58.87,ssp126
2076,KY,58.2,ssp126
2077,KY,59.44,ssp126
2078,KY,58.43,ssp126
2079,KY,58.44,ssp126
2080,KY,58.69,ssp126
