,year,avg_djf_temp_f,scenario,model
103,2053,31.565422008528923,ssp245,gfdl-esm4
104,2054,36.44797991894422,ssp245,gfdl-esm4
105,2055,33.770148990160024,ssp245,gfdl-esm4
106,2056,32.86914990841435,ssp245,gfdl-esm4
107,2057,34.0873034920571,ssp245,gfdl-esm4
108,2058,37.193256870896455,ssp245,gfdl-esm4
109,2059,36.92070858225086,ssp245,gfdl-esm4
110,2060,33.19382241132021,ssp245,gfdl-esm4
111,2061,35.17910758787224,ssp245,gfdl-esm4
112,2062,33.297072897344314,ssp245,gfdl-esm4
113,2063,36.034704630703075,ssp245,gfdl-esm4
114,2064,35.67934542185462,ssp245,gfdl-esm4
115,2065,37.10037538587847,ssp245,gfdl-esm4
116,2066,32.98903788531672,ssp245,gfdl-esm4
117,2067,35.60914392315948,ssp245,gfdl-esm4
118,2068,35.60929500039135,ssp245,gfdl-esm4
119,2069,34.48185325965323,ssp245,gfdl-esm4
120,2070,33.8744568444246,ssp245,gfdl-esm4
121,2071,33.15302982195158,ssp245,gfdl-esm4
122,2072,33.581480348998774,ssp245,gfdl-esm4
123,2073,36.487587016815354,ssp245,gfdl-esm4
124,2074,32.83930376241473,ssp245,gfdl-esm4
125,2075,36.48091926732293,ssp245,gfdl-esm4
126,2076,36.80402475606059,ssp245,gfdl-esm4
127,2077,37.603403496218796,ssp245,gfdl-esm4
128,2078,34.94394988515549,ssp245,gfdl-esm4
129,2079,36.40932859673664,ssp245,gfdl-esm4
130,2080,36.195439774106404,ssp245,gfdl-esm4
131,2081,37.19197982370138,ssp245,gfdl-esm4
132,2082,37.820728336911706,ssp245,gfdl-esm4
133,2083,32.64789569458689,ssp245,gfdl-esm4
134,2084,35.97978290572619,ssp245,gfdl-esm4
135,2085,35.17860362224349,ssp245,gfdl-esm4
136,2086,34.74232300107956,ssp245,gfdl-esm4
137,2087,37.38033706893057,ssp245,gfdl-esm4
138,2088,35.842934926306015,ssp245,gfdl-esm4
139,2089,34.035460875907944,ssp245,gfdl-esm4
140,2090,35.68244021137984,ssp245,gfdl-esm4
141,2091,35.628162805076364,ssp245,gfdl-esm4
142,2092,36.213736667880745,ssp245,gfdl-esm4
143,2093,32.190200605354335,ssp245,gfdl-esm4
144,2094,37.521973143464585,ssp245,gfdl-esm4
145,2095,33.6716993765659,ssp245,gfdl-esm4
146,2096,32.45618168465909,ssp245,gfdl-esm4
147,2097,36.26491949598157,ssp245,gfdl-esm4
148,2098,38.89471684976692,ssp245,gfdl-esm4
149,2099,36.97026811906702,ssp245,gfdl-esm4
150,2100,37.87142453479529,ssp245,gfdl-esm4
0,1950,,ssp245,access-cm2
1,1951,31.318344672498863,ssp245,access-cm2
2,1952,33.47325659513921,ssp245,access-cm2
3,1953,29.12759471228166,ssp245,access-cm2
4,1954,27.597603314012005,ssp245,access-cm2
5,1955,31.65416871880231,ssp245,access-cm2
6,1956,31.523841600157407,ssp245,access-cm2
