,year,avg_jja_temp_f,scenario,model
0,1950,70.21364111852931,ssp370,bcc-csm2-mr
1,1951,70.44645962612464,ssp370,bcc-csm2-mr
2,1952,70.0566842428156,ssp370,bcc-csm2-mr
3,1953,70.7028273303957,ssp370,bcc-csm2-mr
4,1954,70.40115481206706,ssp370,bcc-csm2-mr
5,1955,70.41583072393314,ssp370,bcc-csm2-mr
6,1956,70.03829689320096,ssp370,bcc-csm2-mr
7,1957,69.75835422249277,ssp370,bcc-csm2-mr
8,1958,70.40811666976003,ssp370,bcc-csm2-mr
9,1959,69.03066263125943,ssp370,bcc-csm2-mr
10,1960,69.49735429357686,ssp370,bcc-csm2-mr
11,1961,70.01788339048024,ssp370,bcc-csm2-mr
12,1962,69.77897228708214,ssp370,bcc-csm2-mr
13,1963,71.81591974974879,ssp370,bcc-csm2-mr
14,1964,68.79020063608591,ssp370,bcc-csm2-mr
15,1965,69.47180886100148,ssp370,bcc-csm2-mr
16,1966,69.19276822479003,ssp370,bcc-csm2-mr
17,1967,71.58983449719372,ssp370,bcc-csm2-mr
18,1968,70.2309061893611,ssp370,bcc-csm2-mr
19,1969,71.51748026081225,ssp370,bcc-csm2-mr
20,1970,71.43796758016582,ssp370,bcc-csm2-mr
21,1971,72.10663587019043,ssp370,bcc-csm2-mr
22,1972,69.5374085509658,ssp370,bcc-csm2-mr
23,1973,70.71731724467664,ssp370,bcc-csm2-mr
24,1974,69.50134804269146,ssp370,bcc-csm2-mr
25,1975,69.03234228402232,ssp370,bcc-csm2-mr
26,1976,69.96884864127327,ssp370,bcc-csm2-mr
27,1977,71.1141360253356,ssp370,bcc-csm2-mr
28,1978,70.40400571508577,ssp370,bcc-csm2-mr
29,1979,70.09615763814848,ssp370,bcc-csm2-mr
30,1980,69.74623371528189,ssp370,bcc-csm2-mr
31,1981,70.9869102660992,ssp370,bcc-csm2-mr
32,1982,69.27424535337072,ssp370,bcc-csm2-mr
33,1983,70.23508948360073,ssp370,bcc-csm2-mr
34,1984,71.51304443415667,ssp370,bcc-csm2-mr
35,1985,70.66519403887307,ssp370,bcc-csm2-mr
36,1986,71.37372765458463,ssp370,bcc-csm2-mr
37,1987,68.8299291218403,ssp370,bcc-csm2-mr
38,1988,71.50456836287353,ssp370,bcc-csm2-mr
39,1989,71.85665691402292,ssp370,bcc-csm2-mr
40,1990,72.05793845217705,ssp370,bcc-csm2-mr
41,1991,71.74560162226155,ssp370,bcc-csm2-mr
42,1992,69.12940510494235,ssp370,bcc-csm2-mr
43,1993,70.51200605129544,ssp370,bcc-csm2-mr
44,1994,71.4272243808237,ssp370,bcc-csm2-mr
45,1995,71.8233651920741,ssp370,bcc-csm2-mr
46,1996,72.66596652555256,ssp370,bcc-csm2-mr
47,1997,70.53799107615372,ssp370,bcc-csm2-mr
48,1998,71.71911395692425,ssp370,bcc-csm2-mr
49,1999,71.56440218673465,ssp370,bcc-csm2-mr
50,2000,72.8277767033489,ssp370,bcc-csm2-mr
51,2001,71.888793176401,ssp370,bcc-csm2-mr
52,2002,71.79534435559312,ssp370,bcc-csm2-mr
53,2003,72.13883588641202,ssp370,bcc-csm2-mr
54,2004,72.48205073638401,ssp370,bcc-csm2-mr
55,2005,72.9625229852413,ssp370,bcc-csm2-mr
56,2006,72.66634412709854,ssp370,bcc-csm2-mr
57,2007,70.71330983267947,ssp370,bcc-csm2-mr
58,2008,73.45726313985452,ssp370,bcc-csm2-mr
59,2009,71.3771440450233,ssp370,bcc-csm2-mr
60,2010,73.66391899877021,ssp370,bcc-csm2-mr
61,2011,72.79324876302168,ssp370,bcc-csm2-mr
62,2012,72.32872014572727,ssp370,bcc-csm2-mr
63,2013,73.17835777433514,ssp370,bcc-csm2-mr
64,2014,72.05931937938496,ssp370,bcc-csm2-mr
65,2015,72.2849682952106,ssp370,bcc-csm2-mr
66,2016,71.94172384629807,ssp370,bcc-csm2-mr
67,2017,72.11322329461356,ssp370,bcc-csm2-mr
68,2018,71.41588763412969,ssp370,bcc-csm2-mr
69,2019,72.0912519840954,ssp370,bcc-csm2-mr
70,2020,72.2229376416952,ssp370,bcc-csm2-mr
71,2021,73.90115872587964,ssp370,bcc-csm2-mr
72,2022,74.0606950967679,ssp370,bcc-csm2-mr
73,2023,73.37877882653602,ssp370,bcc-csm2-mr
74,2024,72.59949672426417,ssp370,bcc-csm2-mr
75,2025,73.84889323519636,ssp370,bcc-csm2-mr
76,2026,73.96839327683288,ssp370,bcc-csm2-mr
77,2027,75.1730571882279,ssp370,bcc-csm2-mr
78,2028,75.00397745280151,ssp370,bcc-csm2-mr
79,2029,73.43731682101297,ssp370,bcc-csm2-mr
80,2030,73.34074532422116,ssp370,bcc-csm2-mr
81,2031,73.5842679695545,ssp370,bcc-csm2-mr
82,2032,73.31998159457689,ssp370,bcc-csm2-mr
83,2033,73.30293845826995,ssp370,bcc-csm2-mr
84,2034,72.42331230368514,ssp370,bcc-csm2-mr
85,2035,74.14465384471774,ssp370,bcc-csm2-mr
86,2036,74.03250444664003,ssp370,bcc-csm2-mr
87,2037,74.49425169353795,ssp370,bcc-csm2-mr
88,2038,75.31724292857855,ssp370,bcc-csm2-mr
89,2039,75.78276536163125,ssp370,bcc-csm2-mr
90,2040,77.36255338757172,ssp370,bcc-csm2-mr
91,2041,73.67259501769209,ssp370,bcc-csm2-mr
92,2042,76.48815467687909,ssp370,bcc-csm2-mr
93,2043,75.28692504371924,ssp370,bcc-csm2-mr
94,2044,75.37980300996877,ssp370,bcc-csm2-mr
95,2045,76.55856871731241,ssp370,bcc-csm2-mr
96,2046,75.98377888717695,ssp370,bcc-csm2-mr
97,2047,75.34278206470456,ssp370,bcc-csm2-mr
98,2048,76.74316308513167,ssp370,bcc-csm2-mr
99,2049,76.54135478895697,ssp370,bcc-csm2-mr
100,2050,75.777733302936,ssp370,bcc-csm2-mr
101,2051,76.70079934880336,ssp370,bcc-csm2-mr
102,2052,76.18761988032865,ssp370,bcc-csm2-mr
103,2053,76.77345737902263,ssp370,bcc-csm2-mr
104,2054,75.58678380300913,ssp370,bcc-csm2-mr
105,2055,76.10755194386573,ssp370,bcc-csm2-mr
106,2056,76.60353376153276,ssp370,bcc-csm2-mr
107,2057,75.69938036965317,ssp370,bcc-csm2-mr
108,2058,75.09049780869626,ssp370,bcc-csm2-mr
109,2059,75.6993962476931,ssp370,bcc-csm2-mr
110,2060,76.79007300443125,ssp370,bcc-csm2-mr
111,2061,76.2568259576322,ssp370,bcc-csm2-mr
112,2062,77.55405163112937,ssp370,bcc-csm2-mr
113,2063,77.44356744199928,ssp370,bcc-csm2-mr
