,year,av_temp,scenario
19,1969,51.77691322841634,ssp126
20,1970,52.38354386201343,ssp126
21,1971,52.149366971206966,ssp126
22,1972,51.77773817352744,ssp126
23,1973,51.729316210652726,ssp126
24,1974,52.1349604549269,ssp126
25,1975,52.78144885962775,ssp126
26,1976,52.00339227758733,ssp126
27,1977,52.40467350425178,ssp126
28,1978,52.49388947471949,ssp126
29,1979,52.485464051217235,ssp126
30,1980,52.54047534722838,ssp126
31,1981,51.580389823656986,ssp126
32,1982,52.438219403179176,ssp126
33,1983,51.57218977435633,ssp126
34,1984,52.27525005117424,ssp126
35,1985,52.99332153387557,ssp126
36,1986,52.31805864930235,ssp126
37,1987,52.71898307768339,ssp126
38,1988,52.50237812815766,ssp126
39,1989,52.90199600628904,ssp126
40,1990,52.87587100780318,ssp126
41,1991,53.203100600979006,ssp126
42,1992,51.51722554152218,ssp126
43,1993,52.048255455070176,ssp126
44,1994,52.8026078181564,ssp126
45,1995,52.95861735315997,ssp126
46,1996,53.35665787710732,ssp126
47,1997,52.944343918066956,ssp126
48,1998,53.1648868505586,ssp126
49,1999,53.37460212385792,ssp126
50,2000,53.521223594350246,ssp126
51,2001,53.702017490711214,ssp126
52,2002,53.731066605526564,ssp126
53,2003,53.386608606167556,ssp126
54,2004,54.62726646280967,ssp126
55,2005,54.57660018202857,ssp126
56,2006,54.52685657738489,ssp126
57,2007,54.30610833204965,ssp126
58,2008,53.80904488021401,ssp126
59,2009,53.837596977725546,ssp126
60,2010,54.39273229986148,ssp126
61,2011,54.11646239049816,ssp126
62,2012,53.705950782875256,ssp126
63,2013,54.79122493098104,ssp126
64,2014,54.83360669921822,ssp126
65,2015,54.440773109340576,ssp126
66,2016,54.86064368336742,ssp126
67,2017,54.853197310670225,ssp126
68,2018,54.331487385996994,ssp126
69,2019,55.21788318486912,ssp126
70,2020,54.689490321922015,ssp126
71,2021,55.385485975885345,ssp126
72,2022,55.46224238536017,ssp126
73,2023,55.262405780136355,ssp126
74,2024,55.3512021192457,ssp126
75,2025,55.78772927586259,ssp126
76,2026,55.61522252720638,ssp126
77,2027,55.837484038048785,ssp126
78,2028,55.37371040117869,ssp126
79,2029,56.4007904536992,ssp126
80,2030,55.585212118695,ssp126
81,2031,55.534646588933064,ssp126
82,2032,55.57442380906114,ssp126
83,2033,55.68071054294898,ssp126
84,2034,55.54823723749779,ssp126
85,2035,55.95007357065768,ssp126
86,2036,55.58783731265721,ssp126
87,2037,56.572235388384755,ssp126
88,2038,56.40044392344099,ssp126
89,2039,56.05361323866548,ssp126
90,2040,55.66500743694512,ssp126
91,2041,56.37141598036612,ssp126
92,2042,56.68879787875382,ssp126
93,2043,55.58981627775913,ssp126
94,2044,56.70400690975961,ssp126
95,2045,55.847986043387934,ssp126
96,2046,56.66386601943662,ssp126
97,2047,56.143976601658046,ssp126
98,2048,56.98862909688723,ssp126
99,2049,56.79855773243881,ssp126
100,2050,55.91372520924876,ssp126
101,2051,56.679743288233276,ssp126
102,2052,56.19649346060188,ssp126
103,2053,56.46485984352621,ssp126
104,2054,56.120399276439684,ssp126
105,2055,56.44889421339195,ssp126
106,2056,56.44158109872245,ssp126
107,2057,56.997697154161465,ssp126
108,2058,55.64081516949171,ssp126
109,2059,56.89666421081505,ssp126
110,2060,56.77770631133259,ssp126
111,2061,56.66890148570132,ssp126
112,2062,56.15362299871222,ssp126
113,2063,56.42748600674178,ssp126
114,2064,56.408497663540786,ssp126
115,2065,56.36213544307339,ssp126
116,2066,56.14911364300572,ssp126
117,2067,56.54448616366143,ssp126
118,2068,56.97551277034177,ssp126
119,2069,56.87311077635622,ssp126
120,2070,56.96113257528403,ssp126
121,2071,56.766870709119694,ssp126
122,2072,56.43509162933458,ssp126
123,2073,56.56801626250039,ssp126
124,2074,56.858285575396835,ssp126
125,2075,56.18758943691954,ssp126
126,2076,56.41297968594816,ssp126
127,2077,56.514441145231295,ssp126
128,2078,56.400870826532326,ssp126
129,2079,56.51555690775425,ssp126
130,2080,56.313355981283266,ssp126
131,2081,56.17066559621255,ssp126
132,2082,56.88364242039438,ssp126
133,2083,57.020733297355925,ssp126
134,2084,56.38127743205036,ssp126
135,2085,56.25795372987006,ssp126
136,2086,56.24900923441539,ssp126
137,2087,56.26727588045804,ssp126
138,2088,56.14371729488735,ssp126
139,2089,56.74826832223049,ssp126
140,2090,56.198027794660014,ssp126
141,2091,56.08075317291574,ssp126
142,2092,56.59199422641045,ssp126
143,2093,56.25850717507654,ssp126
144,2094,56.82471165839513,ssp126
145,2095,56.49409858956171,ssp126
146,2096,55.354701658292576,ssp126
147,2097,55.70448231479739,ssp126
148,2098,55.97342178854286,ssp126
149,2099,56.21829656892913,ssp126
150,2100,56.56479148603337,ssp126
0,1950,52.32269512352792,ssp245
1,1951,52.60392168591067,ssp245
2,1952,51.97425453881663,ssp245
3,1953,52.44024265031082,ssp245
4,1954,51.91004441102776,ssp245
5,1955,52.24768068430721,ssp245
6,1956,52.82721975187515,ssp245
7,1957,52.834567242347575,ssp245
8,1958,52.831470974095154,ssp245
9,1959,52.67737878546717,ssp245
10,1960,52.95752228031876,ssp245
11,1961,52.11165595715879,ssp245
12,1962,52.29591263343568,ssp245
13,1963,51.58403273671578,ssp245
14,1964,51.073273894709324,ssp245
15,1965,51.74173334773819,ssp245
16,1966,52.63241045611769,ssp245
17,1967,52.003909603521855,ssp245
18,1968,51.89925872987484,ssp245
19,1969,51.77814930259314,ssp245
20,1970,52.38349255152115,ssp245
21,1971,52.149374098056796,ssp245
22,1972,51.77776116851173,ssp245
23,1973,51.72934404200876,ssp245
24,1974,52.135041083742315,ssp245
25,1975,52.781491638964376,ssp245
26,1976,52.003444545394295,ssp245
27,1977,52.40476118162627,ssp245
28,1978,52.4940416681569,ssp245
29,1979,52.48556742612953,ssp245
30,1980,52.53998800657403,ssp245
31,1981,51.579873270447656,ssp245
32,1982,52.4376876978475,ssp245
33,1983,51.57163388287367,ssp245
34,1984,52.2747007434552,ssp245
35,1985,52.99283203586547,ssp245
36,1986,52.317554644408844,ssp245
37,1987,52.71847859661166,ssp245
38,1988,52.5018660443122,ssp245
39,1989,52.90148555307361,ssp245
40,1990,52.87541853478836,ssp245
41,1991,53.20229226165127,ssp245
42,1992,51.51632318028635,ssp245
43,1993,52.04728810303681,ssp245
44,1994,52.801621722372715,ssp245
45,1995,52.95758296329088,ssp245
46,1996,53.35538560384649,ssp245
47,1997,52.94290341188442,ssp245
48,1998,53.16337934951285,ssp245
49,1999,53.37275286453068,ssp245
50,2000,53.51926379219044,ssp245
51,2001,53.69958991589552,ssp245
52,2002,53.72889836514888,ssp245
53,2003,53.383637491235476,ssp245
54,2004,54.624436290613446,ssp245
55,2005,54.57290562036532,ssp245
56,2006,54.52247828577283,ssp245
57,2007,54.30139972712335,ssp245
58,2008,53.80366285733135,ssp245
59,2009,53.832425368136875,ssp245
60,2010,54.387404125730065,ssp245
61,2011,54.11223106724196,ssp245
62,2012,53.69946576323921,ssp245
63,2013,54.78582214145066,ssp245
64,2014,54.82617463818953,ssp245
65,2015,54.52425213299094,ssp245
66,2016,54.48308573585998,ssp245
67,2017,54.80297506194776,ssp245
