,year,avg_djf_temp_f,scenario,model
0,1950,,ssp585,inm-cm4-8
1,1951,31.346167419006413,ssp585,inm-cm4-8
2,1952,35.360872598469925,ssp585,inm-cm4-8
3,1953,30.441578464123708,ssp585,inm-cm4-8
4,1954,27.536139887539925,ssp585,inm-cm4-8
5,1955,35.8363969125752,ssp585,inm-cm4-8
6,1956,27.337304855045517,ssp585,inm-cm4-8
7,1957,30.884033882431456,ssp585,inm-cm4-8
8,1958,29.01199406604235,ssp585,inm-cm4-8
9,1959,32.59266108661466,ssp585,inm-cm4-8
10,1960,30.176417319206582,ssp585,inm-cm4-8
11,1961,34.74109810169574,ssp585,inm-cm4-8
12,1962,34.0148001141935,ssp585,inm-cm4-8
13,1963,33.19250874324816,ssp585,inm-cm4-8
14,1964,29.364373170120523,ssp585,inm-cm4-8
15,1965,29.070838501140084,ssp585,inm-cm4-8
16,1966,29.46981919408257,ssp585,inm-cm4-8
17,1967,26.25076406137104,ssp585,inm-cm4-8
18,1968,29.0215727728424,ssp585,inm-cm4-8
19,1969,32.18524754981019,ssp585,inm-cm4-8
20,1970,31.66268061702421,ssp585,inm-cm4-8
21,1971,33.305443367890874,ssp585,inm-cm4-8
22,1972,35.21227363627475,ssp585,inm-cm4-8
23,1973,26.35972372470359,ssp585,inm-cm4-8
24,1974,29.70103252255655,ssp585,inm-cm4-8
25,1975,31.59656814295016,ssp585,inm-cm4-8
26,1976,30.52865320140301,ssp585,inm-cm4-8
27,1977,32.31203922113924,ssp585,inm-cm4-8
28,1978,30.970518057828336,ssp585,inm-cm4-8
29,1979,26.701039808975626,ssp585,inm-cm4-8
30,1980,31.22215957362603,ssp585,inm-cm4-8
31,1981,30.49169454301822,ssp585,inm-cm4-8
32,1982,32.80761356281441,ssp585,inm-cm4-8
33,1983,30.674972334468073,ssp585,inm-cm4-8
34,1984,29.027588056634254,ssp585,inm-cm4-8
35,1985,26.3377574773222,ssp585,inm-cm4-8
36,1986,31.224775667905188,ssp585,inm-cm4-8
37,1987,33.75007130736017,ssp585,inm-cm4-8
38,1988,28.828144303260753,ssp585,inm-cm4-8
39,1989,32.61568132783951,ssp585,inm-cm4-8
40,1990,31.673234831049818,ssp585,inm-cm4-8
41,1991,32.25302065259271,ssp585,inm-cm4-8
42,1992,34.93501496509059,ssp585,inm-cm4-8
43,1993,28.558985069787447,ssp585,inm-cm4-8
44,1994,30.470943170928667,ssp585,inm-cm4-8
45,1995,33.74091029455223,ssp585,inm-cm4-8
46,1996,29.45860624363641,ssp585,inm-cm4-8
47,1997,28.517880890178105,ssp585,inm-cm4-8
