,year,avg_jja_temp_f,scenario,model
0,1950,71.05154074592177,ssp245,inm-cm4-8
1,1951,69.80752988034345,ssp245,inm-cm4-8
2,1952,70.12276558769292,ssp245,inm-cm4-8
3,1953,70.76078515539501,ssp245,inm-cm4-8
4,1954,70.24816674571902,ssp245,inm-cm4-8
5,1955,69.73269697521192,ssp245,inm-cm4-8
6,1956,70.05015817457675,ssp245,inm-cm4-8
7,1957,70.8413027727897,ssp245,inm-cm4-8
8,1958,70.78493542029373,ssp245,inm-cm4-8
9,1959,69.4576399882242,ssp245,inm-cm4-8
10,1960,69.27889957608612,ssp245,inm-cm4-8
11,1961,71.16331603109742,ssp245,inm-cm4-8
12,1962,70.01430322516845,ssp245,inm-cm4-8
13,1963,69.67517498790222,ssp245,inm-cm4-8
14,1964,71.17400622722565,ssp245,inm-cm4-8
15,1965,71.216644142332,ssp245,inm-cm4-8
16,1966,70.28290268605173,ssp245,inm-cm4-8
17,1967,71.07466497706054,ssp245,inm-cm4-8
18,1968,69.00657854396353,ssp245,inm-cm4-8
19,1969,71.60986116606132,ssp245,inm-cm4-8
20,1970,72.23506326126645,ssp245,inm-cm4-8
21,1971,69.66942256192448,ssp245,inm-cm4-8
22,1972,69.86381652868772,ssp245,inm-cm4-8
23,1973,72.16013423704456,ssp245,inm-cm4-8
24,1974,69.3056651052397,ssp245,inm-cm4-8
25,1975,69.68127823286586,ssp245,inm-cm4-8
26,1976,70.2164390566763,ssp245,inm-cm4-8
27,1977,70.73807676708209,ssp245,inm-cm4-8
28,1978,70.33306001046137,ssp245,inm-cm4-8
29,1979,70.22707066302391,ssp245,inm-cm4-8
30,1980,71.92204328556296,ssp245,inm-cm4-8
31,1981,71.40847763679325,ssp245,inm-cm4-8
32,1982,70.5528761399429,ssp245,inm-cm4-8
33,1983,68.69917081030805,ssp245,inm-cm4-8
34,1984,70.03548712208746,ssp245,inm-cm4-8
35,1985,69.73524045115649,ssp245,inm-cm4-8
36,1986,70.43738364942617,ssp245,inm-cm4-8
37,1987,71.6273654606414,ssp245,inm-cm4-8
38,1988,71.41172509450857,ssp245,inm-cm4-8
39,1989,73.21190885875778,ssp245,inm-cm4-8
40,1990,70.71451183699354,ssp245,inm-cm4-8
41,1991,72.46808130104516,ssp245,inm-cm4-8
42,1992,69.54490875037081,ssp245,inm-cm4-8
43,1993,69.77034783267895,ssp245,inm-cm4-8
44,1994,70.5123307616064,ssp245,inm-cm4-8
45,1995,71.71995281151824,ssp245,inm-cm4-8
46,1996,72.31324295647757,ssp245,inm-cm4-8
47,1997,71.77632944250419,ssp245,inm-cm4-8
48,1998,71.53174585212727,ssp245,inm-cm4-8
49,1999,70.48709504800178,ssp245,inm-cm4-8
50,2000,71.84606224319413,ssp245,inm-cm4-8
51,2001,71.61255207077052,ssp245,inm-cm4-8
52,2002,71.95628449748126,ssp245,inm-cm4-8
53,2003,73.58420550409548,ssp245,inm-cm4-8
54,2004,72.45062908459703,ssp245,inm-cm4-8
55,2005,73.21876958056217,ssp245,inm-cm4-8
56,2006,70.76326258892315,ssp245,inm-cm4-8
57,2007,73.96211553706354,ssp245,inm-cm4-8
58,2008,71.24221111874346,ssp245,inm-cm4-8
59,2009,69.76404302670173,ssp245,inm-cm4-8
60,2010,71.38371903304905,ssp245,inm-cm4-8
61,2011,72.76034723596068,ssp245,inm-cm4-8
62,2012,71.9931361609881,ssp245,inm-cm4-8
63,2013,73.69769131242855,ssp245,inm-cm4-8
64,2014,72.30243973220679,ssp245,inm-cm4-8
65,2015,72.37381123196809,ssp245,inm-cm4-8
66,2016,72.97716020434171,ssp245,inm-cm4-8
67,2017,71.9997873909928,ssp245,inm-cm4-8
68,2018,72.47641090692927,ssp245,inm-cm4-8
69,2019,72.2141119598153,ssp245,inm-cm4-8
70,2020,72.17854902650866,ssp245,inm-cm4-8
71,2021,73.78812158292808,ssp245,inm-cm4-8
72,2022,73.6435095322987,ssp245,inm-cm4-8
73,2023,72.62568986794368,ssp245,inm-cm4-8
74,2024,74.49899048341312,ssp245,inm-cm4-8
75,2025,73.1645013344882,ssp245,inm-cm4-8
76,2026,73.24759711401656,ssp245,inm-cm4-8
77,2027,72.54582855597819,ssp245,inm-cm4-8
78,2028,72.80893074853348,ssp245,inm-cm4-8
79,2029,74.5005045468329,ssp245,inm-cm4-8
80,2030,73.69259461075431,ssp245,inm-cm4-8
81,2031,74.53677151085748,ssp245,inm-cm4-8
82,2032,73.637911115782,ssp245,inm-cm4-8
83,2033,74.09633163009897,ssp245,inm-cm4-8
84,2034,74.96846595222218,ssp245,inm-cm4-8
85,2035,73.08087100379161,ssp245,inm-cm4-8
86,2036,73.66557252544709,ssp245,inm-cm4-8
87,2037,73.70628799014303,ssp245,inm-cm4-8
88,2038,74.74134741122764,ssp245,inm-cm4-8
89,2039,74.63563233754815,ssp245,inm-cm4-8
90,2040,75.54419996124449,ssp245,inm-cm4-8
91,2041,74.53616770304377,ssp245,inm-cm4-8
92,2042,75.7971467769152,ssp245,inm-cm4-8
93,2043,74.5219624212579,ssp245,inm-cm4-8
94,2044,74.25522656595098,ssp245,inm-cm4-8
95,2045,75.15773242952113,ssp245,inm-cm4-8
96,2046,73.63437309066651,ssp245,inm-cm4-8
97,2047,75.67405119495486,ssp245,inm-cm4-8
98,2048,76.03416040211242,ssp245,inm-cm4-8
99,2049,76.08666235038532,ssp245,inm-cm4-8
100,2050,74.48161968704808,ssp245,inm-cm4-8
101,2051,76.41561222885942,ssp245,inm-cm4-8
102,2052,73.5682936896779,ssp245,inm-cm4-8
103,2053,75.07524436056798,ssp245,inm-cm4-8
104,2054,75.78005914829312,ssp245,inm-cm4-8
105,2055,75.66892859478274,ssp245,inm-cm4-8
106,2056,74.59611272021891,ssp245,inm-cm4-8
107,2057,75.36178801472079,ssp245,inm-cm4-8
108,2058,75.09337646348818,ssp245,inm-cm4-8
