,year,avg_son_temp_f,scenario,model
0,1950,49.91587225597127,ssp245,bcc-csm2-mr
1,1951,52.71901409610538,ssp245,bcc-csm2-mr
2,1952,52.20845975691146,ssp245,bcc-csm2-mr
3,1953,53.973318198194825,ssp245,bcc-csm2-mr
4,1954,52.087357182676044,ssp245,bcc-csm2-mr
5,1955,51.389629610702215,ssp245,bcc-csm2-mr
6,1956,51.979684386031785,ssp245,bcc-csm2-mr
7,1957,52.277235093467645,ssp245,bcc-csm2-mr
8,1958,52.709641421609184,ssp245,bcc-csm2-mr
9,1959,53.11677320444623,ssp245,bcc-csm2-mr
10,1960,52.67847416130757,ssp245,bcc-csm2-mr
11,1961,51.26462623896577,ssp245,bcc-csm2-mr
12,1962,50.06214002393209,ssp245,bcc-csm2-mr
13,1963,52.24388646312523,ssp245,bcc-csm2-mr
14,1964,50.362184173539426,ssp245,bcc-csm2-mr
15,1965,53.14881373901816,ssp245,bcc-csm2-mr
16,1966,54.25756483891351,ssp245,bcc-csm2-mr
17,1967,51.16841579580269,ssp245,bcc-csm2-mr
18,1968,50.01834437435521,ssp245,bcc-csm2-mr
19,1969,50.5956572567621,ssp245,bcc-csm2-mr
20,1970,52.503301513994764,ssp245,bcc-csm2-mr
21,1971,53.055115403117355,ssp245,bcc-csm2-mr
22,1972,50.96283420269838,ssp245,bcc-csm2-mr
23,1973,54.205414543534744,ssp245,bcc-csm2-mr
24,1974,52.26204570713653,ssp245,bcc-csm2-mr
25,1975,53.468849672296486,ssp245,bcc-csm2-mr
26,1976,51.37820934526569,ssp245,bcc-csm2-mr
27,1977,52.351099390700696,ssp245,bcc-csm2-mr
28,1978,53.03787082592057,ssp245,bcc-csm2-mr
29,1979,52.479405895650864,ssp245,bcc-csm2-mr
30,1980,49.57542315104856,ssp245,bcc-csm2-mr
31,1981,52.59963796466403,ssp245,bcc-csm2-mr
32,1982,54.55014388078584,ssp245,bcc-csm2-mr
33,1983,50.73686358377175,ssp245,bcc-csm2-mr
34,1984,51.81382940500977,ssp245,bcc-csm2-mr
35,1985,53.326366461004575,ssp245,bcc-csm2-mr
36,1986,53.15969624011494,ssp245,bcc-csm2-mr
37,1987,52.39957479588514,ssp245,bcc-csm2-mr
38,1988,52.915699367744566,ssp245,bcc-csm2-mr
39,1989,52.6485175903136,ssp245,bcc-csm2-mr
40,1990,50.53238143425808,ssp245,bcc-csm2-mr
41,1991,52.267150676000824,ssp245,bcc-csm2-mr
42,1992,50.25930957076788,ssp245,bcc-csm2-mr
43,1993,52.05477483270225,ssp245,bcc-csm2-mr
44,1994,52.368004336164844,ssp245,bcc-csm2-mr
45,1995,54.867863818456186,ssp245,bcc-csm2-mr
46,1996,52.8272765362829,ssp245,bcc-csm2-mr
47,1997,52.443970527652816,ssp245,bcc-csm2-mr
48,1998,54.369518772138825,ssp245,bcc-csm2-mr
49,1999,53.9318613308151,ssp245,bcc-csm2-mr
50,2000,53.59723642726249,ssp245,bcc-csm2-mr
51,2001,55.45909026046653,ssp245,bcc-csm2-mr
52,2002,50.696625739717945,ssp245,bcc-csm2-mr
53,2003,53.46103820287845,ssp245,bcc-csm2-mr
54,2004,54.41903511278296,ssp245,bcc-csm2-mr
55,2005,52.87428809129688,ssp245,bcc-csm2-mr
56,2006,53.56421079680345,ssp245,bcc-csm2-mr
57,2007,54.4906605805412,ssp245,bcc-csm2-mr
58,2008,54.178310566038945,ssp245,bcc-csm2-mr
59,2009,52.81414180217584,ssp245,bcc-csm2-mr
60,2010,55.54337207181206,ssp245,bcc-csm2-mr
61,2011,51.85344084160536,ssp245,bcc-csm2-mr
62,2012,54.380071142029045,ssp245,bcc-csm2-mr
63,2013,54.391953130217104,ssp245,bcc-csm2-mr
64,2014,53.31768314834947,ssp245,bcc-csm2-mr
65,2015,52.127760788649,ssp245,bcc-csm2-mr
66,2016,52.75237560226054,ssp245,bcc-csm2-mr
67,2017,55.0891804364496,ssp245,bcc-csm2-mr
68,2018,54.126316013520594,ssp245,bcc-csm2-mr
69,2019,54.023570344446355,ssp245,bcc-csm2-mr
70,2020,53.19876225999807,ssp245,bcc-csm2-mr
71,2021,56.04940084425877,ssp245,bcc-csm2-mr
72,2022,54.529065789819974,ssp245,bcc-csm2-mr
73,2023,56.177597889354736,ssp245,bcc-csm2-mr
74,2024,54.760447427304356,ssp245,bcc-csm2-mr
75,2025,54.778031993630236,ssp245,bcc-csm2-mr
76,2026,55.741102110451024,ssp245,bcc-csm2-mr
77,2027,53.64546965002425,ssp245,bcc-csm2-mr
78,2028,54.9443215003521,ssp245,bcc-csm2-mr
79,2029,54.05987000769593,ssp245,bcc-csm2-mr
80,2030,55.124578506653144,ssp245,bcc-csm2-mr
81,2031,55.55352716276724,ssp245,bcc-csm2-mr
82,2032,56.22736690117146,ssp245,bcc-csm2-mr
83,2033,56.98680025174442,ssp245,bcc-csm2-mr
84,2034,55.1743617389306,ssp245,bcc-csm2-mr
85,2035,55.31635231934398,ssp245,bcc-csm2-mr
86,2036,56.96915448136223,ssp245,bcc-csm2-mr
87,2037,55.301573531963726,ssp245,bcc-csm2-mr
88,2038,55.468002582055725,ssp245,bcc-csm2-mr
89,2039,57.23759244847039,ssp245,bcc-csm2-mr
90,2040,54.15218549436332,ssp245,bcc-csm2-mr
91,2041,57.862750113182145,ssp245,bcc-csm2-mr
92,2042,56.73814522685952,ssp245,bcc-csm2-mr
93,2043,55.25141802620776,ssp245,bcc-csm2-mr
94,2044,57.53422310233174,ssp245,bcc-csm2-mr
95,2045,57.259100259626564,ssp245,bcc-csm2-mr
96,2046,57.693831993366864,ssp245,bcc-csm2-mr
97,2047,56.60196349369208,ssp245,bcc-csm2-mr
98,2048,56.23165532031739,ssp245,bcc-csm2-mr
99,2049,58.23915350125782,ssp245,bcc-csm2-mr
100,2050,57.17834579479586,ssp245,bcc-csm2-mr
101,2051,58.38822770869616,ssp245,bcc-csm2-mr
102,2052,56.20397255748883,ssp245,bcc-csm2-mr
103,2053,55.58047024203341,ssp245,bcc-csm2-mr
104,2054,56.62414853447734,ssp245,bcc-csm2-mr
105,2055,57.43328624178922,ssp245,bcc-csm2-mr
106,2056,57.56112405109798,ssp245,bcc-csm2-mr
107,2057,58.3292780225105,ssp245,bcc-csm2-mr
108,2058,57.39303057195138,ssp245,bcc-csm2-mr
109,2059,56.38470239464624,ssp245,bcc-csm2-mr
110,2060,57.98512756702895,ssp245,bcc-csm2-mr
111,2061,56.68879800326227,ssp245,bcc-csm2-mr
112,2062,57.72331245571582,ssp245,bcc-csm2-mr
113,2063,57.43377531963537,ssp245,bcc-csm2-mr
114,2064,55.047413263219596,ssp245,bcc-csm2-mr
115,2065,57.063495933214945,ssp245,bcc-csm2-mr
116,2066,57.81839286379989,ssp245,bcc-csm2-mr
117,2067,58.89300572917668,ssp245,bcc-csm2-mr
118,2068,56.86401290077263,ssp245,bcc-csm2-mr
119,2069,60.72149634118339,ssp245,bcc-csm2-mr
120,2070,59.41690832686057,ssp245,bcc-csm2-mr
121,2071,56.89205285491114,ssp245,bcc-csm2-mr
122,2072,57.45218920344831,ssp245,bcc-csm2-mr
123,2073,55.82740047709246,ssp245,bcc-csm2-mr
124,2074,57.5327264997625,ssp245,bcc-csm2-mr
125,2075,57.92562331073026,ssp245,bcc-csm2-mr
126,2076,56.501760004114104,ssp245,bcc-csm2-mr
127,2077,58.702545884369364,ssp245,bcc-csm2-mr
128,2078,59.69530509373285,ssp245,bcc-csm2-mr
129,2079,55.63469750875166,ssp245,bcc-csm2-mr
130,2080,59.87927379555505,ssp245,bcc-csm2-mr
131,2081,58.49587395469068,ssp245,bcc-csm2-mr
132,2082,57.702890653454844,ssp245,bcc-csm2-mr
133,2083,58.35070519370435,ssp245,bcc-csm2-mr
134,2084,56.3789413665584,ssp245,bcc-csm2-mr
135,2085,58.22304523675822,ssp245,bcc-csm2-mr
136,2086,59.73364746500436,ssp245,bcc-csm2-mr
137,2087,58.800457117493224,ssp245,bcc-csm2-mr
138,2088,59.06893300295752,ssp245,bcc-csm2-mr
139,2089,59.20274981115865,ssp245,bcc-csm2-mr
140,2090,58.84814036457139,ssp245,bcc-csm2-mr
141,2091,57.29995198707533,ssp245,bcc-csm2-mr
142,2092,61.134791178297746,ssp245,bcc-csm2-mr
143,2093,57.79458335997371,ssp245,bcc-csm2-mr
144,2094,59.74331456484816,ssp245,bcc-csm2-mr
145,2095,63.01265475373935,ssp245,bcc-csm2-mr
146,2096,59.46608072854633,ssp245,bcc-csm2-mr
147,2097,60.035041884607196,ssp245,bcc-csm2-mr
