,year,avg_son_temp_f,scenario,model
0,1950,51.31676537407566,ssp585,mpi-esm1-2-hr
1,1951,51.69394199936242,ssp585,mpi-esm1-2-hr
2,1952,53.496272966628034,ssp585,mpi-esm1-2-hr
3,1953,50.63299640694878,ssp585,mpi-esm1-2-hr
4,1954,52.71738692492461,ssp585,mpi-esm1-2-hr
5,1955,52.39179690004384,ssp585,mpi-esm1-2-hr
6,1956,51.50432971468301,ssp585,mpi-esm1-2-hr
7,1957,52.851717371812775,ssp585,mpi-esm1-2-hr
8,1958,53.16729339248838,ssp585,mpi-esm1-2-hr
9,1959,53.802785475671506,ssp585,mpi-esm1-2-hr
10,1960,52.25962189254044,ssp585,mpi-esm1-2-hr
11,1961,53.057750123832946,ssp585,mpi-esm1-2-hr
12,1962,51.148370000123215,ssp585,mpi-esm1-2-hr
13,1963,51.26763775278843,ssp585,mpi-esm1-2-hr
14,1964,50.70705198577854,ssp585,mpi-esm1-2-hr
15,1965,52.13033569864147,ssp585,mpi-esm1-2-hr
16,1966,53.733552621277006,ssp585,mpi-esm1-2-hr
17,1967,50.26338696608834,ssp585,mpi-esm1-2-hr
18,1968,52.99347674429277,ssp585,mpi-esm1-2-hr
19,1969,52.746824177118086,ssp585,mpi-esm1-2-hr
20,1970,53.17810417112537,ssp585,mpi-esm1-2-hr
21,1971,54.264532904810736,ssp585,mpi-esm1-2-hr
22,1972,53.13081210643221,ssp585,mpi-esm1-2-hr
23,1973,52.928758163789055,ssp585,mpi-esm1-2-hr
24,1974,50.21220194683395,ssp585,mpi-esm1-2-hr
25,1975,53.542782322099384,ssp585,mpi-esm1-2-hr
26,1976,51.290461324795615,ssp585,mpi-esm1-2-hr
27,1977,51.04085919298099,ssp585,mpi-esm1-2-hr
28,1978,51.48963975594887,ssp585,mpi-esm1-2-hr
29,1979,51.51189313831758,ssp585,mpi-esm1-2-hr
30,1980,54.56079990560449,ssp585,mpi-esm1-2-hr
31,1981,52.456452974873194,ssp585,mpi-esm1-2-hr
32,1982,53.46064234674005,ssp585,mpi-esm1-2-hr
33,1983,51.12067224889186,ssp585,mpi-esm1-2-hr
34,1984,51.2140611778111,ssp585,mpi-esm1-2-hr
35,1985,54.32248328157168,ssp585,mpi-esm1-2-hr
36,1986,52.14974453036063,ssp585,mpi-esm1-2-hr
37,1987,53.03853971498629,ssp585,mpi-esm1-2-hr
38,1988,51.74663353090263,ssp585,mpi-esm1-2-hr
39,1989,53.10072661075815,ssp585,mpi-esm1-2-hr
40,1990,55.39251886440037,ssp585,mpi-esm1-2-hr
41,1991,53.78325178110882,ssp585,mpi-esm1-2-hr
42,1992,48.67581572597372,ssp585,mpi-esm1-2-hr
43,1993,52.07337201137363,ssp585,mpi-esm1-2-hr
44,1994,52.31797014817284,ssp585,mpi-esm1-2-hr
45,1995,52.913140163648784,ssp585,mpi-esm1-2-hr
46,1996,54.85894464974061,ssp585,mpi-esm1-2-hr
47,1997,52.364942808587706,ssp585,mpi-esm1-2-hr
48,1998,54.60480584085414,ssp585,mpi-esm1-2-hr
49,1999,51.34556535921284,ssp585,mpi-esm1-2-hr
50,2000,50.28001754131864,ssp585,mpi-esm1-2-hr
51,2001,51.31875971206016,ssp585,mpi-esm1-2-hr
52,2002,52.38077255678854,ssp585,mpi-esm1-2-hr
53,2003,52.71716153170945,ssp585,mpi-esm1-2-hr
54,2004,52.78289588609513,ssp585,mpi-esm1-2-hr
55,2005,53.84206042125854,ssp585,mpi-esm1-2-hr
56,2006,56.630736920523745,ssp585,mpi-esm1-2-hr
57,2007,55.41367269993876,ssp585,mpi-esm1-2-hr
58,2008,54.32726640518355,ssp585,mpi-esm1-2-hr
59,2009,54.64856932293536,ssp585,mpi-esm1-2-hr
60,2010,52.73501297305073,ssp585,mpi-esm1-2-hr
61,2011,54.133939647826914,ssp585,mpi-esm1-2-hr
62,2012,52.94648368972165,ssp585,mpi-esm1-2-hr
63,2013,53.13147054307123,ssp585,mpi-esm1-2-hr
64,2014,55.01870743327948,ssp585,mpi-esm1-2-hr
65,2015,54.621160262561865,ssp585,mpi-esm1-2-hr
66,2016,53.63831576294921,ssp585,mpi-esm1-2-hr
67,2017,54.19276615845423,ssp585,mpi-esm1-2-hr
68,2018,55.312163490834884,ssp585,mpi-esm1-2-hr
69,2019,53.70472802007457,ssp585,mpi-esm1-2-hr
70,2020,53.41039064912247,ssp585,mpi-esm1-2-hr
71,2021,55.46080134852042,ssp585,mpi-esm1-2-hr
72,2022,55.31756811691143,ssp585,mpi-esm1-2-hr
73,2023,55.25395859789752,ssp585,mpi-esm1-2-hr
74,2024,55.01726425717848,ssp585,mpi-esm1-2-hr
75,2025,54.38095524206029,ssp585,mpi-esm1-2-hr
76,2026,54.25648716721764,ssp585,mpi-esm1-2-hr
77,2027,53.295988882590436,ssp585,mpi-esm1-2-hr
78,2028,54.415191549638,ssp585,mpi-esm1-2-hr
79,2029,54.78714143497739,ssp585,mpi-esm1-2-hr
80,2030,54.57270754313532,ssp585,mpi-esm1-2-hr
81,2031,57.12348574616834,ssp585,mpi-esm1-2-hr
82,2032,59.6971962057352,ssp585,mpi-esm1-2-hr
83,2033,55.91761683608719,ssp585,mpi-esm1-2-hr
84,2034,54.15028984189228,ssp585,mpi-esm1-2-hr
85,2035,57.24138769429772,ssp585,mpi-esm1-2-hr
86,2036,53.083809007215535,ssp585,mpi-esm1-2-hr
87,2037,55.46033776249375,ssp585,mpi-esm1-2-hr
88,2038,54.71380717048252,ssp585,mpi-esm1-2-hr
89,2039,56.08647337459486,ssp585,mpi-esm1-2-hr
90,2040,57.39265518731324,ssp585,mpi-esm1-2-hr
91,2041,55.23170752825974,ssp585,mpi-esm1-2-hr
92,2042,58.5205451530324,ssp585,mpi-esm1-2-hr
93,2043,59.18532108424215,ssp585,mpi-esm1-2-hr
94,2044,54.578201049095284,ssp585,mpi-esm1-2-hr
95,2045,56.60544630057453,ssp585,mpi-esm1-2-hr
96,2046,56.81732049908767,ssp585,mpi-esm1-2-hr
97,2047,55.40302570906805,ssp585,mpi-esm1-2-hr
98,2048,57.58451563179469,ssp585,mpi-esm1-2-hr
99,2049,55.5556265417287,ssp585,mpi-esm1-2-hr
100,2050,57.19068378898925,ssp585,mpi-esm1-2-hr
101,2051,58.25941904956243,ssp585,mpi-esm1-2-hr
102,2052,58.37871040102828,ssp585,mpi-esm1-2-hr
103,2053,56.99362314452345,ssp585,mpi-esm1-2-hr
104,2054,56.54538226013682,ssp585,mpi-esm1-2-hr
105,2055,55.35816150222808,ssp585,mpi-esm1-2-hr
106,2056,57.82991265163544,ssp585,mpi-esm1-2-hr
107,2057,57.36751774370483,ssp585,mpi-esm1-2-hr
108,2058,56.77162915525766,ssp585,mpi-esm1-2-hr
109,2059,58.29337524405858,ssp585,mpi-esm1-2-hr
110,2060,55.06933731924506,ssp585,mpi-esm1-2-hr
111,2061,57.70556039891829,ssp585,mpi-esm1-2-hr
112,2062,59.05045925738197,ssp585,mpi-esm1-2-hr
113,2063,58.07159474469719,ssp585,mpi-esm1-2-hr
114,2064,59.60723969784034,ssp585,mpi-esm1-2-hr
115,2065,57.69130834641096,ssp585,mpi-esm1-2-hr
116,2066,56.66516541469121,ssp585,mpi-esm1-2-hr
117,2067,57.72621870048239,ssp585,mpi-esm1-2-hr
118,2068,60.75647501502614,ssp585,mpi-esm1-2-hr
119,2069,60.064353870304544,ssp585,mpi-esm1-2-hr
120,2070,58.437343813455975,ssp585,mpi-esm1-2-hr
121,2071,61.35719557119301,ssp585,mpi-esm1-2-hr
122,2072,58.78539939231068,ssp585,mpi-esm1-2-hr
123,2073,58.79044711529107,ssp585,mpi-esm1-2-hr
124,2074,60.003026645593685,ssp585,mpi-esm1-2-hr
125,2075,58.059477217957124,ssp585,mpi-esm1-2-hr
