,year,avg_mam_temp_f,scenario,model
0,1950,51.17684593775181,ssp585,miroc6
1,1951,49.905525045400736,ssp585,miroc6
2,1952,48.30374559114494,ssp585,miroc6
3,1953,48.57290184000753,ssp585,miroc6
4,1954,47.71705954237657,ssp585,miroc6
5,1955,48.19522176688359,ssp585,miroc6
6,1956,50.33263179007881,ssp585,miroc6
7,1957,52.399330141104,ssp585,miroc6
8,1958,47.93129624601326,ssp585,miroc6
9,1959,49.81747875421331,ssp585,miroc6
10,1960,47.716166856197546,ssp585,miroc6
11,1961,49.7280208955408,ssp585,miroc6
12,1962,47.68146043239168,ssp585,miroc6
13,1963,47.87372056055891,ssp585,miroc6
14,1964,50.142810525089246,ssp585,miroc6
15,1965,49.40895153604143,ssp585,miroc6
16,1966,50.20193455402664,ssp585,miroc6
17,1967,47.79157837888267,ssp585,miroc6
18,1968,48.42344959848936,ssp585,miroc6
19,1969,49.16616080052606,ssp585,miroc6
20,1970,47.72990689852891,ssp585,miroc6
21,1971,47.97844380617335,ssp585,miroc6
22,1972,47.751333433984954,ssp585,miroc6
23,1973,51.8783112206007,ssp585,miroc6
24,1974,50.17909993828589,ssp585,miroc6
25,1975,49.464821803270254,ssp585,miroc6
26,1976,47.300732024083786,ssp585,miroc6
27,1977,49.99003889471216,ssp585,miroc6
28,1978,53.06762153600674,ssp585,miroc6
29,1979,52.35321693228615,ssp585,miroc6
30,1980,52.456627515720115,ssp585,miroc6
31,1981,52.22001575041969,ssp585,miroc6
32,1982,53.03350903000685,ssp585,miroc6
33,1983,49.60548353992833,ssp585,miroc6
34,1984,50.422993476458004,ssp585,miroc6
35,1985,50.63094296350841,ssp585,miroc6
36,1986,48.33205893597249,ssp585,miroc6
37,1987,53.30978477725524,ssp585,miroc6
38,1988,47.250158815688955,ssp585,miroc6
39,1989,49.987389200832084,ssp585,miroc6
40,1990,50.048367421383595,ssp585,miroc6
41,1991,49.43544081535844,ssp585,miroc6
42,1992,50.20902936315844,ssp585,miroc6
43,1993,51.98563365679209,ssp585,miroc6
44,1994,49.52239996208809,ssp585,miroc6
45,1995,51.4299813052714,ssp585,miroc6
46,1996,49.36646726148809,ssp585,miroc6
47,1997,47.019401943425414,ssp585,miroc6
48,1998,50.16519512616251,ssp585,miroc6
49,1999,50.69882076179181,ssp585,miroc6
50,2000,51.05814668732831,ssp585,miroc6
51,2001,52.80592662084551,ssp585,miroc6
52,2002,54.81963881220926,ssp585,miroc6
53,2003,51.272464670116065,ssp585,miroc6
54,2004,52.17066848266313,ssp585,miroc6
55,2005,54.09739938641921,ssp585,miroc6
56,2006,53.98116829310786,ssp585,miroc6
57,2007,52.69805385317588,ssp585,miroc6
58,2008,49.534539196792814,ssp585,miroc6
59,2009,53.3667613525647,ssp585,miroc6
60,2010,52.96756949949834,ssp585,miroc6
61,2011,54.830181783931906,ssp585,miroc6
62,2012,52.653453249095875,ssp585,miroc6
63,2013,53.06055237317735,ssp585,miroc6
64,2014,51.87659890450071,ssp585,miroc6
65,2015,54.4834323146487,ssp585,miroc6
66,2016,54.05355568684214,ssp585,miroc6
67,2017,53.82899097674326,ssp585,miroc6
68,2018,51.745945477608885,ssp585,miroc6
69,2019,53.74786705160939,ssp585,miroc6
70,2020,53.66235655114135,ssp585,miroc6
71,2021,52.72346971154938,ssp585,miroc6
72,2022,53.77567164309092,ssp585,miroc6
73,2023,52.177828024638785,ssp585,miroc6
74,2024,52.98059415045219,ssp585,miroc6
75,2025,56.079703985947056,ssp585,miroc6
76,2026,52.16648583758535,ssp585,miroc6
77,2027,51.30737726231956,ssp585,miroc6
78,2028,52.529534635281955,ssp585,miroc6
79,2029,55.56920015886525,ssp585,miroc6
80,2030,51.65149316256459,ssp585,miroc6
81,2031,55.60742446640492,ssp585,miroc6
82,2032,55.563350190947524,ssp585,miroc6
83,2033,52.31211500301566,ssp585,miroc6
84,2034,57.04748227146643,ssp585,miroc6
85,2035,55.546067391264764,ssp585,miroc6
86,2036,55.164632807704784,ssp585,miroc6
87,2037,54.39669021064531,ssp585,miroc6
88,2038,56.57352670021819,ssp585,miroc6
89,2039,52.41313932250589,ssp585,miroc6
90,2040,55.599500409176585,ssp585,miroc6
91,2041,54.83227683124257,ssp585,miroc6
92,2042,54.9429626753487,ssp585,miroc6
93,2043,56.91449741808525,ssp585,miroc6
94,2044,55.05036688054953,ssp585,miroc6
95,2045,55.18877954470137,ssp585,miroc6
96,2046,52.956443810558774,ssp585,miroc6
97,2047,55.463249463008815,ssp585,miroc6
98,2048,57.9912938373652,ssp585,miroc6
99,2049,55.11468757433284,ssp585,miroc6
100,2050,55.14101840682332,ssp585,miroc6
101,2051,57.42771612455739,ssp585,miroc6
102,2052,55.93441374725906,ssp585,miroc6
