,year,avg_djf_temp_f,scenario,model
0,1950,,ssp370,mri-esm2-0
1,1951,30.223027356580157,ssp370,mri-esm2-0
2,1952,35.46259228677558,ssp370,mri-esm2-0
3,1953,33.45413996673227,ssp370,mri-esm2-0
4,1954,33.26026827618153,ssp370,mri-esm2-0
5,1955,32.23200078422263,ssp370,mri-esm2-0
6,1956,27.341957719472735,ssp370,mri-esm2-0
7,1957,35.69558253074947,ssp370,mri-esm2-0
8,1958,31.829983258447275,ssp370,mri-esm2-0
9,1959,28.14101966373547,ssp370,mri-esm2-0
10,1960,30.132651925608105,ssp370,mri-esm2-0
11,1961,32.50177688868877,ssp370,mri-esm2-0
12,1962,29.56343955239694,ssp370,mri-esm2-0
13,1963,29.43773170119245,ssp370,mri-esm2-0
14,1964,28.204539624855972,ssp370,mri-esm2-0
15,1965,33.122882093163774,ssp370,mri-esm2-0
16,1966,30.214982235152675,ssp370,mri-esm2-0
17,1967,32.66475515765099,ssp370,mri-esm2-0
18,1968,30.852671173381133,ssp370,mri-esm2-0
19,1969,31.07794818788133,ssp370,mri-esm2-0
20,1970,30.519314646153493,ssp370,mri-esm2-0
21,1971,32.02829281086877,ssp370,mri-esm2-0
22,1972,28.791122629382585,ssp370,mri-esm2-0
23,1973,28.164609469077714,ssp370,mri-esm2-0
24,1974,34.35654799792105,ssp370,mri-esm2-0
25,1975,28.2938009117375,ssp370,mri-esm2-0
26,1976,29.47557208829715,ssp370,mri-esm2-0
27,1977,29.30511049052848,ssp370,mri-esm2-0
28,1978,31.31036559274767,ssp370,mri-esm2-0
29,1979,27.78661417652495,ssp370,mri-esm2-0
30,1980,32.08996013492314,ssp370,mri-esm2-0
31,1981,30.573072367497204,ssp370,mri-esm2-0
32,1982,31.132924570217305,ssp370,mri-esm2-0
33,1983,30.066214031279973,ssp370,mri-esm2-0
34,1984,30.009419553123145,ssp370,mri-esm2-0
35,1985,33.13054834766095,ssp370,mri-esm2-0
36,1986,28.546170912578734,ssp370,mri-esm2-0
37,1987,30.93326119532304,ssp370,mri-esm2-0
38,1988,32.44498396774984,ssp370,mri-esm2-0
39,1989,29.752127160332172,ssp370,mri-esm2-0
40,1990,33.30135446713943,ssp370,mri-esm2-0
41,1991,29.43277336535868,ssp370,mri-esm2-0
42,1992,31.518713663686448,ssp370,mri-esm2-0
43,1993,33.073468918802774,ssp370,mri-esm2-0
44,1994,30.430749654524927,ssp370,mri-esm2-0
45,1995,31.112365429994917,ssp370,mri-esm2-0
46,1996,32.12685100321054,ssp370,mri-esm2-0
47,1997,28.733897983997025,ssp370,mri-esm2-0
48,1998,32.841036514998045,ssp370,mri-esm2-0
49,1999,32.82556023188975,ssp370,mri-esm2-0
50,2000,34.44053750589732,ssp370,mri-esm2-0
51,2001,27.641501067618666,ssp370,mri-esm2-0
52,2002,35.39339758613157,ssp370,mri-esm2-0
53,2003,32.7238203927626,ssp370,mri-esm2-0
54,2004,31.565027212742557,ssp370,mri-esm2-0
55,2005,35.04930620021891,ssp370,mri-esm2-0
56,2006,35.10821442318439,ssp370,mri-esm2-0
57,2007,30.068964640049302,ssp370,mri-esm2-0
58,2008,33.43402067917632,ssp370,mri-esm2-0
59,2009,34.14007756335755,ssp370,mri-esm2-0
60,2010,28.576657931637925,ssp370,mri-esm2-0
61,2011,31.906619546427347,ssp370,mri-esm2-0
62,2012,31.584400387729975,ssp370,mri-esm2-0
63,2013,31.02499828944471,ssp370,mri-esm2-0
64,2014,35.933106615011404,ssp370,mri-esm2-0
65,2015,37.5839416724896,ssp370,mri-esm2-0
66,2016,28.67890128297973,ssp370,mri-esm2-0
67,2017,37.71257374986036,ssp370,mri-esm2-0
68,2018,30.41285312464012,ssp370,mri-esm2-0
69,2019,34.48599277834942,ssp370,mri-esm2-0
70,2020,33.090156375081406,ssp370,mri-esm2-0
71,2021,33.37089798563668,ssp370,mri-esm2-0
72,2022,32.432343597169094,ssp370,mri-esm2-0
