,year,avg_son_temp_f,scenario,model
106,2056,55.66366420304088,ssp126,noresm2-mm
107,2057,57.28472750440712,ssp126,noresm2-mm
108,2058,56.51832325412514,ssp126,noresm2-mm
109,2059,59.30918366673244,ssp126,noresm2-mm
110,2060,56.898820404568774,ssp126,noresm2-mm
111,2061,57.42928946988912,ssp126,noresm2-mm
112,2062,57.12802109036524,ssp126,noresm2-mm
113,2063,57.2152462558894,ssp126,noresm2-mm
114,2064,56.78936666140078,ssp126,noresm2-mm
115,2065,57.82716227563811,ssp126,noresm2-mm
116,2066,57.5178349723368,ssp126,noresm2-mm
117,2067,58.13042252256914,ssp126,noresm2-mm
118,2068,57.740312269614584,ssp126,noresm2-mm
119,2069,58.040472902554555,ssp126,noresm2-mm
120,2070,59.53935039340996,ssp126,noresm2-mm
121,2071,55.61789797333863,ssp126,noresm2-mm
122,2072,55.89005004018933,ssp126,noresm2-mm
123,2073,58.04423462511939,ssp126,noresm2-mm
124,2074,57.21980574613221,ssp126,noresm2-mm
125,2075,56.460954724201926,ssp126,noresm2-mm
126,2076,56.92410052531121,ssp126,noresm2-mm
127,2077,57.698985978768974,ssp126,noresm2-mm
128,2078,57.578280438750845,ssp126,noresm2-mm
129,2079,56.62567636874132,ssp126,noresm2-mm
130,2080,55.395503036750675,ssp126,noresm2-mm
131,2081,57.67759977902163,ssp126,noresm2-mm
132,2082,59.94750504794948,ssp126,noresm2-mm
133,2083,57.74597675791459,ssp126,noresm2-mm
134,2084,57.260305829728296,ssp126,noresm2-mm
135,2085,55.07698981089842,ssp126,noresm2-mm
136,2086,57.555761144486084,ssp126,noresm2-mm
137,2087,56.74715337735275,ssp126,noresm2-mm
138,2088,57.74547195097376,ssp126,noresm2-mm
139,2089,58.299018884581805,ssp126,noresm2-mm
140,2090,57.033610160340295,ssp126,noresm2-mm
141,2091,55.94196838826542,ssp126,noresm2-mm
142,2092,58.65777629442927,ssp126,noresm2-mm
143,2093,56.085210080411535,ssp126,noresm2-mm
144,2094,57.85454876748347,ssp126,noresm2-mm
145,2095,56.89495455199394,ssp126,noresm2-mm
146,2096,57.16136698224623,ssp126,noresm2-mm
147,2097,58.01346069318587,ssp126,noresm2-mm
148,2098,55.87351305961218,ssp126,noresm2-mm
149,2099,56.118136337554354,ssp126,noresm2-mm
150,2100,58.577919221494035,ssp126,noresm2-mm
0,1950,50.137716637291255,ssp126,mpi-esm1-2-lr
1,1951,54.53878616153127,ssp126,mpi-esm1-2-lr
2,1952,52.101744496902974,ssp126,mpi-esm1-2-lr
3,1953,52.08436962598849,ssp126,mpi-esm1-2-lr
4,1954,50.96761958067883,ssp126,mpi-esm1-2-lr
5,1955,52.00271135810332,ssp126,mpi-esm1-2-lr
6,1956,52.20211372951355,ssp126,mpi-esm1-2-lr
7,1957,53.602890141489084,ssp126,mpi-esm1-2-lr
8,1958,55.310186847830344,ssp126,mpi-esm1-2-lr
9,1959,56.53478505712803,ssp126,mpi-esm1-2-lr
10,1960,52.437620873854655,ssp126,mpi-esm1-2-lr
11,1961,51.37859695848924,ssp126,mpi-esm1-2-lr
12,1962,52.92420482665749,ssp126,mpi-esm1-2-lr
13,1963,51.75489345893377,ssp126,mpi-esm1-2-lr
14,1964,50.27038849522368,ssp126,mpi-esm1-2-lr
15,1965,51.363053071961815,ssp126,mpi-esm1-2-lr
16,1966,51.428174843947254,ssp126,mpi-esm1-2-lr
17,1967,51.3196938365726,ssp126,mpi-esm1-2-lr
18,1968,54.70710305144872,ssp126,mpi-esm1-2-lr
19,1969,51.23968483016091,ssp126,mpi-esm1-2-lr
20,1970,48.834997810483344,ssp126,mpi-esm1-2-lr
21,1971,50.700571307872295,ssp126,mpi-esm1-2-lr
22,1972,48.81068612931993,ssp126,mpi-esm1-2-lr
23,1973,49.983678455050935,ssp126,mpi-esm1-2-lr
24,1974,52.07448888053986,ssp126,mpi-esm1-2-lr
25,1975,53.131592850376414,ssp126,mpi-esm1-2-lr
26,1976,52.39552883808101,ssp126,mpi-esm1-2-lr
27,1977,53.11928020851794,ssp126,mpi-esm1-2-lr
28,1978,53.14211393486108,ssp126,mpi-esm1-2-lr
29,1979,51.3367988154392,ssp126,mpi-esm1-2-lr
30,1980,51.61902136095245,ssp126,mpi-esm1-2-lr
31,1981,51.43208788064291,ssp126,mpi-esm1-2-lr
32,1982,53.42217782438784,ssp126,mpi-esm1-2-lr
33,1983,51.774187404022335,ssp126,mpi-esm1-2-lr
34,1984,53.754257771342814,ssp126,mpi-esm1-2-lr
35,1985,55.544387701892006,ssp126,mpi-esm1-2-lr
36,1986,52.63067285166361,ssp126,mpi-esm1-2-lr
37,1987,53.3594906177616,ssp126,mpi-esm1-2-lr
38,1988,53.16793114962651,ssp126,mpi-esm1-2-lr
39,1989,54.36671668247174,ssp126,mpi-esm1-2-lr
40,1990,51.89714207023716,ssp126,mpi-esm1-2-lr
41,1991,52.853865035374184,ssp126,mpi-esm1-2-lr
42,1992,51.136377601906645,ssp126,mpi-esm1-2-lr
43,1993,50.515236995550495,ssp126,mpi-esm1-2-lr
44,1994,54.77424708540215,ssp126,mpi-esm1-2-lr
45,1995,53.12283680039006,ssp126,mpi-esm1-2-lr
46,1996,54.70325760854617,ssp126,mpi-esm1-2-lr
47,1997,50.676273678145726,ssp126,mpi-esm1-2-lr
48,1998,50.88548034562853,ssp126,mpi-esm1-2-lr
49,1999,54.06692764418591,ssp126,mpi-esm1-2-lr
50,2000,52.90108982669468,ssp126,mpi-esm1-2-lr
51,2001,53.08147864782539,ssp126,mpi-esm1-2-lr
52,2002,53.82078029592246,ssp126,mpi-esm1-2-lr
53,2003,54.135935433649195,ssp126,mpi-esm1-2-lr
54,2004,56.52457162786348,ssp126,mpi-esm1-2-lr
55,2005,54.87274323864659,ssp126,mpi-esm1-2-lr
56,2006,55.36327896518826,ssp126,mpi-esm1-2-lr
57,2007,54.004279141325874,ssp126,mpi-esm1-2-lr
58,2008,53.003420875706794,ssp126,mpi-esm1-2-lr
59,2009,53.864908458451836,ssp126,mpi-esm1-2-lr
60,2010,52.99799325958315,ssp126,mpi-esm1-2-lr
61,2011,55.52886793321567,ssp126,mpi-esm1-2-lr
62,2012,50.44178982366127,ssp126,mpi-esm1-2-lr
63,2013,55.81140725613636,ssp126,mpi-esm1-2-lr
64,2014,54.22618893157666,ssp126,mpi-esm1-2-lr
65,2015,52.129250070421236,ssp126,mpi-esm1-2-lr
66,2016,53.39684317190905,ssp126,mpi-esm1-2-lr
67,2017,51.07153107637625,ssp126,mpi-esm1-2-lr
68,2018,53.09607087443259,ssp126,mpi-esm1-2-lr
69,2019,52.95100858316281,ssp126,mpi-esm1-2-lr
70,2020,52.47466262876074,ssp126,mpi-esm1-2-lr
71,2021,54.39593101311689,ssp126,mpi-esm1-2-lr
72,2022,54.05066339638797,ssp126,mpi-esm1-2-lr
73,2023,55.366187566888186,ssp126,mpi-esm1-2-lr
74,2024,54.92515964728018,ssp126,mpi-esm1-2-lr
75,2025,54.4858416789826,ssp126,mpi-esm1-2-lr
76,2026,55.83975165029063,ssp126,mpi-esm1-2-lr
77,2027,55.2275522835363,ssp126,mpi-esm1-2-lr
78,2028,54.22072148612142,ssp126,mpi-esm1-2-lr
79,2029,55.32778407015824,ssp126,mpi-esm1-2-lr
80,2030,55.71810649630711,ssp126,mpi-esm1-2-lr
81,2031,53.51521245686019,ssp126,mpi-esm1-2-lr
82,2032,55.06276718587762,ssp126,mpi-esm1-2-lr
83,2033,55.01455635843648,ssp126,mpi-esm1-2-lr
84,2034,54.17290899547858,ssp126,mpi-esm1-2-lr
85,2035,55.43568556551319,ssp126,mpi-esm1-2-lr
86,2036,51.23448123775861,ssp126,mpi-esm1-2-lr
87,2037,55.79642878507616,ssp126,mpi-esm1-2-lr
88,2038,54.95590460530595,ssp126,mpi-esm1-2-lr
89,2039,55.1783957369515,ssp126,mpi-esm1-2-lr
90,2040,53.84181154534681,ssp126,mpi-esm1-2-lr
91,2041,55.38961978921515,ssp126,mpi-esm1-2-lr
92,2042,55.94915739631203,ssp126,mpi-esm1-2-lr
93,2043,55.81517758292109,ssp126,mpi-esm1-2-lr
94,2044,56.66186262038051,ssp126,mpi-esm1-2-lr
95,2045,54.34720894775784,ssp126,mpi-esm1-2-lr
96,2046,53.64625386123002,ssp126,mpi-esm1-2-lr
97,2047,54.66553857316103,ssp126,mpi-esm1-2-lr
98,2048,54.881397028389195,ssp126,mpi-esm1-2-lr
99,2049,58.774909430447245,ssp126,mpi-esm1-2-lr
100,2050,53.65445102618505,ssp126,mpi-esm1-2-lr
101,2051,57.30015823092743,ssp126,mpi-esm1-2-lr
102,2052,56.84417054329534,ssp126,mpi-esm1-2-lr
103,2053,55.46078005274795,ssp126,mpi-esm1-2-lr
104,2054,57.12289253428564,ssp126,mpi-esm1-2-lr
105,2055,55.4226271305446,ssp126,mpi-esm1-2-lr
106,2056,53.40898822769483,ssp126,mpi-esm1-2-lr
107,2057,57.57252644439793,ssp126,mpi-esm1-2-lr
108,2058,53.16581321860991,ssp126,mpi-esm1-2-lr
109,2059,56.088234402432356,ssp126,mpi-esm1-2-lr
110,2060,55.41057524357324,ssp126,mpi-esm1-2-lr
111,2061,58.23118997085578,ssp126,mpi-esm1-2-lr
112,2062,55.43837181542607,ssp126,mpi-esm1-2-lr
113,2063,56.89204686015806,ssp126,mpi-esm1-2-lr
114,2064,54.67945037982727,ssp126,mpi-esm1-2-lr
115,2065,52.29698359538223,ssp126,mpi-esm1-2-lr
116,2066,54.443500789017314,ssp126,mpi-esm1-2-lr
117,2067,54.52897403558135,ssp126,mpi-esm1-2-lr
118,2068,55.63099077180521,ssp126,mpi-esm1-2-lr
119,2069,55.4975455517255,ssp126,mpi-esm1-2-lr
120,2070,56.99247883941123,ssp126,mpi-esm1-2-lr
121,2071,56.099908451338536,ssp126,mpi-esm1-2-lr
122,2072,56.54810182591623,ssp126,mpi-esm1-2-lr
123,2073,56.84840154093847,ssp126,mpi-esm1-2-lr
124,2074,55.0879636017268,ssp126,mpi-esm1-2-lr
125,2075,56.88685410422742,ssp126,mpi-esm1-2-lr
126,2076,57.34604128865627,ssp126,mpi-esm1-2-lr
127,2077,55.68017425511969,ssp126,mpi-esm1-2-lr
128,2078,55.83157118204273,ssp126,mpi-esm1-2-lr
129,2079,57.22283531113678,ssp126,mpi-esm1-2-lr
130,2080,54.619150970083275,ssp126,mpi-esm1-2-lr
131,2081,56.41213834659488,ssp126,mpi-esm1-2-lr
132,2082,55.742847790500676,ssp126,mpi-esm1-2-lr
133,2083,56.4348148123054,ssp126,mpi-esm1-2-lr
134,2084,53.59574419862232,ssp126,mpi-esm1-2-lr
135,2085,55.08796672331626,ssp126,mpi-esm1-2-lr
136,2086,51.79758804818386,ssp126,mpi-esm1-2-lr
137,2087,53.46275173209846,ssp126,mpi-esm1-2-lr
138,2088,53.14388175803124,ssp126,mpi-esm1-2-lr
139,2089,55.205064318149226,ssp126,mpi-esm1-2-lr
140,2090,54.815495290667016,ssp126,mpi-esm1-2-lr
141,2091,55.38469027747611,ssp126,mpi-esm1-2-lr
142,2092,54.44053189725354,ssp126,mpi-esm1-2-lr
143,2093,54.159546568458985,ssp126,mpi-esm1-2-lr
144,2094,55.62864040431388,ssp126,mpi-esm1-2-lr
145,2095,56.738841407462125,ssp126,mpi-esm1-2-lr
146,2096,53.568396316075386,ssp126,mpi-esm1-2-lr
147,2097,52.70116970270398,ssp126,mpi-esm1-2-lr
148,2098,55.05313442559651,ssp126,mpi-esm1-2-lr
149,2099,60.11506352097591,ssp126,mpi-esm1-2-lr
150,2100,57.797069504248554,ssp126,mpi-esm1-2-lr
0,1950,54.62822403720605,ssp126,miroc6
1,1951,50.05884988648282,ssp126,miroc6
2,1952,51.89327572061864,ssp126,miroc6
3,1953,51.413703083357404,ssp126,miroc6
4,1954,52.22302085324509,ssp126,miroc6
5,1955,50.46514142544693,ssp126,miroc6
6,1956,53.585684857298816,ssp126,miroc6
7,1957,52.521267401611084,ssp126,miroc6
8,1958,52.966122249268444,ssp126,miroc6
9,1959,52.61712452471911,ssp126,miroc6
10,1960,53.04780956470517,ssp126,miroc6
11,1961,52.507518576363594,ssp126,miroc6
12,1962,51.89219457760913,ssp126,miroc6
13,1963,53.545628944759486,ssp126,miroc6
14,1964,50.28877059990169,ssp126,miroc6
15,1965,52.567910065326465,ssp126,miroc6
16,1966,51.82117000724767,ssp126,miroc6
17,1967,51.587207134210445,ssp126,miroc6
18,1968,53.96349400163147,ssp126,miroc6
19,1969,52.90946750717541,ssp126,miroc6
20,1970,53.61171105277449,ssp126,miroc6
21,1971,50.93793004362297,ssp126,miroc6
22,1972,52.74714929485296,ssp126,miroc6
23,1973,50.41700034554538,ssp126,miroc6
24,1974,53.660546726083886,ssp126,miroc6
25,1975,51.99176931914795,ssp126,miroc6
26,1976,52.23669187572251,ssp126,miroc6
27,1977,53.367518583475956,ssp126,miroc6
28,1978,53.83317696471539,ssp126,miroc6
29,1979,53.04963021496038,ssp126,miroc6
30,1980,56.54018665799561,ssp126,miroc6
31,1981,51.64032663274894,ssp126,miroc6
32,1982,51.215419501829544,ssp126,miroc6
33,1983,51.13505112891302,ssp126,miroc6
34,1984,52.051354852986925,ssp126,miroc6
35,1985,51.6824509462531,ssp126,miroc6
36,1986,52.9888073378071,ssp126,miroc6
37,1987,53.74478262986906,ssp126,miroc6
38,1988,52.094996474517515,ssp126,miroc6
39,1989,51.604681493602996,ssp126,miroc6
40,1990,52.467417535743856,ssp126,miroc6
41,1991,51.90421958142871,ssp126,miroc6
42,1992,50.7160108234514,ssp126,miroc6
43,1993,52.25476404474251,ssp126,miroc6
44,1994,52.14360507579535,ssp126,miroc6
45,1995,53.31662936705868,ssp126,miroc6
46,1996,54.39599457218344,ssp126,miroc6
47,1997,54.32739833920138,ssp126,miroc6
48,1998,50.74183193442807,ssp126,miroc6
49,1999,52.5486403328239,ssp126,miroc6
50,2000,54.77603896910084,ssp126,miroc6
51,2001,54.626162410160305,ssp126,miroc6
52,2002,55.52087142027999,ssp126,miroc6
53,2003,51.99716072890656,ssp126,miroc6
54,2004,53.19144996015228,ssp126,miroc6
55,2005,56.288222038813565,ssp126,miroc6
56,2006,53.9364715603582,ssp126,miroc6
57,2007,53.69101444028896,ssp126,miroc6
58,2008,53.62538483557433,ssp126,miroc6
59,2009,53.62724383670307,ssp126,miroc6
60,2010,54.6960096668899,ssp126,miroc6
61,2011,54.0848352912768,ssp126,miroc6
62,2012,53.53774369488918,ssp126,miroc6
63,2013,54.93402277129075,ssp126,miroc6
64,2014,55.625392574372725,ssp126,miroc6
65,2015,54.57327820880117,ssp126,miroc6
66,2016,55.113019013396006,ssp126,miroc6
67,2017,54.79572267031625,ssp126,miroc6
68,2018,54.291040164129356,ssp126,miroc6
69,2019,55.475138354195245,ssp126,miroc6
70,2020,55.85891595567321,ssp126,miroc6
71,2021,56.14806578024124,ssp126,miroc6
72,2022,54.64938007263936,ssp126,miroc6
73,2023,53.92556987439651,ssp126,miroc6
74,2024,54.85869588135068,ssp126,miroc6
75,2025,54.15097800912701,ssp126,miroc6
76,2026,56.20427868621266,ssp126,miroc6
77,2027,55.93954381028545,ssp126,miroc6
78,2028,56.69432943181317,ssp126,miroc6
79,2029,56.3303579747978,ssp126,miroc6
80,2030,54.18588755625974,ssp126,miroc6
81,2031,57.297265348401375,ssp126,miroc6
82,2032,57.724779805126076,ssp126,miroc6
83,2033,56.594747071947026,ssp126,miroc6
84,2034,57.30818922242136,ssp126,miroc6
85,2035,53.1687564004501,ssp126,miroc6
86,2036,55.260007045192964,ssp126,miroc6
87,2037,56.51731198564286,ssp126,miroc6
88,2038,57.000312632301146,ssp126,miroc6
89,2039,56.856601273607716,ssp126,miroc6
90,2040,55.764552355981074,ssp126,miroc6
91,2041,56.086639063876596,ssp126,miroc6
92,2042,55.759763330398265,ssp126,miroc6
93,2043,55.48008444195379,ssp126,miroc6
94,2044,56.187284811845146,ssp126,miroc6
95,2045,53.21161338145761,ssp126,miroc6
96,2046,55.86587731235251,ssp126,miroc6
97,2047,55.439425593102904,ssp126,miroc6
98,2048,56.54036522070664,ssp126,miroc6
99,2049,57.30347263285069,ssp126,miroc6
100,2050,57.38027749766071,ssp126,miroc6
101,2051,57.978483450068126,ssp126,miroc6
102,2052,55.37333582225285,ssp126,miroc6
103,2053,56.59263279237589,ssp126,miroc6
104,2054,55.83522630787642,ssp126,miroc6
105,2055,56.3820927333421,ssp126,miroc6
106,2056,57.616103876091614,ssp126,miroc6
107,2057,58.09161829736988,ssp126,miroc6
108,2058,56.34164521387689,ssp126,miroc6
109,2059,55.07369820148474,ssp126,miroc6
110,2060,56.28932767515692,ssp126,miroc6
111,2061,56.645131171172025,ssp126,miroc6
112,2062,54.580640941418395,ssp126,miroc6
113,2063,55.014717833011915,ssp126,miroc6
114,2064,58.057246832198025,ssp126,miroc6
115,2065,58.41853339420808,ssp126,miroc6
116,2066,56.05506960994185,ssp126,miroc6
117,2067,57.07736592048329,ssp126,miroc6
118,2068,56.27551860127051,ssp126,miroc6
119,2069,57.59441921964121,ssp126,miroc6
120,2070,55.98064958509543,ssp126,miroc6
121,2071,56.51202217705313,ssp126,miroc6
122,2072,54.73969455417073,ssp126,miroc6
123,2073,55.99083620009745,ssp126,miroc6
124,2074,56.48171465926456,ssp126,miroc6
125,2075,53.21735818873042,ssp126,miroc6
126,2076,56.76365367340015,ssp126,miroc6
127,2077,56.48407843785302,ssp126,miroc6
128,2078,57.02132174048002,ssp126,miroc6
129,2079,56.341935856403566,ssp126,miroc6
130,2080,55.87389956362118,ssp126,miroc6
131,2081,54.41526962137979,ssp126,miroc6
132,2082,56.324545470217835,ssp126,miroc6
