,year,avg_ann_temp_f,scenario,model
0,1950,50.94560879214498,ssp370,mpi-esm1-2-hr
1,1951,49.513109037849404,ssp370,mpi-esm1-2-hr
2,1952,49.884643221686304,ssp370,mpi-esm1-2-hr
3,1953,50.33959241396316,ssp370,mpi-esm1-2-hr
4,1954,51.142818132612106,ssp370,mpi-esm1-2-hr
5,1955,50.31081349331717,ssp370,mpi-esm1-2-hr
6,1956,50.79845990340021,ssp370,mpi-esm1-2-hr
7,1957,51.35674857487407,ssp370,mpi-esm1-2-hr
8,1958,51.54670115525559,ssp370,mpi-esm1-2-hr
9,1959,50.78343523998138,ssp370,mpi-esm1-2-hr
10,1960,50.75723920527148,ssp370,mpi-esm1-2-hr
11,1961,50.991625856385575,ssp370,mpi-esm1-2-hr
12,1962,50.21374331232684,ssp370,mpi-esm1-2-hr
13,1963,50.0761432424569,ssp370,mpi-esm1-2-hr
14,1964,51.72204354488865,ssp370,mpi-esm1-2-hr
15,1965,50.68520936908932,ssp370,mpi-esm1-2-hr
16,1966,51.71995408262296,ssp370,mpi-esm1-2-hr
17,1967,51.72783148320398,ssp370,mpi-esm1-2-hr
18,1968,51.71073365876131,ssp370,mpi-esm1-2-hr
19,1969,50.71868601754943,ssp370,mpi-esm1-2-hr
20,1970,51.23934816857763,ssp370,mpi-esm1-2-hr
21,1971,51.481850250217626,ssp370,mpi-esm1-2-hr
22,1972,52.2653670740394,ssp370,mpi-esm1-2-hr
23,1973,51.65778809125918,ssp370,mpi-esm1-2-hr
24,1974,49.09734752661718,ssp370,mpi-esm1-2-hr
25,1975,51.35005691876726,ssp370,mpi-esm1-2-hr
26,1976,51.2682433345074,ssp370,mpi-esm1-2-hr
27,1977,51.70124857717882,ssp370,mpi-esm1-2-hr
28,1978,49.394095594064034,ssp370,mpi-esm1-2-hr
29,1979,50.40180644269915,ssp370,mpi-esm1-2-hr
30,1980,51.53821810724042,ssp370,mpi-esm1-2-hr
31,1981,51.83967293789308,ssp370,mpi-esm1-2-hr
32,1982,52.058870933939,ssp370,mpi-esm1-2-hr
33,1983,50.372748775980405,ssp370,mpi-esm1-2-hr
34,1984,50.937809404451514,ssp370,mpi-esm1-2-hr
35,1985,51.62813340434744,ssp370,mpi-esm1-2-hr
36,1986,50.829955534318856,ssp370,mpi-esm1-2-hr
37,1987,51.03691025864169,ssp370,mpi-esm1-2-hr
38,1988,51.98202541128079,ssp370,mpi-esm1-2-hr
39,1989,51.742194006209,ssp370,mpi-esm1-2-hr
40,1990,52.11625891659623,ssp370,mpi-esm1-2-hr
41,1991,51.3011907286932,ssp370,mpi-esm1-2-hr
42,1992,50.009476063191855,ssp370,mpi-esm1-2-hr
43,1993,51.294617793672195,ssp370,mpi-esm1-2-hr
44,1994,50.42601631512024,ssp370,mpi-esm1-2-hr
45,1995,50.276612332221944,ssp370,mpi-esm1-2-hr
46,1996,52.78850220933285,ssp370,mpi-esm1-2-hr
47,1997,52.48809746672091,ssp370,mpi-esm1-2-hr
48,1998,51.75739159605372,ssp370,mpi-esm1-2-hr
49,1999,50.583339071846325,ssp370,mpi-esm1-2-hr
50,2000,50.5880003139633,ssp370,mpi-esm1-2-hr
51,2001,50.64654832420065,ssp370,mpi-esm1-2-hr
52,2002,52.4578496889645,ssp370,mpi-esm1-2-hr
53,2003,52.63407288718322,ssp370,mpi-esm1-2-hr
54,2004,52.857604955773816,ssp370,mpi-esm1-2-hr
55,2005,52.58206845793417,ssp370,mpi-esm1-2-hr
56,2006,52.528588081727186,ssp370,mpi-esm1-2-hr
57,2007,53.018041892789924,ssp370,mpi-esm1-2-hr
58,2008,53.38747379841449,ssp370,mpi-esm1-2-hr
59,2009,52.511670937347255,ssp370,mpi-esm1-2-hr
60,2010,52.25576450891427,ssp370,mpi-esm1-2-hr
61,2011,50.94935745373481,ssp370,mpi-esm1-2-hr
62,2012,52.197962296936154,ssp370,mpi-esm1-2-hr
63,2013,51.67814185252932,ssp370,mpi-esm1-2-hr
64,2014,52.154994950521754,ssp370,mpi-esm1-2-hr
65,2015,52.86391166318242,ssp370,mpi-esm1-2-hr
66,2016,54.42904415337844,ssp370,mpi-esm1-2-hr
67,2017,52.96756706224233,ssp370,mpi-esm1-2-hr
68,2018,52.3185956077165,ssp370,mpi-esm1-2-hr
69,2019,52.713173280102424,ssp370,mpi-esm1-2-hr
70,2020,54.18680724435987,ssp370,mpi-esm1-2-hr
71,2021,54.662839285203916,ssp370,mpi-esm1-2-hr
72,2022,53.171804689864125,ssp370,mpi-esm1-2-hr
73,2023,52.78960993127319,ssp370,mpi-esm1-2-hr
74,2024,52.93734676830608,ssp370,mpi-esm1-2-hr
75,2025,53.15415421300012,ssp370,mpi-esm1-2-hr
76,2026,52.87301274659296,ssp370,mpi-esm1-2-hr
77,2027,53.89312123104152,ssp370,mpi-esm1-2-hr
78,2028,53.685583741400876,ssp370,mpi-esm1-2-hr
79,2029,52.60294212545667,ssp370,mpi-esm1-2-hr
80,2030,53.77534649038733,ssp370,mpi-esm1-2-hr
81,2031,54.55882599909497,ssp370,mpi-esm1-2-hr
82,2032,54.109235031406044,ssp370,mpi-esm1-2-hr
83,2033,53.60398947265782,ssp370,mpi-esm1-2-hr
84,2034,54.23851769721719,ssp370,mpi-esm1-2-hr
85,2035,54.19076928225419,ssp370,mpi-esm1-2-hr
86,2036,54.562255993358235,ssp370,mpi-esm1-2-hr
87,2037,52.97988606618501,ssp370,mpi-esm1-2-hr
88,2038,53.70573192589544,ssp370,mpi-esm1-2-hr
89,2039,53.69411280032921,ssp370,mpi-esm1-2-hr
90,2040,55.956965795272666,ssp370,mpi-esm1-2-hr
91,2041,54.516667748934886,ssp370,mpi-esm1-2-hr
92,2042,55.315486794993745,ssp370,mpi-esm1-2-hr
93,2043,53.263935593420626,ssp370,mpi-esm1-2-hr
94,2044,54.06213543871956,ssp370,mpi-esm1-2-hr
95,2045,55.89413153470042,ssp370,mpi-esm1-2-hr
96,2046,55.73617613426826,ssp370,mpi-esm1-2-hr
97,2047,54.432385258455604,ssp370,mpi-esm1-2-hr
98,2048,53.135199574159095,ssp370,mpi-esm1-2-hr
99,2049,55.38867111313206,ssp370,mpi-esm1-2-hr
100,2050,55.49563413910886,ssp370,mpi-esm1-2-hr
101,2051,55.656193905520276,ssp370,mpi-esm1-2-hr
102,2052,55.58796314441175,ssp370,mpi-esm1-2-hr
103,2053,57.710784412827685,ssp370,mpi-esm1-2-hr
104,2054,55.473725859905734,ssp370,mpi-esm1-2-hr
105,2055,55.61988410421643,ssp370,mpi-esm1-2-hr
106,2056,55.59400579553912,ssp370,mpi-esm1-2-hr
107,2057,55.785249538609236,ssp370,mpi-esm1-2-hr
108,2058,54.94793619029922,ssp370,mpi-esm1-2-hr
109,2059,56.12579965702169,ssp370,mpi-esm1-2-hr
110,2060,56.08948251862971,ssp370,mpi-esm1-2-hr
111,2061,55.10076334756825,ssp370,mpi-esm1-2-hr
112,2062,56.85123365263823,ssp370,mpi-esm1-2-hr
113,2063,56.46984846261975,ssp370,mpi-esm1-2-hr
114,2064,57.55648097404884,ssp370,mpi-esm1-2-hr
115,2065,56.457977014400754,ssp370,mpi-esm1-2-hr
116,2066,57.3010279408754,ssp370,mpi-esm1-2-hr
117,2067,57.67526316531178,ssp370,mpi-esm1-2-hr
118,2068,57.98205611187752,ssp370,mpi-esm1-2-hr
119,2069,58.146091427692795,ssp370,mpi-esm1-2-hr
120,2070,57.74837253445527,ssp370,mpi-esm1-2-hr
121,2071,57.3903418514265,ssp370,mpi-esm1-2-hr
122,2072,56.35108544781201,ssp370,mpi-esm1-2-hr
123,2073,58.33932115408335,ssp370,mpi-esm1-2-hr
124,2074,56.94794589424384,ssp370,mpi-esm1-2-hr
125,2075,56.98290772200265,ssp370,mpi-esm1-2-hr
126,2076,57.63307042803926,ssp370,mpi-esm1-2-hr
127,2077,55.54748479534195,ssp370,mpi-esm1-2-hr
128,2078,56.287889329444695,ssp370,mpi-esm1-2-hr
129,2079,55.95116227024081,ssp370,mpi-esm1-2-hr
130,2080,57.142435368964435,ssp370,mpi-esm1-2-hr
131,2081,56.87333374681404,ssp370,mpi-esm1-2-hr
132,2082,56.71685047727359,ssp370,mpi-esm1-2-hr
133,2083,57.92454551212789,ssp370,mpi-esm1-2-hr
134,2084,58.30953761895371,ssp370,mpi-esm1-2-hr
135,2085,57.726876173530414,ssp370,mpi-esm1-2-hr
136,2086,58.1256190652903,ssp370,mpi-esm1-2-hr
137,2087,59.49573141759348,ssp370,mpi-esm1-2-hr
138,2088,58.18445141319537,ssp370,mpi-esm1-2-hr
139,2089,58.41649935953876,ssp370,mpi-esm1-2-hr
