"Figure 3. Rate of Temperature Change in the United States, 1901-2023",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2024",,
Web update: June 2024,,
Units: °F per century,,
,,
Climate Division,Temperature Change (1901-2000 denominator),Temperature Change (1925-2000 denominator)
3901,2.14012782,
3902,1.534144407,
3903,1.737020246,
3904,2.020987304,
3905,2.152472344,
3906,1.755109784,
3907,1.668510015,
3908,1.954272055,
3909,1.450887387,
4001,0.504352023,
4002,0.562361077,
4003,0.645741703,
4004,0.715052689,
4101,1.702765131,
4102,1.152909804,
4103,0.750070939,
4104,0.633295069,
4105,2.291035199,
4106,0.87271543,
4107,1.366947845,
4108,1.62137833,
4109,1.340598169,
4110,1.179598053,
4201,1.909451273,
4202,2.129723379,
4203,1.889056205,
4204,2.213361967,
4205,2.145109698,
4206,2.950696066,
4207,2.949658846,
4301,2.655900006,
4302,2.80817243,
4303,2.869303891,
4401,1.623678486,
4402,1.557479159,
4403,1.463624228,
4404,2.171717335,
4405,1.334863904,
4406,0.945653996,
4501,1.480268108,
4502,1.471029868,
4503,1.414767426,
4504,1.566378825,
4505,1.672164468,
4506,1.815752194,
4507,1.53495591,
4508,1.77798773,
4509,1.575434342,
4510,2.121909301,
4601,1.254525072,
4602,1.36621158,
4603,0.68285589,
4604,1.177797698,
4605,0.674794598,
4606,1.461345569,
4701,2.189108228,
4702,2.072837532,
4703,2.516348299,
4704,1.902620672,
4705,2.110322538,
4706,2.400340939,
4707,1.33675562,
4708,1.710837171,
4709,1.639516237,
4801,1.817235471,
4802,1.385832764,
4803,2.092877903,
4804,2.124951095,
4805,1.990542493,
4806,2.142745053,
4807,2.083317211,
4808,2.646624146,
4809,2.055666981,
4810,2.679191764,
5001,,4.171315193
5002,,3.561337868
5003,,3.820140177
5004,,2.840280355
5005,,2.284415584
5006,,2.620655535
5007,,3.483477633
5008,,2.677375799
5009,,2.011410019
5010,,0.103710575
5011,,1.407874665
5012,,1.56723356
5013,,1.912914863
