,year,avg_ann_temp_f,scenario,model
0,1950,51.63911853218352,ssp126,noresm2-lm
1,1951,50.93868428333301,ssp126,noresm2-lm
2,1952,51.05236950005626,ssp126,noresm2-lm
3,1953,50.74900062811663,ssp126,noresm2-lm
4,1954,51.523152427390905,ssp126,noresm2-lm
5,1955,51.04127012990375,ssp126,noresm2-lm
6,1956,52.81367683569004,ssp126,noresm2-lm
7,1957,52.192890263597015,ssp126,noresm2-lm
8,1958,51.55648046485076,ssp126,noresm2-lm
9,1959,52.229591962924445,ssp126,noresm2-lm
10,1960,51.97533642212989,ssp126,noresm2-lm
11,1961,49.89652995662249,ssp126,noresm2-lm
12,1962,50.25851951872002,ssp126,noresm2-lm
13,1963,49.63303776075663,ssp126,noresm2-lm
14,1964,48.85798085653034,ssp126,noresm2-lm
15,1965,49.92921777300268,ssp126,noresm2-lm
16,1966,50.81701846017055,ssp126,noresm2-lm
17,1967,50.23531289530383,ssp126,noresm2-lm
18,1968,50.64257651511181,ssp126,noresm2-lm
19,1969,50.45799051513136,ssp126,noresm2-lm
20,1970,52.078366632829855,ssp126,noresm2-lm
21,1971,50.198561228284234,ssp126,noresm2-lm
22,1972,50.616037597569644,ssp126,noresm2-lm
23,1973,50.078176169430606,ssp126,noresm2-lm
24,1974,50.07662464620972,ssp126,noresm2-lm
25,1975,51.842879446999156,ssp126,noresm2-lm
26,1976,50.36138519732605,ssp126,noresm2-lm
27,1977,49.591910026570275,ssp126,noresm2-lm
28,1978,50.8075995885275,ssp126,noresm2-lm
29,1979,50.54729185548122,ssp126,noresm2-lm
30,1980,49.85006693110911,ssp126,noresm2-lm
31,1981,50.509236143804536,ssp126,noresm2-lm
32,1982,50.46825630550562,ssp126,noresm2-lm
33,1983,50.784100755574165,ssp126,noresm2-lm
34,1984,50.34856759555321,ssp126,noresm2-lm
35,1985,52.10522459714465,ssp126,noresm2-lm
36,1986,49.97156657173323,ssp126,noresm2-lm
37,1987,51.960240203475486,ssp126,noresm2-lm
38,1988,52.25118223988164,ssp126,noresm2-lm
39,1989,50.5767978957186,ssp126,noresm2-lm
40,1990,50.27217470456766,ssp126,noresm2-lm
41,1991,52.00543418435585,ssp126,noresm2-lm
42,1992,50.88730510203733,ssp126,noresm2-lm
43,1993,51.50804518731883,ssp126,noresm2-lm
44,1994,52.39570724755926,ssp126,noresm2-lm
45,1995,51.25767334576849,ssp126,noresm2-lm
46,1996,52.64387522093044,ssp126,noresm2-lm
47,1997,52.18791764714149,ssp126,noresm2-lm
48,1998,52.57421195702891,ssp126,noresm2-lm
49,1999,52.84290814504121,ssp126,noresm2-lm
50,2000,52.565648221290985,ssp126,noresm2-lm
51,2001,52.48227122027459,ssp126,noresm2-lm
52,2002,52.53200452103507,ssp126,noresm2-lm
53,2003,52.8148553586199,ssp126,noresm2-lm
54,2004,52.085475942520404,ssp126,noresm2-lm
55,2005,51.10144087380945,ssp126,noresm2-lm
56,2006,53.25065713257226,ssp126,noresm2-lm
57,2007,53.104353423376345,ssp126,noresm2-lm
58,2008,52.64193318147275,ssp126,noresm2-lm
59,2009,52.73075231587483,ssp126,noresm2-lm
60,2010,51.352463757635796,ssp126,noresm2-lm
61,2011,54.62678630352952,ssp126,noresm2-lm
62,2012,53.705081601588184,ssp126,noresm2-lm
63,2013,52.14554552098611,ssp126,noresm2-lm
64,2014,52.81690260256497,ssp126,noresm2-lm
65,2015,52.37020719942007,ssp126,noresm2-lm
66,2016,52.133190487172,ssp126,noresm2-lm
67,2017,54.94530262877397,ssp126,noresm2-lm
68,2018,54.50903489708452,ssp126,noresm2-lm
69,2019,54.332612999102516,ssp126,noresm2-lm
70,2020,52.40047132280133,ssp126,noresm2-lm
71,2021,53.494288570994435,ssp126,noresm2-lm
72,2022,53.61504177846178,ssp126,noresm2-lm
73,2023,54.01871267554845,ssp126,noresm2-lm
74,2024,55.43987952158508,ssp126,noresm2-lm
75,2025,53.42463166052525,ssp126,noresm2-lm
76,2026,54.23137963005293,ssp126,noresm2-lm
77,2027,54.31082969033766,ssp126,noresm2-lm
78,2028,55.70418515830218,ssp126,noresm2-lm
79,2029,53.27326022457513,ssp126,noresm2-lm
80,2030,54.17985023319064,ssp126,noresm2-lm
81,2031,55.07449574587325,ssp126,noresm2-lm
82,2032,54.705063060282924,ssp126,noresm2-lm
83,2033,55.97916990002988,ssp126,noresm2-lm
84,2034,56.544532663359895,ssp126,noresm2-lm
85,2035,54.87963906075861,ssp126,noresm2-lm
86,2036,55.286155709267284,ssp126,noresm2-lm
87,2037,54.48676083807261,ssp126,noresm2-lm
88,2038,53.63304889946735,ssp126,noresm2-lm
89,2039,55.02600102979669,ssp126,noresm2-lm
90,2040,54.81944395727346,ssp126,noresm2-lm
91,2041,55.72653454345881,ssp126,noresm2-lm
92,2042,55.742965121656674,ssp126,noresm2-lm
93,2043,52.63641385751041,ssp126,noresm2-lm
94,2044,56.22011229519045,ssp126,noresm2-lm
95,2045,56.94989084041759,ssp126,noresm2-lm
96,2046,56.75803664314511,ssp126,noresm2-lm
97,2047,54.480891531774645,ssp126,noresm2-lm
98,2048,54.509676712808144,ssp126,noresm2-lm
99,2049,56.120144363899044,ssp126,noresm2-lm
100,2050,56.27353834962686,ssp126,noresm2-lm
101,2051,56.698091646335854,ssp126,noresm2-lm
102,2052,56.18185963438651,ssp126,noresm2-lm
103,2053,53.995344001084526,ssp126,noresm2-lm
104,2054,54.1130960160429,ssp126,noresm2-lm
105,2055,56.160896919902804,ssp126,noresm2-lm
106,2056,54.872996182522066,ssp126,noresm2-lm
107,2057,52.85149782118927,ssp126,noresm2-lm
108,2058,54.51769349222574,ssp126,noresm2-lm
109,2059,54.44125338955434,ssp126,noresm2-lm
110,2060,53.01304079525628,ssp126,noresm2-lm
111,2061,56.6602307487741,ssp126,noresm2-lm
112,2062,55.37514710611112,ssp126,noresm2-lm
113,2063,55.05400889668317,ssp126,noresm2-lm
114,2064,54.994558221134554,ssp126,noresm2-lm
115,2065,54.76245787121635,ssp126,noresm2-lm
116,2066,54.568982234789594,ssp126,noresm2-lm
117,2067,56.84440296374762,ssp126,noresm2-lm
118,2068,56.33818948403479,ssp126,noresm2-lm
119,2069,55.11261707321376,ssp126,noresm2-lm
120,2070,54.86000801151807,ssp126,noresm2-lm
121,2071,55.57976152608826,ssp126,noresm2-lm
122,2072,57.13572503997374,ssp126,noresm2-lm
123,2073,57.35486104387889,ssp126,noresm2-lm
124,2074,55.956046810195794,ssp126,noresm2-lm
125,2075,54.333731465199456,ssp126,noresm2-lm
126,2076,55.73524831907107,ssp126,noresm2-lm
127,2077,54.47671154263739,ssp126,noresm2-lm
128,2078,56.89179965935324,ssp126,noresm2-lm
129,2079,55.15306411312002,ssp126,noresm2-lm
130,2080,55.01504841424953,ssp126,noresm2-lm
131,2081,55.74344250285814,ssp126,noresm2-lm
132,2082,55.27521015739082,ssp126,noresm2-lm
133,2083,54.2449866112952,ssp126,noresm2-lm
134,2084,53.674671832467105,ssp126,noresm2-lm
135,2085,57.231576793661986,ssp126,noresm2-lm
136,2086,56.93371304238208,ssp126,noresm2-lm
137,2087,55.7987659497131,ssp126,noresm2-lm
138,2088,54.95400066021488,ssp126,noresm2-lm
139,2089,55.121396452489165,ssp126,noresm2-lm
140,2090,56.12930859727032,ssp126,noresm2-lm
141,2091,55.547626469486616,ssp126,noresm2-lm
142,2092,56.677153712549575,ssp126,noresm2-lm
143,2093,55.01757036986765,ssp126,noresm2-lm
144,2094,55.116912498780536,ssp126,noresm2-lm
145,2095,53.83951945452539,ssp126,noresm2-lm
146,2096,54.13553364438241,ssp126,noresm2-lm
147,2097,55.112679601425725,ssp126,noresm2-lm
148,2098,55.01078117247477,ssp126,noresm2-lm
149,2099,55.70207588349817,ssp126,noresm2-lm
150,2100,54.01140701597469,ssp126,noresm2-lm
0,1950,51.15288068172678,ssp126,gfdl-esm4
1,1951,52.72833085482491,ssp126,gfdl-esm4
2,1952,51.333142339439114,ssp126,gfdl-esm4
3,1953,50.061416321216164,ssp126,gfdl-esm4
4,1954,52.23928743010977,ssp126,gfdl-esm4
5,1955,52.907453855604814,ssp126,gfdl-esm4
6,1956,52.12038078683745,ssp126,gfdl-esm4
