station,year,month,ph,scenario
bats1,1864,7,8.14,historical
bats1,1864,8,8.12,historical
bats1,1864,9,8.13,historical
bats1,1864,10,8.16,historical
bats1,1864,11,8.19,historical
bats1,1864,12,8.21,historical
bats1,1865,1,8.21,historical
bats1,1865,2,8.21,historical
bats1,1865,3,8.21,historical
bats1,1865,4,8.22,historical
bats1,1865,5,8.21,historical
bats1,1865,6,8.17,historical
bats1,1865,7,8.15,historical
bats1,1865,8,8.13,historical
bats1,1865,9,8.13,historical
bats1,1865,10,8.16,historical
bats1,1865,11,8.18,historical
bats1,1865,12,8.2,historical
bats1,1866,1,8.21,historical
bats1,1866,2,8.21,historical
bats1,1866,3,8.21,historical
bats1,1866,4,8.21,historical
bats1,1866,5,8.21,historical
bats1,1866,6,8.18,historical
bats1,1866,7,8.14,historical
bats1,1866,8,8.13,historical
bats1,1866,9,8.13,historical
bats1,1866,10,8.16,historical
bats1,1866,11,8.19,historical
bats1,1866,12,8.21,historical
bats1,1867,1,8.21,historical
bats1,1867,2,8.21,historical
bats1,1867,3,8.21,historical
bats1,1867,4,8.22,historical
bats1,1867,5,8.21,historical
bats1,1867,6,8.18,historical
bats1,1867,7,8.15,historical
bats1,1867,8,8.13,historical
bats1,1867,9,8.13,historical
bats1,1867,10,8.16,historical
bats1,1867,11,8.19,historical
bats1,1867,12,8.21,historical
bats1,1868,1,8.21,historical
bats1,1868,2,8.21,historical
bats1,1868,3,8.21,historical
bats1,1868,4,8.21,historical
bats1,1868,5,8.21,historical
bats1,1868,6,8.17,historical
bats1,1868,7,8.14,historical
bats1,1868,8,8.12,historical
bats1,1868,9,8.13,historical
bats1,1868,10,8.15,historical
bats1,1868,11,8.18,historical
bats1,1868,12,8.2,historical
bats1,1869,1,8.21,historical
bats1,1869,2,8.21,historical
bats1,1869,3,8.21,historical
bats1,1869,4,8.22,historical
bats1,1869,5,8.21,historical
bats1,1869,6,8.17,historical
bats1,1869,7,8.14,historical
bats1,1869,8,8.12,historical
bats1,1869,9,8.13,historical
bats1,1869,10,8.16,historical
bats1,1869,11,8.19,historical
bats1,1869,12,8.21,historical
bats1,1870,1,8.21,historical
bats1,1870,2,8.21,historical
bats1,1870,3,8.21,historical
bats1,1870,4,8.21,historical
bats1,1870,5,8.21,historical
bats1,1870,6,8.18,historical
bats1,1870,7,8.14,historical
bats1,1870,8,8.13,historical
bats1,1870,9,8.13,historical
bats1,1870,10,8.16,historical
bats1,1870,11,8.19,historical
bats1,1870,12,8.21,historical
bats1,1871,1,8.21,historical
bats1,1871,2,8.21,historical
bats1,1871,3,8.22,historical
bats1,1871,4,8.21,historical
